Bib No.,Last Name,First Name,Gender,Age Group,Country,Team Name,Zoning
,SANTOS,PATRICK,MALE,35-39, PHILIPPINES,FILIPINO INTERNATIONAL TRIATHLETES CLUB,
,PAGUNTALAN,ALLEN,MALE,35-39, PHILIPPINES,WETSHOP TODO TRI TEAM,
,GARCIA,JOHN HOWARD,MALE,35-39, PHILIPPINES,TIMEX TMM,
,ORQUIZA,RETZEL,MALE,35-39, PHILIPPINES,WU CREW,
,DAVID,JEREMY,MALE,35-39, PHILIPPINES,TRICLARK,
,SHENG,LI,MALE,35-39, CHINA,CHONGQING LIANGJIANG TRIATHLON CLUB,
,ORDOVEZA,RAYMOND JOHN,MALE,35-39, PHILIPPINES,CENTURY TRI HARD,
,PAREKH,SOHIL,MALE,35-39, INDIA,YOSKA TRI A NEW LIFE,
,LOPEZ,IAN RAY,MALE,35-39, PHILIPPINES,TRIONE,
,DE MATA,NEIL BRYAN,MALE,35-39, PHILIPPINES,TRI CLARK,
,MAGSAYSAY,JESUS GERARDO,MALE,35-39, PHILIPPINES,TEAM CELLIFE,
,MANTILLA,JERRY,MALE,35-39, PHILIPPINES,FILIPINO INTERNATIONAL TRIATHLETES CLUB,
,LUCINA,ALFRED,MALE,35-39, UNITED STATES,,
,SINAMBAN,JEFFERSON,MALE,35-39, PHILIPPINES,TRI DELTA,
,ROBLES,CHRISTIAN JASEN,MALE,35-39, PHILIPPINES,TEAM UCY,
,DAVID,KENNETH,MALE,35-39, PHILIPPINES,NA,
,MARQUEZ,MARK ANTHONY,MALE,35-39, PHILIPPINES,,
,CABAHUG,KRISTIAN,MALE,35-39, PHILIPPINES,TRICORE,
,MACEDA,DAVID,MALE,35-39, PHILIPPINES,METRO TRI,
,PENG,CHI,MALE,35-39, CHINA,BLUE WHALE TRICLUB,
,RAMOS,JOEL,MALE,35-39, PHILIPPINES,ENDURE SEVEN SEAS,
,DONATO,SUNLIZ BRIAN,MALE,35-39, PHILIPPINES,MELEKON PRAETORIAN,
,BONAGUA,DARWIN,MALE,35-39, PHILIPPINES,MAD TRIATHLON,
