#5150-5150-kraichgau-20150607.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
5150-5150-kraichgau-20150607.csv,2,Leonie Achzet,22,DE,DEU,00:31:27,01:49:33,01:14:44,00:05:32,00:04:21,03:45:37
5150-5150-kraichgau-20150607.csv,3,Katharina Heeger,21,DE,DEU,00:32:00,01:34:54,00:55:34,00:02:53,00:02:20,03:07:41
5150-5150-kraichgau-20150607.csv,4,Isabelle Henrich,25,DE,DEU,00:25:03,01:37:06,00:57:23,00:02:06,00:02:01,03:03:39
5150-5150-kraichgau-20150607.csv,5,Laura Metze,24,DE,DEU,00:29:08,01:33:14,01:06:26,00:02:01,00:01:59,03:12:48
5150-5150-kraichgau-20150607.csv,6,Jil Schäfer,20,DE,DEU,---,---,---,---,---,DNS
5150-5150-kraichgau-20150607.csv,7,Linda Schütz,23,DE,DEU,00:35:26,01:44:46,01:04:18,00:03:54,00:02:26,03:30:50
5150-5150-kraichgau-20150607.csv,8,Inca Trunz,25,DE,DEU,00:34:37,01:45:01,00:58:48,00:03:09,00:02:34,03:24:09
5150-5150-kraichgau-20150607.csv,9,Lisa Wilkskamp,25,DE,DEU,00:31:31,01:30:13,00:48:31,00:02:11,00:01:57,02:54:23
5150-5150-kraichgau-20150607.csv,10,Kathrin Bauer,30,DE,DEU,00:36:55,01:39:33,01:04:05,00:03:58,00:03:08,03:27:39
5150-5150-kraichgau-20150607.csv,11,Jessica Bauer,27,DE,DEU,---,---,---,---,---,DNS
5150-5150-kraichgau-20150607.csv,12,Christine Bérubé,29,DE,DEU,00:26:42,01:40:28,00:55:59,00:02:56,00:03:06,03:09:11
5150-5150-kraichgau-20150607.csv,13,Gina Burger,29,DE,DEU,00:33:18,01:40:36,00:51:34,00:03:57,00:02:14,03:11:39
5150-5150-kraichgau-20150607.csv,14,Lena Feurich,29,DE,DEU,00:25:21,01:26:09,00:50:53,00:02:08,00:01:38,02:46:09
5150-5150-kraichgau-20150607.csv,15,Janina Gassert,28,DE,DEU,00:35:03,01:58:24,00:58:27,00:05:21,00:04:43,03:41:58
5150-5150-kraichgau-20150607.csv,16,Sarah Hartmann,28,DE,DEU,00:33:25,01:36:35,00:53:20,00:04:42,00:02:09,03:10:11
5150-5150-kraichgau-20150607.csv,17,Natalie Hellmuth,27,DE,DEU,00:24:00,01:38:37,00:57:10,00:02:40,00:02:28,03:04:55
5150-5150-kraichgau-20150607.csv,18,Nicole Hertfelder,26,DE,DEU,00:33:04,01:35:47,01:05:17,00:06:05,00:02:25,03:22:38
5150-5150-kraichgau-20150607.csv,19,Maike Hohlbaum,28,DE,DEU,00:30:53,01:47:33,00:57:14,00:03:04,00:02:25,03:21:09
5150-5150-kraichgau-20150607.csv,20,Tanja Hotz,27,---,DEU,00:30:40,01:24:55,00:57:16,00:02:33,00:01:58,02:57:22
5150-5150-kraichgau-20150607.csv,21,Svenja Klem,28,DE,DEU,00:30:48,01:35:35,01:07:01,00:03:26,00:02:12,03:19:02
5150-5150-kraichgau-20150607.csv,22,Nicole Kratz,26,DE,DEU,00:34:55,02:07:43,01:18:54,00:03:55,00:06:32,04:11:59
5150-5150-kraichgau-20150607.csv,23,Madeleine Kühne,27,DE,DEU,00:30:31,01:46:20,01:18:27,00:04:14,00:03:16,03:42:48
5150-5150-kraichgau-20150607.csv,24,Anne-Katrin Leich,28,DE,DEU,00:24:45,01:27:32,00:50:59,00:03:25,00:02:12,02:48:53
5150-5150-kraichgau-20150607.csv,25,Katharina Niederer,30,DE,DEU,00:25:46,01:33:16,00:55:17,00:02:33,00:01:48,02:58:40
5150-5150-kraichgau-20150607.csv,26,Alica Jacobi,28,DE,DEU,00:29:43,01:25:34,00:48:15,00:02:05,00:01:32,02:47:09
5150-5150-kraichgau-20150607.csv,27,Alexandra Olpp,25,DE,DEU,00:25:02,01:28:21,00:45:50,00:01:42,00:01:23,02:42:18
5150-5150-kraichgau-20150607.csv,28,Patrizia Ple,30,DE,DEU,---,---,---,---,---,DNS
5150-5150-kraichgau-20150607.csv,29,Jessica Riedinger,29,DE,DEU,00:29:51,01:49:40,01:18:20,00:03:15,00:02:31,03:43:37
5150-5150-kraichgau-20150607.csv,30,Katharina Rohr,27,DE,DEU,00:28:24,01:21:27,00:50:16,00:02:39,00:01:52,02:44:38
5150-5150-kraichgau-20150607.csv,31,Anne Rösberg,26,DE,DEU,00:24:43,01:26:03,00:53:44,00:02:38,00:01:47,02:48:55
5150-5150-kraichgau-20150607.csv,32,Julia Rothermel,28,DE,DEU,00:35:13,01:55:37,01:09:03,00:04:40,00:03:38,03:48:11
5150-5150-kraichgau-20150607.csv,33,Jaqueline Sämann,27,DE,DEU,00:31:50,01:38:27,00:55:15,00:03:05,00:02:26,03:11:03
5150-5150-kraichgau-20150607.csv,34,Ayleen Schönbrodt,27,DE,DEU,00:31:36,01:40:33,01:06:24,00:03:09,00:02:49,03:24:31
5150-5150-kraichgau-20150607.csv,35,Connie Seiboth,30,DE,DEU,---,---,---,---,---,DNS
5150-5150-kraichgau-20150607.csv,36,Tina Vogelmann,29,---,DEU,00:30:38,01:31:33,00:54:51,00:02:47,00:01:52,03:01:41
5150-5150-kraichgau-20150607.csv,37,Desirée Wagner,29,CH,CHE,00:25:53,01:20:36,00:45:22,00:02:15,00:01:59,02:36:05
5150-5150-kraichgau-20150607.csv,38,Jessica Weber,30,DE,DEU,00:32:51,01:34:32,01:00:50,00:03:00,00:02:53,03:14:06
5150-5150-kraichgau-20150607.csv,39,Raffaela Wiesenfeldt,29,---,DEU,00:28:36,01:45:02,01:10:05,00:02:52,00:02:29,03:29:04
5150-5150-kraichgau-20150607.csv,40,Camila Arcuri,34,Rio de Janeiro,BRA,00:33:00,01:48:16,00:58:25,00:04:15,00:03:06,03:27:02
5150-5150-kraichgau-20150607.csv,41,Nina Arnold,32,DE,DEU,00:35:57,01:43:19,00:56:02,00:03:57,00:01:32,03:20:47
5150-5150-kraichgau-20150607.csv,42,Kerstin Bannwolf,34,DE,DEU,---,---,---,---,---,DNS
5150-5150-kraichgau-20150607.csv,43,Amanda Leigh Bauer,31,MI,USA,00:33:35,02:18:48,01:18:38,00:04:00,00:03:23,04:18:24
5150-5150-kraichgau-20150607.csv,44,Stefanie Bender,32,DE,DEU,---,---,---,---,---,DNS
5150-5150-kraichgau-20150607.csv,45,Stephanie Derscheid,33,DE,DEU,00:35:34,01:41:42,01:05:40,00:02:57,00:02:15,03:28:08
5150-5150-kraichgau-20150607.csv,46,Nadine Gernegross,31,DE,DEU,---,---,---,---,---,DNS
5150-5150-kraichgau-20150607.csv,47,Tini Heide,34,DE,DEU,00:30:46,01:24:44,00:47:53,00:03:05,00:01:53,02:48:21
5150-5150-kraichgau-20150607.csv,48,Nana Heilmann,30,DE,DEU,---,---,---,---,---,DNS
5150-5150-kraichgau-20150607.csv,49,Anita Heinrich,34,DE,DEU,00:33:28,01:43:42,01:07:11,00:03:18,00:02:22,03:30:01
5150-5150-kraichgau-20150607.csv,50,Annabelle Kalb,35,DE,DEU,00:36:27,01:39:08,00:55:47,00:03:36,00:02:46,03:17:44
5150-5150-kraichgau-20150607.csv,51,Sanja Karanovic,32,---,DEU,00:35:02,01:36:28,01:01:33,00:04:40,00:02:46,03:20:29
5150-5150-kraichgau-20150607.csv,52,Stefanie Kaufmann,35,DE,DEU,---,---,---,---,---,DNS
5150-5150-kraichgau-20150607.csv,53,Linda Lagarde,32,APO,NLD,---,---,---,---,---,DNS
5150-5150-kraichgau-20150607.csv,54,Melissa Meisner,34,DE,DEU,00:28:56,01:29:54,00:57:38,00:02:42,00:02:11,03:01:21
5150-5150-kraichgau-20150607.csv,55,Janine Notopol,33,DE,DEU,00:39:46,01:33:57,00:57:30,00:02:36,00:02:34,03:16:23
