#5150-5150-zurich-20140726.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
5150-5150-zurich-20140726.csv,1,Sven Riederer,35,---,CHE,00:18:53,00:54:22,00:32:43,00:01:09,00:00:59,01:48:06
5150-5150-zurich-20140726.csv,2,Sebastian Kienle,32,---,DEU,---,---,---,---,---,DNS
5150-5150-zurich-20140726.csv,3,Andreas Dreitz,27,DE,DEU,00:20:04,00:54:24,00:32:57,00:01:13,00:01:06,01:49:44
5150-5150-zurich-20140726.csv,4,Andrea Salvisberg,27,---,CHE,00:18:50,00:55:26,00:33:14,00:01:11,00:01:00,01:49:41
5150-5150-zurich-20140726.csv,5,Andi Boecherer,33,---,DEU,---,---,---,---,---,DNS
5150-5150-zurich-20140726.csv,6,Reinaldo Colucci,30,Sao Paulo,BRA,00:19:02,00:54:17,00:32:01,00:01:06,00:00:57,01:47:23
5150-5150-zurich-20140726.csv,7,Ruedi Wild,34,---,CHE,00:18:56,00:54:19,00:32:20,00:01:11,00:01:00,01:47:46
5150-5150-zurich-20140726.csv,8,Ivan Rana,37,ES,ESP,00:18:59,00:55:13,00:32:37,00:01:13,00:01:02,01:49:04
5150-5150-zurich-20140726.csv,9,Alberto Alessandroni,---,---,ITA,00:18:57,00:54:19,00:34:47,00:01:12,00:01:01,01:50:16
5150-5150-zurich-20140726.csv,10,Pieter Heemeryck,26,BE,BEL,00:19:01,00:54:19,00:32:46,00:01:09,00:00:58,01:48:13
5150-5150-zurich-20140726.csv,11,Max Hazell,21,---,GBR,00:20:24,01:02:43,00:36:44,00:01:17,00:00:59,02:02:07
5150-5150-zurich-20140726.csv,12,Andrew Yoder,27,PA,USA,---,---,---,---,---,DNS
5150-5150-zurich-20140726.csv,13,Giulio Molinari,---,---,ITA,00:18:52,00:54:24,00:33:15,00:01:11,00:01:00,01:48:42
5150-5150-zurich-20140726.csv,14,Matic Modic,29,Intl State,SVN,00:22:45,01:01:25,00:35:56,00:01:22,00:01:15,02:02:43
5150-5150-zurich-20140726.csv,15,Todd Skipworth,31,WA,AUS,00:18:54,00:54:25,00:33:15,00:01:10,00:01:02,01:48:46
5150-5150-zurich-20140726.csv,16,Valentin Fridelance,24,---,CHE,---,---,---,---,---,DNS
5150-5150-zurich-20140726.csv,17,Jonas Nowka,28,---,CHE,00:22:00,01:00:56,00:37:49,00:01:15,00:01:05,02:03:05
5150-5150-zurich-20140726.csv,18,Philipp Grosheny,31,---,CHE,---,---,---,---,---,DNS
5150-5150-zurich-20140726.csv,19,Travis Johnston,31,---,ZAF,00:20:28,01:00:57,00:37:11,00:01:09,00:01:06,02:00:51
5150-5150-zurich-20140726.csv,20,Liam Templeton,29,---,AUS,---,---,---,---,---,DNS
5150-5150-zurich-20140726.csv,41,Renate Forstner,39,DE,DEU,00:20:29,01:08:27,00:46:01,00:01:30,00:01:17,02:17:44
5150-5150-zurich-20140726.csv,42,Catherine Jameson,31,---,GBR,00:19:39,01:03:22,00:43:17,00:01:16,00:01:17,02:08:51
5150-5150-zurich-20140726.csv,43,Svenja Bazlen,32,Intl State,DEU,00:20:25,01:01:13,00:36:43,00:01:17,00:01:05,02:00:43
5150-5150-zurich-20140726.csv,45,Ricarda Lisk,35,DE,DEU,00:20:01,01:01:53,00:35:30,00:01:08,00:01:02,01:59:34
