#File=5150-5150-zurich-20170729.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
5150-5150-zurich-20170729.csv,1,Sven Riederer,36,---,CHE,00:19:36,00:53:57,00:34:40,00:01:38,00:01:30,01:51:21
5150-5150-zurich-20170729.csv,2,Thomas Kaiser,28,---,DEU,00:25:24,01:01:03,00:41:43,00:02:14,00:01:35,02:11:59
5150-5150-zurich-20170729.csv,3,Gabriel Manner,---,---,USA,---,---,---,---,---,DNS
5150-5150-zurich-20170729.csv,4,Thomas Vandiest,34,---,BEL,00:21:21,---,---,00:01:57,---,DNF
5150-5150-zurich-20170729.csv,5,Richard Westover,30,---,GBR,00:23:01,01:00:07,00:36:40,00:01:56,00:01:39,02:03:23
5150-5150-zurich-20170729.csv,6,Jacques Louw,22,---,CHE,00:20:00,01:03:26,00:39:39,00:01:46,00:01:26,02:06:17
5150-5150-zurich-20170729.csv,7,Thomas Roos,32,CA,USA,00:19:45,01:04:02,00:41:21,00:01:46,00:01:43,02:08:37
5150-5150-zurich-20170729.csv,8,Alex Schilling,28,---,DEU,---,---,---,---,---,DNS
5150-5150-zurich-20170729.csv,9,Philipp Koutny,34,---,CHE,---,---,---,---,---,DNS
5150-5150-zurich-20170729.csv,10,Remmert Wielanga,39,---,NLD,00:25:56,00:56:11,00:39:16,00:03:20,00:02:00,02:06:43
5150-5150-zurich-20170729.csv,11,Patrick Jaberg,37,---,CHE,00:22:01,00:55:58,00:36:00,00:01:43,00:01:21,01:57:03
5150-5150-zurich-20170729.csv,12,David Koster,27,---,CHE,00:22:00,01:00:06,00:36:24,00:01:40,00:01:28,02:01:38
5150-5150-zurich-20170729.csv,13,Patrick Rhyner,27,---,CHE,00:20:12,01:00:47,00:39:52,00:01:51,00:01:35,02:04:17
5150-5150-zurich-20170729.csv,41,Daniela Ryf,30,---,CHE,00:19:48,00:58:20,00:36:12,00:01:45,00:01:34,01:57:39
5150-5150-zurich-20170729.csv,42,Ricarda Lisk,36,---,DEU,00:21:21,01:04:19,00:39:24,00:01:44,00:01:27,02:08:15
5150-5150-zurich-20170729.csv,44,Renate Forstner,40,---,DEU,00:21:16,01:05:43,00:46:06,00:02:11,00:01:46,02:17:02
5150-5150-zurich-20170729.csv,45,Hannah Pace,24,Balzan,MLT,---,---,---,---,---,DNF
5150-5150-zurich-20170729.csv,46,Immogen Simmonds,24,---,CHE,00:21:17,01:02:41,00:38:20,00:02:06,00:01:30,02:05:54
5150-5150-zurich-20170729.csv,47,Anne Basso,33,NC,FRA,---,---,---,---,---,DNS
5150-5150-zurich-20170729.csv,48,Sara Baumann,24,---,CHE,00:21:19,01:03:56,00:44:54,00:01:53,00:01:36,02:13:38
5150-5150-zurich-20170729.csv,49,Amelia Rose Watkinson,25,AUK,NZL,---,---,---,---,---,DNS
5150-5150-zurich-20170729.csv,101,Lukas Bartl,24,---,DEU,---,---,---,---,---,DNS
5150-5150-zurich-20170729.csv,102,Daniel Bienz,22,---,CHE,00:30:24,01:16:13,00:53:22,00:03:15,00:02:08,02:45:22
5150-5150-zurich-20170729.csv,103,Kevin Brann,23,---,CHE,00:25:06,01:04:29,00:41:54,00:02:11,00:02:03,02:15:43
5150-5150-zurich-20170729.csv,104,Dominik Cenusa,23,---,DEU,00:30:01,01:16:56,00:58:47,00:03:34,00:02:53,02:52:11
5150-5150-zurich-20170729.csv,105,Toscan Donat,23,---,CHE,00:22:48,01:09:31,00:38:39,00:01:50,00:01:28,02:14:16
5150-5150-zurich-20170729.csv,106,Fabian Gomez Lopez,22,Distrito Federal,MEX,---,---,---,---,---,DQ
5150-5150-zurich-20170729.csv,107,Loic Guinchard,20,---,CHE,00:21:12,01:00:32,00:39:48,00:01:49,00:01:29,02:04:50
5150-5150-zurich-20170729.csv,108,Marco Hahn,18,---,DEU,00:27:42,01:10:48,00:46:11,00:02:34,00:02:10,02:29:25
5150-5150-zurich-20170729.csv,109,Mario Heer,20,---,CHE,00:36:15,01:10:13,00:50:30,00:05:10,00:03:48,02:45:56
5150-5150-zurich-20170729.csv,110,Kiper Jan,20,---,CHE,00:42:45,01:21:00,01:03:04,00:05:50,00:02:45,03:15:24
5150-5150-zurich-20170729.csv,111,Cyrill Knechtle,20,---,CHE,00:26:22,01:03:46,00:43:13,00:02:27,00:02:12,02:18:00
5150-5150-zurich-20170729.csv,112,Florian Mathys,24,---,CHE,00:33:29,01:08:58,00:48:29,00:02:24,00:01:50,02:35:10
5150-5150-zurich-20170729.csv,113,Luis Muñoz Heinen,23,Luxembourg,LUX,00:33:36,01:06:11,00:42:45,00:02:25,00:01:46,02:26:43
5150-5150-zurich-20170729.csv,114,Fabian Richle,24,---,CHE,00:26:33,01:08:06,00:49:07,00:02:53,00:02:03,02:28:42
5150-5150-zurich-20170729.csv,115,Andres Rossel,24,---,CHE,00:41:57,01:28:03,00:58:46,00:04:31,00:03:44,03:17:01
5150-5150-zurich-20170729.csv,116,Emils Rozentals,23,---,LVA,00:42:53,01:09:59,00:48:41,00:02:58,00:02:25,02:46:56
5150-5150-zurich-20170729.csv,117,Elio Schneider,18,---,CHE,00:27:06,01:07:18,00:43:09,00:01:54,00:01:39,02:21:06
5150-5150-zurich-20170729.csv,118,Felix Schöneseiffen,23,---,DEU,00:36:03,01:16:51,00:57:33,00:03:02,00:02:34,02:56:03
5150-5150-zurich-20170729.csv,119,Declan Stafford,19,---,GBR,00:26:51,01:14:56,00:52:42,00:02:32,00:01:50,02:38:51
5150-5150-zurich-20170729.csv,120,Lukas Streit,22,---,CHE,---,---,---,---,---,DNS
5150-5150-zurich-20170729.csv,121,Benjamin Thomé,22,---,CHE,00:22:28,01:05:04,00:45:16,00:02:04,00:01:43,02:16:35
5150-5150-zurich-20170729.csv,122,Alex Trabucchi,17,---,CHE,00:21:13,01:03:37,00:38:39,00:01:56,00:01:27,02:06:52
5150-5150-zurich-20170729.csv,123,Philipp Von Bieberstein,24,AZ,DEU,00:25:20,01:06:50,00:40:48,00:02:26,00:01:33,02:16:57
5150-5150-zurich-20170729.csv,124,Darius Affolter,27,---,CHE,00:33:50,01:18:52,00:48:36,00:03:04,00:02:43,02:47:05
5150-5150-zurich-20170729.csv,125,Andres Alvarez,28,---,ESP,00:28:38,01:09:43,00:46:37,00:02:53,00:02:24,02:30:15
5150-5150-zurich-20170729.csv,126,Muaz Alzouby,27,---,SYR,00:47:16,01:23:55,00:58:45,00:03:46,00:02:40,03:16:22
5150-5150-zurich-20170729.csv,127,Stefano Battiston,27,---,CHE,00:38:05,01:21:23,01:01:14,00:04:52,00:02:52,03:08:26
5150-5150-zurich-20170729.csv,128,Dieter Baumgartner,25,---,CHE,00:31:45,01:13:49,00:50:08,00:02:18,00:02:05,02:40:05
5150-5150-zurich-20170729.csv,129,Benedict Bechler,28,---,DEU,---,---,---,---,---,DNS
5150-5150-zurich-20170729.csv,130,Patrick Benz,27,---,CHE,00:21:53,01:05:06,00:40:32,00:02:08,00:01:41,02:11:20
5150-5150-zurich-20170729.csv,131,Christoph Biedermann,29,---,DEU,00:26:26,01:13:30,00:45:02,00:02:56,00:02:22,02:30:16
5150-5150-zurich-20170729.csv,132,Darren Bolduc,29,QC,CAN,00:35:48,01:15:25,00:48:31,00:02:57,00:02:43,02:45:24
5150-5150-zurich-20170729.csv,133,Fabian Boos,28,---,CHE,---,---,---,---,---,DNS
5150-5150-zurich-20170729.csv,134,Pierre-Emmanuel Bourguignon,29,---,FRA,00:29:31,01:17:37,00:57:26,00:02:56,00:02:08,02:49:38
5150-5150-zurich-20170729.csv,135,Hubert Caron,27,---,FRA,00:34:08,01:17:06,00:45:02,00:06:59,00:04:25,02:47:40
5150-5150-zurich-20170729.csv,136,Henry Clarke,28,---,GBR,00:33:59,01:13:26,00:49:58,00:06:04,00:05:01,02:48:28
