#File=ironman-70.3-aarhus-20140622.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-aarhus-20140622.csv,1,Bjorn Andersson,35,---,SWE,---,---,---,---,---,DNS
ironman-70.3-aarhus-20140622.csv,2,Jordan Rapp,33,CA,USA,---,---,---,---,---,DNS
ironman-70.3-aarhus-20140622.csv,3,Esben Hovgaard,31,---,DNK,00:26:28,02:20:10,01:21:27,00:02:14,00:01:56,04:12:15
ironman-70.3-aarhus-20140622.csv,4,Martin Jensen,30,Other,DNK,---,---,---,---,---,DNS
ironman-70.3-aarhus-20140622.csv,5,Allan Steen Olesen,30,DK,DNK,00:26:09,02:17:35,01:19:27,00:02:26,00:01:36,04:07:13
ironman-70.3-aarhus-20140622.csv,6,Nis Lind,30,---,DNK,00:28:31,02:27:08,01:19:53,00:02:45,00:02:18,04:20:35
ironman-70.3-aarhus-20140622.csv,7,Henrik Hyldelund,29,DK,DNK,00:24:23,02:10:05,01:20:26,00:02:27,00:01:42,03:59:03
ironman-70.3-aarhus-20140622.csv,8,Patrick Lange,27,---,DEU,---,---,---,---,---,DQ
ironman-70.3-aarhus-20140622.csv,9,Jens Toft Allerup,27,---,DNK,---,---,---,---,---,DNS
ironman-70.3-aarhus-20140622.csv,10,Kasper Ougaard,27,---,DNK,00:30:08,02:25:05,01:25:49,00:02:59,00:02:12,04:26:13
ironman-70.3-aarhus-20140622.csv,11,Anders Wagner,26,---,DNK,00:33:18,02:32:06,01:19:03,00:03:35,00:02:23,04:30:25
ironman-70.3-aarhus-20140622.csv,12,Rasmus Petraeus,24,---,DNK,00:23:41,02:23:48,01:21:30,00:02:25,00:02:03,04:13:27
ironman-70.3-aarhus-20140622.csv,13,Andreas Helbo Beck,25,DK,DNK,00:26:10,02:17:41,01:23:06,00:02:28,00:01:29,04:10:54
ironman-70.3-aarhus-20140622.csv,14,Guillaume Doree,24,---,FRA,00:26:08,03:16:54,01:18:47,00:02:38,00:03:25,05:07:52
ironman-70.3-aarhus-20140622.csv,15,Markus Liebelt,24,---,DEU,00:26:33,02:19:52,01:23:38,00:02:39,00:02:13,04:14:55
ironman-70.3-aarhus-20140622.csv,16,Parys Edwards,38,Intl State,GBR,00:31:34,02:37:48,01:29:37,00:02:48,00:01:58,04:43:45
ironman-70.3-aarhus-20140622.csv,17,Tamsin Lewis,35,---,GBR,00:28:35,---,---,00:02:59,---,DNF
ironman-70.3-aarhus-20140622.csv,18,Evi Neuscheler,32,---,DEU,00:32:53,02:36:01,01:28:26,00:03:25,00:02:11,04:42:56
ironman-70.3-aarhus-20140622.csv,19,Michaela Renner-Schneck,31,DE,DEU,00:29:47,02:46:29,01:24:28,00:02:50,00:01:56,04:45:30
ironman-70.3-aarhus-20140622.csv,20,Camilla Pedersen,30,---,DNK,00:27:11,02:31:00,01:23:27,00:02:33,00:01:54,04:26:05
ironman-70.3-aarhus-20140622.csv,21,Mads Vittrup-Pedersen,30,---,DNK,00:28:35,02:21:54,01:15:17,00:02:24,00:01:36,04:09:46
ironman-70.3-aarhus-20140622.csv,22,Andreas Borch,31,---,DNK,00:24:43,---,---,00:02:41,---,DNF
ironman-70.3-aarhus-20140622.csv,26,Solvei Helen Jørgensen,61,---,DNK,01:00:36,04:12:35,02:58:17,00:11:33,00:04:12,08:27:13
ironman-70.3-aarhus-20140622.csv,27,Deb Munton,56,Intl State,GBR,00:36:22,03:23:43,02:04:25,00:05:05,00:04:11,06:13:46
ironman-70.3-aarhus-20140622.csv,28,Ulla Stampe Jakobsen,53,---,DNK,00:53:17,04:18:53,02:38:46,00:15:35,00:06:34,08:13:05
ironman-70.3-aarhus-20140622.csv,29,Ann Dalby,52,---,DNK,00:37:50,03:08:33,01:43:20,00:05:43,00:03:49,05:39:15
ironman-70.3-aarhus-20140622.csv,30,Emma Laudrup,53,---,DNK,---,---,---,---,---,DNS
ironman-70.3-aarhus-20140622.csv,31,Birgitte Uldall Duch,52,---,DNK,00:40:54,03:07:27,01:59:04,00:05:33,00:03:29,05:56:27
ironman-70.3-aarhus-20140622.csv,32,Karin Svahn,51,SE,SWE,00:46:10,03:56:30,02:14:21,00:12:19,00:10:52,07:20:12
ironman-70.3-aarhus-20140622.csv,33,Jonna Elsborg,51,---,DNK,00:41:09,03:50:49,02:04:22,00:07:35,00:04:04,06:47:59
ironman-70.3-aarhus-20140622.csv,34,Gail Hirsch,51,---,DNK,00:41:21,03:09:29,01:55:11,00:05:58,00:04:03,05:56:02
ironman-70.3-aarhus-20140622.csv,35,Kirsten Rungholm,52,---,DNK,00:41:39,03:36:12,01:57:59,00:06:13,00:02:36,06:24:39
ironman-70.3-aarhus-20140622.csv,36,Camilla Schou,51,---,DNK,00:39:56,03:18:24,02:11:51,00:07:45,00:05:02,06:22:58
ironman-70.3-aarhus-20140622.csv,37,Henriette Riparbelli,51,---,DNK,---,---,---,---,---,DNS
ironman-70.3-aarhus-20140622.csv,38,Gitte Moller,49,---,DNK,00:48:54,03:31:13,02:23:03,00:07:28,00:03:56,06:54:34
ironman-70.3-aarhus-20140622.csv,39,Kristin Henderson,49,CO,GBR,00:37:48,02:52:27,01:48:12,00:04:34,00:02:52,05:25:53
ironman-70.3-aarhus-20140622.csv,40,Elspeth Burton,49,---,GBR,00:45:22,03:31:22,02:16:50,00:06:10,00:04:08,06:43:52
ironman-70.3-aarhus-20140622.csv,41,Helle Lander,50,---,DNK,00:46:53,02:57:32,01:43:57,00:10:46,00:04:44,05:43:52
ironman-70.3-aarhus-20140622.csv,42,Martina Pflocksch,48,---,DEU,00:37:59,03:11:10,02:18:52,00:06:20,00:05:06,06:19:27
ironman-70.3-aarhus-20140622.csv,43,Kim Moss,48,Vereinigtes K�nigreich,GBR,00:34:44,02:53:51,01:54:59,00:03:19,00:02:22,05:29:15
ironman-70.3-aarhus-20140622.csv,44,Sally Mortleman,49,Kent,GBR,00:37:53,02:48:46,01:43:29,00:04:09,00:02:32,05:16:49
ironman-70.3-aarhus-20140622.csv,45,Jette Eriksen,48,---,DNK,00:45:44,03:14:16,02:16:28,00:04:53,00:03:01,06:24:22
