#File=ironman-70.3-arizona-20151018.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-arizona-20151018.csv,12,John Szczepanowski,46,CA,USA,00:57:33,02:59:22,03:07:00,00:04:26,00:05:26,07:13:47
ironman-70.3-arizona-20151018.csv,21,Jason Brandt,44,KY,USA,---,---,---,---,---,DNS
ironman-70.3-arizona-20151018.csv,22,Matthew Duke,44,AZ,USA,00:34:31,02:27:12,02:00:51,00:01:38,00:01:55,05:06:07
ironman-70.3-arizona-20151018.csv,23,Jeffrey Ku,41,CA,USA,---,---,---,---,---,DNS
ironman-70.3-arizona-20151018.csv,24,Chad Lund,41,CA,USA,00:40:14,02:44:35,02:10:20,00:02:43,00:01:53,05:39:45
ironman-70.3-arizona-20151018.csv,25,Richard Oleary,42,FL,USA,00:44:40,02:34:53,01:40:45,00:02:24,00:02:14,05:04:56
ironman-70.3-arizona-20151018.csv,26,Sam Picicci,44,WA,USA,---,---,---,---,---,DNS
ironman-70.3-arizona-20151018.csv,27,Andy Plummer,41,NE,USA,00:38:23,02:32:31,02:00:52,00:01:40,00:01:46,05:15:12
ironman-70.3-arizona-20151018.csv,28,John Cain Jr,46,WA,USA,00:39:24,02:33:29,02:00:30,00:02:25,00:01:10,05:16:58
ironman-70.3-arizona-20151018.csv,29,John Denne,48,KS,USA,00:51:02,02:36:20,02:18:45,00:02:30,00:02:32,05:51:09
ironman-70.3-arizona-20151018.csv,30,Gregory Gallagher,46,WA,USA,00:34:07,02:32:37,01:44:52,00:02:18,00:01:49,04:55:43
ironman-70.3-arizona-20151018.csv,31,Darren Gill,46,CA,USA,00:33:33,02:25:59,01:47:16,00:01:41,00:01:23,04:49:52
ironman-70.3-arizona-20151018.csv,32,Urmas Grossthal,47,AZ,EST,00:30:52,02:37:20,01:50:51,00:02:06,00:01:29,05:02:38
ironman-70.3-arizona-20151018.csv,33,Sherwick Min,49,UT,USA,---,---,---,---,---,DNS
ironman-70.3-arizona-20151018.csv,34,Jerry Slater,48,NV,USA,00:49:13,02:37:52,01:47:44,00:03:14,00:02:17,05:20:20
ironman-70.3-arizona-20151018.csv,35,Christopher Steenson,44,OR,USA,00:30:45,02:32:34,02:08:55,00:03:15,00:03:14,05:18:43
ironman-70.3-arizona-20151018.csv,36,Casey Adams,36,CO,USA,---,---,---,---,---,DNS
ironman-70.3-arizona-20151018.csv,37,Ben Larson,37,NV,USA,00:39:53,02:34:43,01:47:25,00:01:49,00:01:05,05:04:55
ironman-70.3-arizona-20151018.csv,38,Sean Rockwell,36,CA,USA,00:35:14,02:27:08,01:46:41,00:02:00,00:01:46,04:52:49
ironman-70.3-arizona-20151018.csv,39,Daniel Kenney,30,CO,USA,00:34:37,02:23:15,01:44:42,00:01:59,00:01:39,04:46:12
ironman-70.3-arizona-20151018.csv,40,Brandon Ordway,33,MN,USA,00:36:06,02:28:34,01:35:49,00:01:35,00:01:49,04:43:53
ironman-70.3-arizona-20151018.csv,41,Richard Schwartz,32,CA,USA,---,---,---,---,---,DNS
ironman-70.3-arizona-20151018.csv,42,Daniel Zamora,32,AZ,USA,00:37:20,02:19:19,01:26:38,00:01:17,00:00:50,04:25:24
ironman-70.3-arizona-20151018.csv,43,Nathan Lyons,28,AZ,USA,00:33:37,02:32:32,01:41:35,00:01:50,00:01:06,04:50:40
ironman-70.3-arizona-20151018.csv,44,Salvador Lancaster,51,CA,PRT,00:46:33,02:34:56,01:43:12,00:01:46,00:01:54,05:08:21
ironman-70.3-arizona-20151018.csv,45,Jay Lochhead,52,CA,USA,00:45:02,02:32:02,01:47:23,00:01:52,00:01:08,05:07:27
ironman-70.3-arizona-20151018.csv,46,Moeller Uwe,50,---,DEU,---,---,---,---,---,DNS
ironman-70.3-arizona-20151018.csv,47,Doug Ross,51,TN,USA,---,---,---,---,---,DNS
ironman-70.3-arizona-20151018.csv,48,Cortney Haile,38,CA,USA,00:39:44,02:46:23,01:52:08,00:01:55,00:01:26,05:21:36
ironman-70.3-arizona-20151018.csv,49,Elizabeth Larson,37,CA,USA,00:43:31,02:50:15,02:10:11,00:02:11,00:01:39,05:47:47
ironman-70.3-arizona-20151018.csv,50,Alyson Dunn,43,TX,GBR,00:43:30,02:46:41,01:44:59,00:02:12,00:01:54,05:19:16
ironman-70.3-arizona-20151018.csv,51,Polly Gill,44,CA,USA,00:44:28,02:44:49,02:04:37,00:02:11,00:01:31,05:37:36
ironman-70.3-arizona-20151018.csv,52,Sherianne Nelson,40,AZ,USA,00:35:56,02:48:33,01:50:14,00:01:27,00:01:11,05:17:21
ironman-70.3-arizona-20151018.csv,53,Vallee Ohayon,39,GA,USA,---,---,---,---,---,DNS
ironman-70.3-arizona-20151018.csv,54,Christine Allen,45,GA,USA,---,---,---,---,---,DNS
ironman-70.3-arizona-20151018.csv,55,Jami Min,46,UT,USA,00:38:23,02:44:47,01:51:50,00:02:01,00:01:43,05:18:44
ironman-70.3-arizona-20151018.csv,56,Michelle Schwartz,46,CA,USA,---,---,---,---,---,DQ
ironman-70.3-arizona-20151018.csv,57,Maria Hodges,28,Philippines,PHL,00:36:31,02:40:17,01:50:15,00:01:39,00:01:03,05:09:45
