#ironman-70.3-augusta-20110925.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-augusta-20110925.csv,1,Maxim Kriat,31,Almaty,UKR,00:20:20,02:10:32,01:15:44,00:02:01,00:00:57,03:49:34
ironman-70.3-augusta-20110925.csv,2,Viktor Zyemtsev,43,FL,UKR,00:20:15,02:10:40,01:13:20,00:02:05,00:00:55,03:47:15
ironman-70.3-augusta-20110925.csv,3,Christopher Legh,43,CO,AUS,00:21:05,02:10:24,01:40:22,00:02:11,00:00:50,04:14:52
ironman-70.3-augusta-20110925.csv,4,Paul Amey,43,---,GBR,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,5,Nick Waninger,32,IN,USA,00:20:19,02:19:20,01:15:21,00:02:15,00:00:50,03:58:05
ironman-70.3-augusta-20110925.csv,7,Tim Van Berkel,32,NSW,---,00:20:19,02:10:19,01:18:00,00:02:18,00:00:58,03:51:54
ironman-70.3-augusta-20110925.csv,9,Shanon Stallard,36,---,NZL,00:22:44,02:17:11,01:23:52,00:02:20,00:01:08,04:07:15
ironman-70.3-augusta-20110925.csv,10,Jared Milam,29,CO,USA,00:21:21,02:18:44,01:26:46,00:02:41,00:00:55,04:10:27
ironman-70.3-augusta-20110925.csv,12,Justin Park,36,GA,USA,00:20:20,02:25:31,---,00:02:18,00:02:55,DNF
ironman-70.3-augusta-20110925.csv,13,Bojan Maric,46,FL,SCG,00:23:14,02:31:16,01:30:44,00:02:59,00:01:40,04:29:53
ironman-70.3-augusta-20110925.csv,14,Grant Burwash,30,AB,CAN,00:20:32,02:15:48,01:23:08,00:02:12,00:01:01,04:02:41
ironman-70.3-augusta-20110925.csv,15,Stephen Dyke,54,NL,CAN,00:21:11,02:22:29,01:29:46,00:02:41,00:01:14,04:17:21
ironman-70.3-augusta-20110925.csv,16,Jeff Tarkowski,43,WI,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,17,Richard Allen,42,NC,GBR,00:20:19,02:10:17,---,00:02:21,00:00:54,DNF
ironman-70.3-augusta-20110925.csv,18,Ryan Bates,36,FL,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,19,Kyle Leto,30,CO,USA,00:19:00,02:06:40,01:27:21,00:02:13,00:01:03,03:56:17
ironman-70.3-augusta-20110925.csv,20,James Duff,39,NC,USA,00:19:31,02:14:18,---,00:02:13,00:02:06,DNF
ironman-70.3-augusta-20110925.csv,21,Jimi Minnema,37,MI,---,00:23:10,02:16:24,01:26:24,00:02:44,00:01:17,04:09:59
ironman-70.3-augusta-20110925.csv,23,Damon Barnet,29,CA,---,00:20:44,02:19:27,01:28:25,00:02:05,00:01:08,04:11:49
ironman-70.3-augusta-20110925.csv,24,Stanislav Krylov,31,FL,---,00:19:34,02:11:12,01:21:32,00:02:17,00:00:53,03:55:28
ironman-70.3-augusta-20110925.csv,26,Jose Jeuland,34,Intl State,FRA,00:20:22,02:16:04,01:22:06,00:02:10,00:01:23,04:02:05
ironman-70.3-augusta-20110925.csv,32,Heather Jackson,32,OR,---,00:24:07,02:22:58,01:37:51,00:02:39,00:00:55,04:28:30
ironman-70.3-augusta-20110925.csv,34,Tamara Kozulina,40,Intl State,UKR,00:24:59,02:29:31,01:31:51,00:02:24,00:01:12,04:29:57
ironman-70.3-augusta-20110925.csv,35,Caroline Smith,45,ID,USA,00:23:57,02:32:52,01:34:19,00:02:51,00:01:14,04:35:13
ironman-70.3-augusta-20110925.csv,37,Emma-Kate Lidbury,36,CA,GBR,00:21:54,02:26:14,01:27:49,00:02:28,00:01:06,04:19:31
ironman-70.3-augusta-20110925.csv,38,Natasha Yaremczuk,36,FL,CAN,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,39,Svetlana Blazevic,36,Intl State,SCG,00:21:51,02:38:37,01:36:01,00:02:38,00:01:15,04:40:22
ironman-70.3-augusta-20110925.csv,40,Amy Kloner,39,AZ,USA,00:24:56,02:30:05,01:31:20,00:02:35,00:01:16,04:30:12
ironman-70.3-augusta-20110925.csv,41,Magali Tisseyre,34,CA,CAN,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,42,Cindy Lewis,35,ON,CAN,00:24:58,02:41:05,01:41:38,00:03:12,00:01:29,04:52:22
ironman-70.3-augusta-20110925.csv,43,Amanda Lovato,44,CO,USA,00:23:56,02:29:47,01:28:36,00:02:31,00:01:04,04:25:54
ironman-70.3-augusta-20110925.csv,47,Minda Dentler,38,NY,USA,00:40:20,04:05:04,01:33:11,00:04:31,00:02:05,06:25:11
ironman-70.3-augusta-20110925.csv,48,Erich Manser,43,MA,USA,00:24:07,02:33:40,01:56:29,00:04:34,00:02:52,05:01:42
ironman-70.3-augusta-20110925.csv,52,Tracey Kerness,59,FL,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,53,Maria Andrew,59,FL,USA,00:36:54,03:19:49,02:28:27,00:07:33,00:03:17,06:36:00
ironman-70.3-augusta-20110925.csv,54,Hollace Leppert,59,FL,USA,00:34:07,03:07:34,02:40:02,00:05:49,00:03:17,06:30:49
ironman-70.3-augusta-20110925.csv,55,Linda Mcclellan,59,FL,USA,00:38:03,03:52:52,02:46:09,00:08:04,00:07:27,07:32:35
ironman-70.3-augusta-20110925.csv,56,Gina Caccamo,59,FL,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,57,Rosemary Gay,60,FL,USA,00:27:50,03:00:36,02:12:07,00:03:58,00:03:25,05:47:56
ironman-70.3-augusta-20110925.csv,58,Ann Lee,---,GA,USA,00:33:55,03:55:42,03:09:17,00:11:35,00:07:01,07:57:30
ironman-70.3-augusta-20110925.csv,59,Elvira Johnson,60,FL,USA,00:37:07,03:26:27,02:28:42,00:07:21,00:05:26,06:45:03
ironman-70.3-augusta-20110925.csv,60,Amy Watson,60,AL,USA,00:36:43,04:07:04,02:56:24,00:08:37,00:04:39,07:53:27
ironman-70.3-augusta-20110925.csv,61,Cindy Downing,60,GA,USA,00:35:30,03:47:39,02:55:06,00:08:03,00:02:55,07:29:13
ironman-70.3-augusta-20110925.csv,62,Bonnie Wright,60,FL,USA,00:26:30,03:18:09,02:52:44,00:05:57,00:04:20,06:47:40
ironman-70.3-augusta-20110925.csv,63,Lenora Mariner,61,VA,USA,00:39:43,03:05:04,02:43:59,00:04:22,00:03:50,06:36:58
ironman-70.3-augusta-20110925.csv,64,Linda Steward,61,FL,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,65,Kathy Black,61,FL,USA,00:30:38,02:43:39,02:37:05,00:03:58,00:02:58,05:58:18
ironman-70.3-augusta-20110925.csv,66,Barbara Kaufman,61,GA,USA,00:38:30,03:05:16,02:13:26,00:06:02,00:02:44,06:05:58
ironman-70.3-augusta-20110925.csv,67,Barbara Mcneal,60,FL,USA,00:29:28,03:09:08,02:33:20,00:05:04,00:03:40,06:20:40
ironman-70.3-augusta-20110925.csv,68,Alice Little Caldwell,61,GA,USA,00:41:03,04:15:09,03:26:54,00:08:15,00:06:12,08:37:33
ironman-70.3-augusta-20110925.csv,69,Sherrie Gibney-Sherman,62,GA,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,70,Susan Breeding,62,GA,USA,00:31:19,03:17:21,01:52:08,00:04:03,00:01:57,05:46:48
ironman-70.3-augusta-20110925.csv,71,Lois Thompson,62,GA,USA,00:34:02,03:22:33,02:24:06,00:09:26,00:06:51,06:36:58
ironman-70.3-augusta-20110925.csv,72,Melissa Swedberg,62,FL,USA,00:40:21,03:39:04,03:08:17,00:08:04,00:05:54,07:41:40
ironman-70.3-augusta-20110925.csv,73,Heather Simpson,62,FL,USA,00:35:02,03:28:55,03:22:09,00:05:08,00:06:00,07:37:14
ironman-70.3-augusta-20110925.csv,74,Lourdes Garcia,63,FL,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,75,Nancy Streb,62,FL,USA,00:27:01,03:25:25,02:38:54,00:04:38,00:05:13,06:41:11
ironman-70.3-augusta-20110925.csv,76,Jill Pellerin,63,SC,USA,00:34:38,03:31:43,03:11:00,00:07:22,00:06:39,07:31:22
ironman-70.3-augusta-20110925.csv,77,Willie Mccourt,62,NC,USA,00:33:05,02:52:03,02:45:43,00:04:07,00:03:27,06:18:25
ironman-70.3-augusta-20110925.csv,78,Suzette Trainor,64,FL,USA,00:28:00,02:54:30,02:23:58,00:04:24,00:03:24,05:54:16
ironman-70.3-augusta-20110925.csv,79,Arlene Klauber,63,VA,USA,00:34:56,03:39:09,03:16:58,00:08:47,00:06:35,07:46:25
ironman-70.3-augusta-20110925.csv,80,Nancy Washmuth,---,FL,USA,00:37:38,03:42:04,03:14:00,00:11:13,00:05:12,07:50:07
ironman-70.3-augusta-20110925.csv,81,Sandy Padgett,66,FL,USA,00:35:19,03:28:29,02:26:13,00:05:46,00:04:36,06:40:23
ironman-70.3-augusta-20110925.csv,82,Paula Vanantwerp,66,NC,USA,00:28:21,03:06:47,02:10:41,00:05:23,00:04:24,05:55:36
ironman-70.3-augusta-20110925.csv,83,Pat Brighton,67,FL,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,84,Mary Duguay,67,GA,USA,00:32:54,03:12:41,03:06:14,00:04:37,00:02:55,06:59:21
ironman-70.3-augusta-20110925.csv,85,Sue Splady,69,SC,USA,00:39:25,03:40:56,03:15:28,00:08:56,00:04:16,07:49:01
ironman-70.3-augusta-20110925.csv,86,Nancy Downs,69,FL,USA,00:27:56,03:31:30,03:29:52,00:05:56,00:04:35,07:39:49
ironman-70.3-augusta-20110925.csv,87,Judith Garrard,70,GA,USA,00:37:29,03:38:39,03:05:31,00:05:44,00:05:38,07:33:01
ironman-70.3-augusta-20110925.csv,88,Iris Dayoub,79,GA,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,89,David Benedetti,59,FL,USA,00:27:12,03:03:45,02:46:15,00:05:34,00:04:30,06:27:16
ironman-70.3-augusta-20110925.csv,90,Ralph Hopkins,60,FL,USA,00:26:42,02:49:04,02:53:01,00:04:02,00:02:49,06:15:38
ironman-70.3-augusta-20110925.csv,91,Frederick Dorsey,60,FL,USA,00:27:53,02:42:15,01:58:51,00:04:40,00:01:35,05:15:14
ironman-70.3-augusta-20110925.csv,92,Michael Fahy,59,TN,USA,00:26:43,02:52:03,02:27:15,00:04:53,00:04:21,05:55:15
ironman-70.3-augusta-20110925.csv,93,Greg Sackett,59,FL,USA,00:38:15,02:55:13,02:00:39,00:05:16,00:04:32,05:43:55
ironman-70.3-augusta-20110925.csv,94,Eric Shemwell,59,GA,USA,00:31:02,03:00:47,02:44:09,00:09:18,00:05:55,06:31:11
ironman-70.3-augusta-20110925.csv,95,Paul Dorsa,59,TN,USA,00:26:35,02:50:11,02:29:32,00:04:20,00:03:10,05:53:48
ironman-70.3-augusta-20110925.csv,96,Tc Schultz,59,FL,USA,00:29:30,02:41:49,02:27:09,00:05:32,00:05:06,05:49:06
ironman-70.3-augusta-20110925.csv,97,Sidney Hoyt,59,AL,USA,00:29:44,03:06:03,02:43:45,00:07:32,00:08:03,06:35:07
ironman-70.3-augusta-20110925.csv,98,Daniel Kornacki,59,GA,USA,00:28:23,02:46:24,02:10:30,00:03:49,00:02:44,05:31:50
ironman-70.3-augusta-20110925.csv,99,Fred Lee,59,FL,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,100,Robert Ebert,60,FL,USA,00:30:24,02:56:03,02:27:16,00:04:28,00:02:57,06:01:08
ironman-70.3-augusta-20110925.csv,101,John Gregory,67,VA,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,102,Oscar Arenas,60,GA,USA,00:26:48,02:38:55,01:54:26,00:04:08,00:02:00,05:06:17
ironman-70.3-augusta-20110925.csv,103,Mark Russell,54,FL,USA,00:32:44,02:49:20,02:27:43,00:05:07,00:03:02,05:57:56
ironman-70.3-augusta-20110925.csv,104,Lolly Brasseaux,60,LA,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,105,Charlie Lindsey,60,GA,USA,---,---,---,---,---,DNS
ironman-70.3-augusta-20110925.csv,106,Glen Jackson,60,GA,USA,00:28:02,03:08:41,02:45:29,00:04:23,00:02:01,06:28:36
ironman-70.3-augusta-20110925.csv,107,Bob Huber,60,GA,USA,00:32:55,03:10:32,02:44:26,00:06:24,00:03:14,06:37:31
ironman-70.3-augusta-20110925.csv,108,Douglas Mckenzie,60,GA,USA,00:35:10,02:47:59,---,00:06:13,---,DNF
ironman-70.3-augusta-20110925.csv,109,Terry Miller,60,GA,USA,00:30:00,02:51:38,02:18:17,00:06:40,00:03:34,05:50:09
ironman-70.3-augusta-20110925.csv,110,Richard Yonce,60,---,USA,00:28:19,03:08:52,01:54:48,00:05:18,00:03:30,05:40:47
ironman-70.3-augusta-20110925.csv,111,John Semanick,60,NC,USA,00:31:30,03:19:24,02:32:45,00:05:37,00:05:55,06:35:11
ironman-70.3-augusta-20110925.csv,112,Kenny Conti,60,NC,USA,00:33:12,02:58:53,02:55:36,00:04:16,00:02:22,06:34:19
ironman-70.3-augusta-20110925.csv,113,Keon Lee,60,GA,USA,00:33:49,02:51:07,01:58:58,00:05:38,00:02:22,05:31:54
ironman-70.3-augusta-20110925.csv,114,Jean-Paul Albertelli,59,FL,USA,00:27:30,03:19:03,02:36:15,00:04:10,00:04:30,06:31:28
ironman-70.3-augusta-20110925.csv,115,John Jorgensen,---,FL,USA,00:29:14,02:46:35,02:17:31,00:04:12,00:02:35,05:40:07
ironman-70.3-augusta-20110925.csv,116,Bill Reese,60,LA,USA,00:26:36,02:38:36,01:36:07,00:03:11,00:01:33,04:46:03
ironman-70.3-augusta-20110925.csv,117,Scott Keeler,60,MS,USA,00:34:09,03:10:23,02:37:54,00:08:23,00:05:45,06:36:34
ironman-70.3-augusta-20110925.csv,118,Jim Britnell,60,FL,USA,00:29:10,02:47:19,02:20:20,00:04:30,00:03:07,05:44:26
ironman-70.3-augusta-20110925.csv,119,Jerry Mccrum,60,GA,USA,00:30:14,02:48:00,02:44:03,00:03:48,00:02:38,06:08:43
ironman-70.3-augusta-20110925.csv,120,Michael Roudabush,59,SC,USA,00:24:43,02:57:27,02:21:00,00:05:39,00:01:56,05:50:45
ironman-70.3-augusta-20110925.csv,121,Wesley Spratt,60,SC,USA,00:26:15,02:41:52,02:26:19,00:03:34,00:03:18,05:41:18
ironman-70.3-augusta-20110925.csv,122,Mark Dorigan,60,VA,USA,00:26:58,02:48:05,02:51:34,00:04:56,00:04:25,06:15:58
ironman-70.3-augusta-20110925.csv,123,Ralph Gifford,60,FL,USA,00:26:56,02:41:45,02:06:54,00:04:35,00:02:48,05:22:58
ironman-70.3-augusta-20110925.csv,124,Greg Mcclellan,60,FL,USA,00:34:30,03:28:38,03:02:28,00:07:30,00:04:02,07:17:08
