#File=ironman-70.3-augusta-20160925.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-augusta-20160925.csv,2,Helle Frederiksen,35,---,DNK,00:21:02,02:17:44,01:27:36,00:02:22,00:02:01,04:10:45
ironman-70.3-augusta-20160925.csv,5,Melanie Mcquaid,43,BC,CAN,00:22:48,02:26:18,01:52:50,00:02:40,00:02:04,04:46:40
ironman-70.3-augusta-20160925.csv,6,Sara Gross,40,BC,CAN,00:24:20,02:49:54,01:32:07,00:03:21,00:02:45,04:52:27
ironman-70.3-augusta-20160925.csv,7,Haley Chura,31,MT,USA,00:20:42,02:28:29,01:30:00,00:02:27,00:02:08,04:23:46
ironman-70.3-augusta-20160925.csv,8,Jeanni Seymour,24,CO,ZAF,00:22:49,02:32:19,01:20:59,00:02:17,00:01:59,04:20:23
ironman-70.3-augusta-20160925.csv,9,Laurel Wassner,41,CA,USA,00:22:52,02:32:09,01:31:12,00:02:35,00:02:12,04:31:00
ironman-70.3-augusta-20160925.csv,10,Ruth Brennan Morrey,40,MN,USA,00:27:08,02:26:55,01:24:20,00:02:38,00:02:07,04:23:08
ironman-70.3-augusta-20160925.csv,13,Erin Crum,38,ID,USA,00:24:24,02:40:20,01:34:54,00:02:33,00:02:27,04:44:38
ironman-70.3-augusta-20160925.csv,14,Malindi Elmore,36,BC,CAN,00:26:02,02:27:10,01:22:29,00:02:21,00:02:04,04:20:06
ironman-70.3-augusta-20160925.csv,15,Kelly Fillnow,33,NC,USA,00:25:49,02:32:08,01:29:44,00:02:21,00:02:05,04:32:07
ironman-70.3-augusta-20160925.csv,16,April Gellatly,33,GA,USA,00:23:37,02:36:06,01:40:33,00:02:40,00:02:28,04:45:24
ironman-70.3-augusta-20160925.csv,17,Alycia Hill,27,UT,USA,00:23:33,02:35:20,01:27:31,00:02:33,00:02:00,04:30:57
ironman-70.3-augusta-20160925.csv,20,Maria Lopez,33,FL,USA,00:27:43,02:50:56,01:52:43,00:03:21,00:03:21,05:18:04
ironman-70.3-augusta-20160925.csv,22,Amelia Mccracken,33,PA,USA,00:27:16,02:42:26,---,00:02:58,00:02:17,DNF
ironman-70.3-augusta-20160925.csv,23,Natasha Mendez,26,Santiago,DOM,00:24:29,02:49:31,01:34:08,00:02:32,00:02:10,04:52:50
ironman-70.3-augusta-20160925.csv,24,Julie Patterson,27,VA,USA,00:23:35,02:32:43,---,00:02:20,00:02:16,DNF
ironman-70.3-augusta-20160925.csv,25,Brittany Higgins,32,FL,USA,00:24:13,02:30:52,01:37:08,00:02:27,00:01:55,04:36:35
ironman-70.3-augusta-20160925.csv,26,Maria Luz Poblete,25,---,CHL,---,---,---,---,---,DQ
ironman-70.3-augusta-20160925.csv,27,Stephanie Roy,21,QC,CAN,00:24:28,02:30:47,01:26:02,00:02:15,00:02:03,04:25:35
ironman-70.3-augusta-20160925.csv,28,Maggie Rusch,29,NC,USA,00:24:21,02:44:20,01:37:56,00:02:17,00:02:15,04:51:09
ironman-70.3-augusta-20160925.csv,30,Raquel Torres,35,MI,DOM,00:22:55,02:43:42,---,00:02:35,00:02:27,DNF
ironman-70.3-augusta-20160925.csv,31,Rebeccah Wassner,41,NY,USA,00:22:54,02:30:49,01:41:08,00:02:18,00:02:13,04:39:22
ironman-70.3-augusta-20160925.csv,32,Molly Woodford,26,WI,USA,00:23:36,02:46:34,01:40:56,00:02:49,00:02:25,04:56:20
ironman-70.3-augusta-20160925.csv,51,Patrick Vellia,29,NC,USA,00:37:59,02:59:51,03:29:41,00:07:30,00:09:44,07:24:45
ironman-70.3-augusta-20160925.csv,52,Jonathan Blackley,28,NC,USA,00:37:58,02:59:51,03:29:43,00:07:30,00:09:44,07:24:46
ironman-70.3-augusta-20160925.csv,53,Christopher Lancaster,40,GA,USA,00:33:15,02:42:00,02:32:21,00:04:19,00:04:57,05:56:52
ironman-70.3-augusta-20160925.csv,54,Charlie St. Cyr-Paul,45,FL,USA,00:33:15,02:41:59,02:32:21,00:04:18,00:04:59,05:56:52
ironman-70.3-augusta-20160925.csv,55,Kristina Ament,54,VA,USA,00:36:14,02:55:25,03:20:59,00:07:11,00:06:03,07:05:52
ironman-70.3-augusta-20160925.csv,56,Caroline Gaynor,32,NC,USA,00:36:14,02:55:22,03:20:58,00:07:09,00:06:08,07:05:51
ironman-70.3-augusta-20160925.csv,58,Stephanie Wickham,28,FL,USA,00:34:04,03:15:31,02:23:37,00:05:43,00:05:03,06:23:58
ironman-70.3-augusta-20160925.csv,60,Michael Smith,36,VA,USA,00:44:23,04:22:28,03:56:06,00:06:30,00:05:31,DNF
ironman-70.3-augusta-20160925.csv,62,Justin Knight,28,GA,USA,00:29:19,04:47:47,---,00:10:29,00:22:47,DNF
ironman-70.3-augusta-20160925.csv,66,Maria Silvia Descrivan,44,FL,VEN,00:32:42,03:03:20,02:12:01,00:03:57,00:04:04,05:56:04
ironman-70.3-augusta-20160925.csv,67,Dale Dingle,53,NC,USA,00:31:58,02:53:52,01:59:25,00:03:40,00:04:13,05:33:08
ironman-70.3-augusta-20160925.csv,68,Barbara Chandler,53,GA,USA,00:30:19,02:46:27,02:01:43,00:02:57,00:03:17,05:24:43
ironman-70.3-augusta-20160925.csv,70,Hollis Donaldson,33,FL,USA,00:30:43,03:04:47,02:04:07,00:05:00,00:05:17,05:49:54
ironman-70.3-augusta-20160925.csv,71,Carlos Aya,39,FL,COL,00:27:19,02:37:16,02:00:40,00:02:34,00:02:27,05:10:16
ironman-70.3-augusta-20160925.csv,72,Phoenix Calandrella,40,GA,USA,00:29:18,03:20:53,02:38:49,00:06:04,00:05:20,06:40:24
ironman-70.3-augusta-20160925.csv,73,Ryan Conner,43,AL,USA,00:28:53,02:54:25,02:19:33,00:04:07,00:03:44,05:50:42
ironman-70.3-augusta-20160925.csv,74,Andreas Doneyhue,44,LA,USA,00:36:26,03:06:14,02:42:38,00:05:25,00:08:05,06:38:48
ironman-70.3-augusta-20160925.csv,75,Wade Johnson,40,TX,USA,00:39:47,04:04:23,03:31:17,00:06:02,00:08:21,08:29:50
ironman-70.3-augusta-20160925.csv,76,Jose Lopez,41,FL,PRI,00:38:35,03:20:47,03:10:08,00:08:54,00:08:28,07:26:52
ironman-70.3-augusta-20160925.csv,77,Zack Peters,40,GA,USA,00:31:41,03:00:34,02:10:28,00:04:14,00:04:42,05:51:39
ironman-70.3-augusta-20160925.csv,78,Pieter Scheepers,41,FL,USA,00:50:48,03:02:12,02:33:46,00:06:22,00:06:11,06:39:19
ironman-70.3-augusta-20160925.csv,79,Seth Habberfield,36,IL,USA,00:32:50,03:11:14,02:41:59,00:04:43,00:05:56,06:36:42
ironman-70.3-augusta-20160925.csv,80,Victor Hernandez,35,Cortes,HND,00:30:02,02:49:32,02:05:06,00:03:48,00:03:57,05:32:25
ironman-70.3-augusta-20160925.csv,81,Michael King,34,MI,USA,00:39:24,03:18:54,02:36:34,00:06:45,00:09:03,06:50:40
ironman-70.3-augusta-20160925.csv,82,Kenneth Price,38,GA,USA,00:35:06,03:09:24,02:40:11,00:07:03,00:05:46,06:37:30
ironman-70.3-augusta-20160925.csv,83,Scott Walker,35,GA,USA,00:41:17,03:33:43,03:21:48,00:09:34,00:10:16,07:56:38
ironman-70.3-augusta-20160925.csv,84,Timothy Watt,39,GA,USA,00:30:11,03:00:17,02:18:46,00:04:07,00:05:43,05:59:04
ironman-70.3-augusta-20160925.csv,85,James Wortman,38,TX,USA,00:29:40,02:50:47,02:32:57,00:07:47,00:04:58,06:06:09
ironman-70.3-augusta-20160925.csv,86,Claudia Alvarez,40,FL,PAN,00:30:00,02:56:24,01:40:02,00:04:58,00:03:43,05:15:07
ironman-70.3-augusta-20160925.csv,87,Christel Chase,44,TX,USA,00:34:58,02:54:06,01:49:49,00:04:18,00:03:51,05:27:02
ironman-70.3-augusta-20160925.csv,88,Ana Clark,39,MS,USA,00:35:57,03:18:20,02:48:34,00:05:27,00:07:25,06:55:43
ironman-70.3-augusta-20160925.csv,89,Marsha Henry,40,MD,USA,00:47:06,04:06:09,03:00:52,00:10:39,00:09:23,08:14:09
ironman-70.3-augusta-20160925.csv,90,Tamara Martin,43,FL,USA,00:31:48,03:33:13,03:02:25,00:07:27,00:07:40,07:22:33
ironman-70.3-augusta-20160925.csv,91,Jennifer Shelton,41,KS,USA,00:34:12,03:08:35,02:42:55,00:04:10,00:04:57,06:34:49
ironman-70.3-augusta-20160925.csv,93,Dawn Mihalovic-Bayer,---,WI,USA,00:32:16,03:19:46,02:20:36,00:05:19,00:04:56,06:22:53
ironman-70.3-augusta-20160925.csv,94,Arland Van Horn,48,CA,USA,00:30:11,03:07:51,02:32:14,00:04:37,00:04:24,06:19:17
ironman-70.3-augusta-20160925.csv,95,Jolynn Vancamp,48,GA,USA,00:31:37,---,---,00:32:43,---,DNF
ironman-70.3-augusta-20160925.csv,96,Tiffany Leggett,36,GA,USA,00:33:18,03:21:40,02:55:29,00:04:39,00:04:03,06:59:09
ironman-70.3-augusta-20160925.csv,97,Nadia Thomas,37,OK,USA,00:39:09,04:13:00,03:15:11,00:12:49,00:07:42,08:27:51
ironman-70.3-augusta-20160925.csv,98,Michael Felix,48,TN,USA,00:35:36,03:02:05,02:21:44,00:06:18,00:04:41,06:10:24
ironman-70.3-augusta-20160925.csv,100,Tim Poorman,48,MO,USA,00:35:26,03:22:13,03:30:37,00:04:51,00:07:10,07:40:17
ironman-70.3-augusta-20160925.csv,101,Jason Redman,47,GA,USA,00:36:16,04:12:53,03:04:06,00:08:03,00:09:27,08:10:45
ironman-70.3-augusta-20160925.csv,105,Kyle Fredrickson,23,AL,USA,00:25:55,02:54:12,01:43:13,00:02:38,00:02:27,05:08:25
ironman-70.3-augusta-20160925.csv,106,Fernando Arredondo,34,---,DOM,00:32:51,03:14:30,---,00:06:55,00:09:00,DNF
ironman-70.3-augusta-20160925.csv,107,Daniel Kilgore,32,GA,USA,00:33:40,03:28:03,02:14:25,00:05:53,00:05:19,06:27:20
ironman-70.3-augusta-20160925.csv,108,Debbie Hanna,60,MO,USA,00:33:10,03:44:02,03:42:39,00:05:14,00:08:10,08:13:15
ironman-70.3-augusta-20160925.csv,109,Nancy Wilson,62,NC,USA,00:34:14,04:17:15,03:34:32,00:09:13,00:19:58,DNF
ironman-70.3-augusta-20160925.csv,112,Scott Van Horn,51,CA,USA,00:32:07,02:50:05,01:58:47,00:03:39,00:03:46,05:28:24
ironman-70.3-augusta-20160925.csv,114,Skip Hansen,64,GA,USA,---,---,---,---,---,DQ
ironman-70.3-augusta-20160925.csv,115,Jack Tucker,61,TN,USA,00:31:40,03:55:58,02:58:00,00:06:37,00:06:25,07:38:40
ironman-70.3-augusta-20160925.csv,120,Bethany Rutledge,35,GA,USA,00:27:49,02:47:33,01:43:00,00:03:16,00:02:29,05:04:07
ironman-70.3-augusta-20160925.csv,121,Kelly Luttmer,53,TX,USA,00:29:42,02:46:01,01:55:54,00:03:38,00:03:32,05:18:47
ironman-70.3-augusta-20160925.csv,122,Ed Crossman,35,GA,USA,00:29:16,02:30:23,01:45:32,00:03:28,00:04:19,04:52:58
ironman-70.3-augusta-20160925.csv,123,Alfonso Ahuja,53,GA,USA,00:30:04,02:45:14,02:01:46,00:03:17,00:02:58,05:23:19
ironman-70.3-augusta-20160925.csv,124,Dorothy Lowell,32,CA,USA,00:29:39,03:04:19,02:21:52,00:07:47,00:07:54,06:11:31
ironman-70.3-augusta-20160925.csv,125,Allison Preston,24,TN,USA,00:31:01,03:15:12,02:06:52,00:04:54,00:05:41,06:03:40
ironman-70.3-augusta-20160925.csv,126,Nely Ward,21,LA,USA,00:32:26,03:15:59,02:27:45,00:03:54,00:03:53,06:23:57
ironman-70.3-augusta-20160925.csv,127,Lindsay Westerfield,24,KY,USA,00:30:04,03:02:52,02:02:53,00:02:36,00:02:24,05:40:49
ironman-70.3-augusta-20160925.csv,128,Kristen Griest,27,GA,USA,00:30:24,03:07:33,02:03:21,00:05:40,00:06:25,05:53:23
ironman-70.3-augusta-20160925.csv,129,Julie Rogers,29,VA,USA,00:33:18,04:04:35,03:16:14,00:05:17,00:07:13,08:06:37
ironman-70.3-augusta-20160925.csv,130,Suzanne White,28,AL,USA,00:32:55,03:12:14,03:03:58,00:04:18,00:09:53,07:03:18
ironman-70.3-augusta-20160925.csv,131,Carolina Margarella,33,GA,USA,00:30:06,03:18:32,01:45:17,00:04:17,00:03:20,05:41:32
ironman-70.3-augusta-20160925.csv,132,Jill Olmstead,31,VA,USA,00:35:50,03:56:34,02:04:33,00:05:57,00:06:50,06:49:44
ironman-70.3-augusta-20160925.csv,133,Cara Adams,38,OH,USA,00:35:29,03:34:20,03:05:58,00:04:09,00:05:22,07:25:18
ironman-70.3-augusta-20160925.csv,134,Amber Foster,36,UT,USA,00:28:19,02:35:08,01:47:04,00:03:41,00:03:03,04:57:15
ironman-70.3-augusta-20160925.csv,135,Katherine Lane,37,SC,USA,00:33:08,03:12:47,02:26:39,00:05:39,00:05:27,06:23:40
ironman-70.3-augusta-20160925.csv,136,Katherine Legge,36,GA,GBR,00:34:25,02:52:06,02:23:28,00:03:59,00:02:44,05:56:42
ironman-70.3-augusta-20160925.csv,137,Jennie Lipsher,36,MS,USA,00:38:16,04:15:18,02:55:25,00:08:20,00:12:25,08:09:44
ironman-70.3-augusta-20160925.csv,138,Sarah Mclean,36,GA,USA,00:34:56,03:03:35,02:23:49,00:03:58,00:05:09,06:11:27
ironman-70.3-augusta-20160925.csv,139,Monica Preciado,38,ID,USA,00:35:55,03:33:31,03:09:15,00:05:24,00:09:49,07:33:54
ironman-70.3-augusta-20160925.csv,140,Catherine Gray,44,OR,USA,00:39:22,04:09:27,02:53:26,00:08:51,00:12:22,08:03:28
ironman-70.3-augusta-20160925.csv,141,Jennifer Johnson Reifsny,41,IL,USA,00:32:47,03:41:18,02:48:55,00:06:50,00:09:18,07:19:08
ironman-70.3-augusta-20160925.csv,142,Carrie Worth,41,GA,USA,00:35:23,04:04:18,03:22:45,00:08:34,00:10:20,08:21:20
ironman-70.3-augusta-20160925.csv,143,Susan Stevens,46,CA,USA,00:33:23,03:10:00,02:39:59,00:03:18,00:03:26,06:30:06
ironman-70.3-augusta-20160925.csv,144,Gina Tran,45,FL,USA,00:37:09,03:00:28,03:02:03,00:04:46,00:05:39,06:50:05
ironman-70.3-augusta-20160925.csv,145,Lisa Benitez,49,NY,USA,00:40:33,03:25:23,02:21:19,00:05:34,00:06:47,06:39:36
