#File=ironman-70.3-bahrain-20151205.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-bahrain-20151205.csv,6,Ben Hoffman,32,CO,USA,---,02:02:56,01:18:01,00:01:08,00:00:51,03:22:56
ironman-70.3-bahrain-20151205.csv,7,David Plese,32,Intl State,SVN,---,01:57:57,01:15:26,00:01:13,00:00:48,03:15:24
ironman-70.3-bahrain-20151205.csv,8,James Cunnama,32,---,ZAF,---,01:58:07,01:14:01,00:01:05,00:00:41,03:13:54
ironman-70.3-bahrain-20151205.csv,10,Ruedi Wild,33,---,CHE,---,01:58:21,01:12:02,00:01:10,00:00:53,03:12:26
ironman-70.3-bahrain-20151205.csv,11,Richie Cunningham,42,CO,AUS,---,01:59:03,01:23:41,00:01:09,00:00:39,03:24:32
ironman-70.3-bahrain-20151205.csv,12,Alberto Casadei,30,Intl State,ITA,---,02:12:03,01:24:03,00:01:12,00:01:20,03:38:38
ironman-70.3-bahrain-20151205.csv,13,Hh Shaikh Nasser Bin Al Khalifa,28,Other,BHR,---,02:21:08,01:32:47,00:01:13,00:01:06,03:56:14
ironman-70.3-bahrain-20151205.csv,14,Christian Hörper,28,---,DEU,---,01:59:49,01:15:58,00:01:10,00:00:50,03:17:47
ironman-70.3-bahrain-20151205.csv,17,Olivier Godart,40,DXB,LUX,---,02:01:43,01:19:34,00:01:07,00:01:12,03:23:36
ironman-70.3-bahrain-20151205.csv,18,Eric Watson,26,WA,BHR,---,02:19:15,01:18:54,00:01:03,00:01:03,03:40:15
ironman-70.3-bahrain-20151205.csv,19,Tomas Renc,25,Intl State,CZE,---,02:11:11,01:20:31,00:01:10,00:01:10,03:34:02
ironman-70.3-bahrain-20151205.csv,20,Charles Martin,23,---,FRA,---,02:16:11,01:35:30,00:01:01,00:01:22,03:54:04
ironman-70.3-bahrain-20151205.csv,21,Albert Moreno Molins,25,---,ESP,---,02:01:55,01:14:42,00:01:05,00:00:54,03:18:36
ironman-70.3-bahrain-20151205.csv,22,Kacper Adam,23,Poland,POL,---,02:02:30,01:25:29,00:01:09,00:00:51,03:29:59
ironman-70.3-bahrain-20151205.csv,23,Zsombor Deak,26,NSW,ROU,---,02:13:58,01:27:11,00:01:05,00:00:45,03:42:59
ironman-70.3-bahrain-20151205.csv,24,Marek Nemcik,40,Intl State,SVK,---,02:35:37,01:53:33,00:01:10,00:01:41,04:32:01
ironman-70.3-bahrain-20151205.csv,25,Domenico Passuello,37,Intl State,ITA,---,01:58:22,01:18:28,00:01:21,00:00:59,03:19:10
ironman-70.3-bahrain-20151205.csv,26,Bertrand Billard,28,---,FRA,---,01:59:24,01:17:08,00:01:08,00:01:01,03:18:41
ironman-70.3-bahrain-20151205.csv,27,Antony Costes,25,---,FRA,---,01:58:00,01:16:04,00:01:07,00:00:41,03:15:52
ironman-70.3-bahrain-20151205.csv,28,Patrick Dirksmeier,31,---,DEU,---,01:59:53,01:19:28,00:01:03,00:00:59,03:21:23
ironman-70.3-bahrain-20151205.csv,32,Brent Mcmahon,35,BC,CAN,---,01:57:30,01:16:15,00:01:05,00:00:48,03:15:38
ironman-70.3-bahrain-20151205.csv,33,Henri Schoeman,24,KwaZulu-Natal,ZAF,---,02:05:16,01:25:13,00:01:04,00:01:05,03:32:38
ironman-70.3-bahrain-20151205.csv,34,Bart Aernouts,31,---,BEL,---,01:55:14,01:14:00,00:01:05,00:00:56,03:11:15
ironman-70.3-bahrain-20151205.csv,51,Daniela Ryf,28,---,CHE,---,02:07:28,01:18:48,00:01:11,00:00:53,03:28:20
ironman-70.3-bahrain-20151205.csv,52,Jodie Ann Swallow,34,essex,GBR,---,02:12:55,01:34:17,00:01:16,00:00:40,03:49:08
ironman-70.3-bahrain-20151205.csv,53,Caroline Claudia Steffen,37,NSW,CHE,---,02:12:54,01:22:54,00:01:10,00:00:47,03:37:45
ironman-70.3-bahrain-20151205.csv,55,Lucie Zelenkova,41,Eastern Cape,CZE,---,02:30:00,01:33:57,00:01:17,00:00:51,04:06:05
ironman-70.3-bahrain-20151205.csv,56,Asa Lundstrom,31,---,SWE,---,02:09:28,01:28:06,00:01:16,00:00:45,03:39:35
ironman-70.3-bahrain-20151205.csv,59,Caroline Livesey,36,Intl State,GBR,---,02:22:06,01:32:52,00:01:18,00:00:58,03:57:14
ironman-70.3-bahrain-20151205.csv,62,Carina Brechters,25,---,DEU,---,02:32:38,01:37:56,00:01:18,00:00:56,04:12:48
ironman-70.3-bahrain-20151205.csv,101,Kelly Ryan,32,HI,USA,---,02:36:15,01:51:04,00:01:20,00:01:38,04:30:17
ironman-70.3-bahrain-20151205.csv,102,Linda Blakely,41,Other,GBR,---,02:46:21,01:51:05,00:01:38,00:01:27,04:40:31
ironman-70.3-bahrain-20151205.csv,105,Dawid Pikor,29,---,POL,---,02:32:23,01:54:11,00:01:25,00:00:42,04:28:41
ironman-70.3-bahrain-20151205.csv,106,Jonathan Robinson,32,Seef,NZL,---,02:36:28,02:07:34,00:01:39,00:01:44,04:47:25
ironman-70.3-bahrain-20151205.csv,107,Cinar Goksen,34,Alabama,TUR,---,02:23:11,01:37:28,00:01:40,00:00:52,04:03:11
ironman-70.3-bahrain-20151205.csv,108,Eddy Moreau,36,---,FRA,---,02:35:13,02:10:54,00:01:27,00:01:16,04:48:50
ironman-70.3-bahrain-20151205.csv,109,Gregor Studer,36,---,CHE,---,02:25:06,01:26:36,00:01:20,00:01:07,03:54:09
ironman-70.3-bahrain-20151205.csv,111,Helder Francisco,41,TX,PRT,---,02:37:34,01:37:43,00:01:36,00:02:05,04:18:58
ironman-70.3-bahrain-20151205.csv,112,Martin Bond,43,DXB,GBR,---,02:16:50,02:04:00,00:01:18,00:01:29,04:23:37
ironman-70.3-bahrain-20151205.csv,113,Patrick Wallimann,42,---,CHE,---,02:09:24,01:23:57,00:01:30,00:01:07,03:35:58
ironman-70.3-bahrain-20151205.csv,114,Dave Kyle,46,MI,USA,---,02:12:01,01:33:10,00:01:15,00:01:23,03:47:49
