#File=ironman-70.3-barcelona-20170521.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-barcelona-20170521.csv,1,Jan Frodeno,35,---,DEU,00:22:48,02:25:18,01:11:58,00:02:09,00:01:32,04:03:45
ironman-70.3-barcelona-20170521.csv,2,Patrik Nilsson,25,---,SWE,00:24:07,02:32:10,01:15:36,00:02:10,00:01:44,04:15:47
ironman-70.3-barcelona-20170521.csv,3,Ivan Raña,37,---,ESP,00:22:51,02:33:37,01:15:13,00:02:04,00:01:42,04:15:27
ironman-70.3-barcelona-20170521.csv,4,Frederik Van Lierde,37,---,BEL,00:23:56,02:26:53,01:15:48,00:02:07,00:01:47,04:10:31
ironman-70.3-barcelona-20170521.csv,5,Viktor Zyemtsev,44,FL,UKR,00:24:09,02:32:17,01:16:49,00:02:04,00:01:47,04:17:06
ironman-70.3-barcelona-20170521.csv,6,Jonathan Ciavattella,35,Intl State,ITA,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,7,Martin Olsson,27,---,SWE,00:30:47,02:46:11,01:25:46,00:02:54,00:02:01,04:47:39
ironman-70.3-barcelona-20170521.csv,8,Lluis Vila Aguilar,33,---,ESP,00:27:36,02:34:31,01:19:18,00:02:18,00:01:39,04:25:22
ironman-70.3-barcelona-20170521.csv,9,Remmert Wielanga,39,---,NLD,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,10,Nicholas Kastelein,29,NSW,AUS,00:22:56,02:25:55,01:13:13,00:02:01,00:01:58,04:06:03
ironman-70.3-barcelona-20170521.csv,11,Daniil Sapunov,35,Kiev,UKR,00:24:00,02:35:40,01:17:45,00:02:18,00:02:03,04:21:46
ironman-70.3-barcelona-20170521.csv,12,Alexander Chikin,25,---,RUS,00:26:46,02:36:28,01:22:19,00:02:37,00:01:59,04:30:09
ironman-70.3-barcelona-20170521.csv,13,Francesc Godoy,30,---,ESP,00:22:47,02:30:37,---,00:02:02,00:02:05,DNF
ironman-70.3-barcelona-20170521.csv,14,Kevin Thewes,26,---,DEU,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,15,Hannes Callebaut,24,---,BEL,00:24:05,02:36:05,01:22:42,00:03:14,00:02:06,04:28:12
ironman-70.3-barcelona-20170521.csv,16,Simon Brierley,38,Paphos,SYC,00:27:06,02:58:54,01:42:32,00:02:47,00:05:41,05:17:00
ironman-70.3-barcelona-20170521.csv,17,Peter Seidel,27,---,DEU,00:26:41,02:43:41,01:24:40,00:02:41,00:01:58,04:39:41
ironman-70.3-barcelona-20170521.csv,18,Sanne Swolfs,29,---,BEL,00:25:30,02:32:40,---,00:02:23,00:01:42,DNF
ironman-70.3-barcelona-20170521.csv,19,Pacome Thibault-Lopez,24,---,FRA,00:26:48,02:27:43,01:17:31,00:02:23,00:01:55,04:16:20
ironman-70.3-barcelona-20170521.csv,20,Cyril Pochon,38,---,FRA,00:26:32,02:47:13,01:24:56,00:02:26,00:02:47,04:43:54
ironman-70.3-barcelona-20170521.csv,21,Lucas Amirault,22,---,FRA,00:26:34,02:38:27,01:24:15,00:02:19,00:02:05,04:33:40
ironman-70.3-barcelona-20170521.csv,22,Patrick Rhyner,27,---,CHE,00:24:00,02:38:34,01:23:36,00:03:15,00:02:02,04:31:27
ironman-70.3-barcelona-20170521.csv,23,Kenneth Vandendriessche,25,---,BEL,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,24,Albert Riba Ochoa,30,---,ESP,00:36:14,03:16:06,01:29:52,00:04:31,00:05:25,05:32:08
ironman-70.3-barcelona-20170521.csv,25,Robin Pasteur,23,---,FRA,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,26,Urs Mueller,33,---,CHE,00:26:45,02:33:54,01:22:21,00:02:40,00:02:30,04:28:10
ironman-70.3-barcelona-20170521.csv,27,Frederic Garcia,27,---,FRA,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,28,Alexander Polizzi,28,VIC,AUS,00:22:57,02:36:42,01:24:39,00:02:07,00:01:45,04:28:10
ironman-70.3-barcelona-20170521.csv,29,Gerhard De Bruin,33,---,ZAF,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,30,Alistair Brownlee,29,---,GBR,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,31,Etienne Diemunsch,29,---,FRA,00:23:57,02:30:40,01:15:05,00:02:18,00:01:29,04:13:29
ironman-70.3-barcelona-20170521.csv,32,Jeremy Morel,25,---,FRA,00:27:28,02:35:29,01:20:20,00:02:43,00:01:34,04:27:34
ironman-70.3-barcelona-20170521.csv,33,Bertrand Billard,29,---,FRA,00:22:55,02:21:13,01:23:36,00:02:12,00:01:56,04:11:52
ironman-70.3-barcelona-20170521.csv,34,Ivan Tutukin,30,---,RUS,00:23:55,02:26:37,01:13:34,00:02:15,00:01:33,04:07:54
ironman-70.3-barcelona-20170521.csv,35,Yvan Jarrige,28,---,FRA,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,36,Ignacio Rubio,32,---,ESP,00:26:48,02:54:49,01:50:35,00:03:36,00:02:59,05:18:47
ironman-70.3-barcelona-20170521.csv,61,Eva Wutti,28,---,AUT,00:28:10,02:47:38,01:32:33,00:02:33,00:01:54,04:52:48
ironman-70.3-barcelona-20170521.csv,62,Leanda Cave,39,FL,GBR,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,63,Emma Pallant,27,Surrey,GBR,00:27:12,02:46:02,01:22:35,00:02:25,00:01:49,04:40:03
ironman-70.3-barcelona-20170521.csv,64,Astrid Stienen,38,---,DEU,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,65,Catherine Jameson,32,Intl State,GBR,00:24:34,02:45:41,01:39:32,00:02:31,00:01:52,04:54:10
ironman-70.3-barcelona-20170521.csv,66,Natalie Seymour,30,Intl State,GBR,00:28:09,02:45:11,01:25:04,00:02:46,00:01:56,04:43:06
ironman-70.3-barcelona-20170521.csv,67,Sylvia Gehnboeck,38,---,AUT,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,68,Agnieszka Jerzyk,29,---,POL,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,69,Amelia Rose Watkinson,25,AUK,NZL,00:27:13,02:48:19,01:30:51,00:02:18,00:01:51,04:50:32
ironman-70.3-barcelona-20170521.csv,70,Julie Stephan,35,---,FRA,---,---,---,---,---,DNS
ironman-70.3-barcelona-20170521.csv,71,Anna Noguera,24,---,ESP,00:28:40,02:53:59,01:29:16,00:02:32,00:02:05,04:56:32
ironman-70.3-barcelona-20170521.csv,72,Mercè Tusell,35,---,ESP,00:35:48,03:00:00,01:33:31,00:03:44,00:02:05,05:15:08
ironman-70.3-barcelona-20170521.csv,73,Camille Donat,28,---,FRA,---,---,---,---,---,DNS
