#ironman-70.3-bintan-20160828.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-bintan-20160828.csv,1,Cameron Brown,44,NZ,NZL,00:25:06,02:16:24,01:32:21,00:01:23,00:01:37,04:16:51
ironman-70.3-bintan-20160828.csv,2,David Dellow,37,QLD,AUS,00:23:30,02:11:02,01:29:18,00:01:16,00:01:25,04:06:31
ironman-70.3-bintan-20160828.csv,3,Fredrik Croneborg,35,---,SWE,00:25:00,02:09:29,01:22:19,00:01:16,00:01:24,03:59:28

ironman-70.3-bintan-20160828.csv,5,Clayton Fettell,30,NSW,AUS,00:22:29,02:20:02,---,00:01:36,01:51:18,DNF
ironman-70.3-bintan-20160828.csv,6,Michael Fox,27,NSW,AUS,00:23:21,02:10:56,01:24:34,00:01:23,00:01:20,04:01:34
ironman-70.3-bintan-20160828.csv,7,Matt Burton,28,WA,AUS,00:26:19,02:05:16,01:25:50,00:01:30,00:01:29,04:00:24

ironman-70.3-bintan-20160828.csv,9,Courtney Ogden,44,WA,AUS,00:25:15,02:16:01,---,00:01:34,---,DNF

ironman-70.3-bintan-20160828.csv,11,Alexander Polizzi,28,VIC,AUS,00:24:57,02:09:27,01:26:58,00:01:19,00:01:25,04:04:06
ironman-70.3-bintan-20160828.csv,12,Kim Harju,26,Finland,FIN,00:25:03,02:12:30,01:47:57,00:01:37,00:01:33,04:28:40








ironman-70.3-bintan-20160828.csv,21,Kate Bevilaqua,39,WA,AUS,00:26:39,02:32:54,01:34:40,00:01:26,00:01:48,04:37:27
ironman-70.3-bintan-20160828.csv,22,Alise Selsmark,32,WA,AUS,00:26:29,02:38:07,01:43:52,00:01:35,00:01:46,04:51:49
ironman-70.3-bintan-20160828.csv,23,Amanda Wilson,32,VIC,AUS,00:31:08,02:32:19,01:36:47,00:02:03,00:01:32,04:43:49













































































ironman-70.3-bintan-20160828.csv,101,Aj Hagwood,24,NC,USA,00:31:14,02:37:22,02:34:18,00:02:15,00:01:51,05:47:00
ironman-70.3-bintan-20160828.csv,102,Chew Yi Heng,22,SG,SEN,00:31:15,02:32:09,01:54:00,00:01:22,00:02:05,05:00:51
ironman-70.3-bintan-20160828.csv,103,Doga Makiura,22,Japan,JPN,---,---,---,---,---,DNS
ironman-70.3-bintan-20160828.csv,104,Francis Neo,21,SG,SEN,00:40:37,03:31:56,02:54:13,00:04:28,00:03:10,07:14:24
ironman-70.3-bintan-20160828.csv,105,Jaka Prastya,24,jakarta,IDN,---,---,---,---,---,DNS
ironman-70.3-bintan-20160828.csv,106,Prabakar Kuppusamy,39,SG,IND,00:40:29,02:52:34,02:45:58,00:04:19,00:04:50,06:28:10
ironman-70.3-bintan-20160828.csv,107,Ronald Liong,24,DKI Jakarta,IDN,---,---,---,---,---,DNS
ironman-70.3-bintan-20160828.csv,108,Sam Baird,24,WA,AUS,00:38:47,02:41:50,01:37:18,00:02:31,00:02:58,05:03:24
