#File=ironman-70.3-boise-20150613.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-boise-20150613.csv,16,Jami Min,46,UT,USA,00:38:34,02:51:16,01:40:59,00:02:53,00:01:40,05:15:22
ironman-70.3-boise-20150613.csv,17,Bodil Arlander,51,CA,USA,00:37:18,02:45:01,01:49:07,00:02:58,00:02:59,05:17:23
ironman-70.3-boise-20150613.csv,18,Sharon Johnston,55,AZ,USA,00:47:03,02:57:52,02:08:49,00:03:58,00:02:13,05:59:55
ironman-70.3-boise-20150613.csv,19,Michael Van Skaik,54,OR,USA,00:40:38,02:36:12,01:44:56,00:03:29,00:01:23,05:06:38
ironman-70.3-boise-20150613.csv,20,Lew Hollander,85,OR,USA,00:54:32,03:45:15,03:35:43,00:05:30,00:03:16,08:24:16
ironman-70.3-boise-20150613.csv,21,Chad Burt,50,UT,USA,00:40:16,02:31:25,02:02:49,00:04:17,00:01:40,05:20:27
ironman-70.3-boise-20150613.csv,22,Scott Roberts,51,WA,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,23,John Tuttle,53,CA,USA,00:30:50,02:29:08,01:32:58,00:03:04,00:02:06,04:38:06
ironman-70.3-boise-20150613.csv,24,Corey Knop,45,CO,USA,00:35:33,02:29:34,01:58:03,00:04:16,00:01:54,05:09:20
ironman-70.3-boise-20150613.csv,25,Sherwick Min,49,UT,USA,00:34:59,02:37:43,01:39:31,00:02:50,00:02:27,04:57:30
ironman-70.3-boise-20150613.csv,26,Marc Rubin,47,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,27,Michael Rushton,45,OR,USA,00:33:37,02:15:37,01:40:30,00:02:17,00:00:54,04:32:55
ironman-70.3-boise-20150613.csv,28,Neil Manville,40,UT,USA,00:41:05,02:41:50,01:50:02,00:04:13,00:02:45,05:19:55
ironman-70.3-boise-20150613.csv,29,Jesse Moore,41,CA,USA,00:33:57,02:13:43,01:24:17,00:02:56,00:01:04,04:15:57
ironman-70.3-boise-20150613.csv,30,Jason Morris,43,AUK,NZL,00:33:50,02:28:31,01:26:37,00:03:03,00:01:54,04:33:55
ironman-70.3-boise-20150613.csv,31,Ritch Viola,43,CA,USA,00:25:55,02:21:41,01:25:30,00:02:26,00:01:09,04:16:41
ironman-70.3-boise-20150613.csv,32,Patrick Allaire,37,UT,CAN,00:34:36,02:34:37,01:50:23,00:02:59,00:01:29,05:04:04
ironman-70.3-boise-20150613.csv,33,Brian Anttonen,38,ID,USA,00:34:29,02:27:39,01:25:54,00:02:43,00:01:30,04:32:15
ironman-70.3-boise-20150613.csv,34,Klas Kuntze,36,AZ,USA,00:35:49,02:39:59,01:37:10,00:02:25,00:01:15,04:56:38
ironman-70.3-boise-20150613.csv,35,Andrew Li,39,ID,USA,00:39:45,02:33:05,01:38:04,00:03:10,00:01:41,04:55:45
ironman-70.3-boise-20150613.csv,36,Matt Mcdowell,38,ID,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,37,Mike Lavery,30,---,USA,00:32:57,02:18:52,01:31:56,00:02:26,00:01:25,04:27:36
ironman-70.3-boise-20150613.csv,38,Michael Chronert,21,FL,USA,00:31:31,02:27:35,01:30:55,00:03:14,00:02:08,04:35:23
ironman-70.3-boise-20150613.csv,39,Keziah Efta,33,MT,USA,00:34:00,02:47:03,01:54:29,00:02:30,00:01:38,05:19:40
ironman-70.3-boise-20150613.csv,40,Maria Hodges,28,Philippines,PHL,00:38:59,02:48:19,01:42:13,00:02:15,00:00:58,05:12:44
ironman-70.3-boise-20150613.csv,41,Nicole Pressprich,27,OR,USA,00:28:22,02:38:01,01:47:38,00:02:49,00:01:25,04:58:15
ironman-70.3-boise-20150613.csv,42,Jennifer Cunnane,45,MO,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,43,Stephanie Liddle,45,ID,USA,00:45:07,02:41:26,02:06:49,00:03:02,00:03:10,05:39:34
ironman-70.3-boise-20150613.csv,44,Christina Mitchell,44,WA,USA,00:44:05,03:10:04,02:20:49,00:05:56,00:04:43,06:25:37
ironman-70.3-boise-20150613.csv,45,Margaret Hepworth,52,ID,USA,00:35:09,02:43:15,01:54:02,00:03:16,00:01:46,05:17:28
ironman-70.3-boise-20150613.csv,46,Ida Jonsen,56,CO,USA,00:37:22,02:55:18,01:52:17,00:04:01,00:03:34,05:32:32
ironman-70.3-boise-20150613.csv,47,Pat Ketcham,56,OR,USA,00:39:11,03:05:43,02:11:26,00:04:18,00:02:50,06:03:28
ironman-70.3-boise-20150613.csv,48,Marty Smith,57,UT,USA,00:39:20,03:30:16,02:03:20,00:03:38,00:02:43,06:19:17
ironman-70.3-boise-20150613.csv,49,Ruth Arnush,59,CA,USA,00:51:08,03:16:18,02:53:19,00:05:06,00:04:03,07:09:54
ironman-70.3-boise-20150613.csv,50,Lorraine Gersitz,61,CA,USA,00:43:55,03:15:41,02:05:29,00:08:21,00:04:52,06:18:18
ironman-70.3-boise-20150613.csv,51,Cecilia Weber,60,ID,USA,00:47:07,03:23:19,02:47:42,00:06:38,00:04:41,07:09:27
ironman-70.3-boise-20150613.csv,52,Dave Furey,56,MI,USA,00:35:01,02:39:37,01:36:30,00:03:20,00:01:46,04:56:14
ironman-70.3-boise-20150613.csv,53,James Hardy,58,UT,USA,00:44:00,03:08:18,02:24:45,00:03:59,00:03:43,06:24:45
ironman-70.3-boise-20150613.csv,54,Dwight Lundell,71,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,55,Scott Hardy,50,UT,USA,00:37:36,02:41:26,01:50:18,00:03:12,00:02:59,05:15:31
ironman-70.3-boise-20150613.csv,56,Dan Jones,50,GA,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,57,Jon Umbright,50,MT,USA,00:35:03,02:47:08,02:18:00,00:03:27,00:02:29,05:46:07
ironman-70.3-boise-20150613.csv,58,Jim Zuba,52,ID,USA,00:37:50,02:43:11,01:43:32,00:04:51,00:03:12,05:12:36
ironman-70.3-boise-20150613.csv,59,Allen Benson,48,WA,USA,00:44:07,02:51:21,02:34:30,00:03:33,00:02:18,06:15:49
ironman-70.3-boise-20150613.csv,60,Trevelan Dakan,46,WA,USA,00:31:14,02:39:30,01:47:17,00:03:13,00:01:41,05:02:55
ironman-70.3-boise-20150613.csv,61,Patrick Mitchell,45,WA,USA,00:42:50,03:04:29,02:01:30,00:05:10,00:02:40,05:56:39
ironman-70.3-boise-20150613.csv,62,Jeff Stoner,49,CA,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,63,Michael Bergquist,43,UT,USA,00:36:17,02:49:35,01:39:48,00:03:26,00:01:57,05:11:03
ironman-70.3-boise-20150613.csv,64,Richie Cunningham,40,UT,USA,00:38:01,02:33:38,01:32:41,00:04:51,00:01:58,04:51:09
ironman-70.3-boise-20150613.csv,65,Scott Gatzemeier,40,UT,USA,00:33:44,02:45:28,01:57:47,00:02:40,00:02:03,05:21:42
ironman-70.3-boise-20150613.csv,66,Eric Lattin,43,NV,USA,00:32:14,03:34:33,---,00:02:44,---,DNF
ironman-70.3-boise-20150613.csv,67,Jeff Mutchie,43,ID,USA,00:43:52,02:36:44,01:36:28,00:02:13,00:01:27,05:00:44
ironman-70.3-boise-20150613.csv,68,Marc Rosello,43,---,USA,00:34:10,02:24:14,01:37:25,00:02:13,00:01:26,04:39:28
ironman-70.3-boise-20150613.csv,69,Luke Rothey,40,UT,USA,00:34:22,02:24:08,01:36:22,00:02:30,00:01:31,04:38:53
ironman-70.3-boise-20150613.csv,70,Jason Weilert,40,CA,USA,00:37:24,02:42:46,01:34:02,00:02:52,00:01:29,04:58:33
ironman-70.3-boise-20150613.csv,71,Matthew Babcock,38,CO,USA,00:36:32,02:39:15,01:33:28,00:02:36,00:02:01,04:53:52
ironman-70.3-boise-20150613.csv,72,David Derkacs,37,CA,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,73,Brian Devlin,35,ID,USA,00:31:35,02:31:53,01:37:48,00:02:55,00:01:40,04:45:51
ironman-70.3-boise-20150613.csv,74,Garret Rock,36,CO,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,75,Collin Swenson,35,UT,USA,00:42:11,02:51:47,01:55:08,00:02:59,00:01:26,05:33:31
ironman-70.3-boise-20150613.csv,76,Pamela Bowe,40,NV,USA,00:38:08,03:04:37,01:42:49,00:04:10,00:02:23,05:32:07
ironman-70.3-boise-20150613.csv,77,Georgeta Gruescu,42,WA,USA,00:56:47,03:50:01,02:44:38,00:06:50,00:04:51,07:43:07
ironman-70.3-boise-20150613.csv,78,Heather Kohring,44,ID,USA,00:38:51,03:04:08,02:21:24,00:04:22,00:03:08,06:11:53
ironman-70.3-boise-20150613.csv,79,Kylie Matulick,44,CA,USA,00:38:10,02:42:37,01:41:23,00:03:34,00:01:54,05:07:38
ironman-70.3-boise-20150613.csv,80,Marni Mcdowell,41,ID,USA,00:41:28,03:00:51,01:47:44,00:03:45,00:02:09,05:35:57
ironman-70.3-boise-20150613.csv,81,Tina Moore,39,CA,USA,00:42:55,03:03:42,01:58:30,00:04:11,00:02:25,05:51:43
ironman-70.3-boise-20150613.csv,82,Natalie Morgan,41,CA,USA,00:45:47,03:24:01,02:54:42,00:06:13,00:05:37,07:16:20
ironman-70.3-boise-20150613.csv,83,Robert Alderson,29,NE,USA,00:31:40,02:35:19,01:48:03,00:03:19,00:02:18,05:00:39
ironman-70.3-boise-20150613.csv,84,Frank Obelnicki,31,CO,USA,00:43:36,03:23:55,02:06:58,00:04:38,00:03:41,06:22:48
ironman-70.3-boise-20150613.csv,85,Christopher Olson,31,CA,USA,00:27:56,02:29:11,01:42:39,00:03:00,00:01:37,04:44:23
ironman-70.3-boise-20150613.csv,86,Derek Sbrogna,33,TX,USA,00:33:46,02:31:16,01:36:34,00:03:49,00:02:26,04:47:51
ironman-70.3-boise-20150613.csv,87,Jessica Deree,39,CA,USA,00:34:55,03:22:40,02:11:25,00:03:41,00:01:40,06:14:21
ironman-70.3-boise-20150613.csv,88,Phil Chang,29,CA,USA,00:34:54,02:41:27,01:58:30,00:02:53,00:01:48,05:19:32
ironman-70.3-boise-20150613.csv,89,Brett King,27,CA,USA,00:28:41,02:26:53,01:29:38,00:02:08,00:01:14,04:28:34
ironman-70.3-boise-20150613.csv,90,maureen needham,32,AZ,USA,00:37:53,03:07:46,01:53:58,00:03:34,00:02:44,05:45:55
ironman-70.3-boise-20150613.csv,91,Amanda Forrester,26,NV,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,92,Mary Ford,46,WA,USA,00:48:04,03:17:09,01:59:25,00:05:03,00:02:18,06:11:59
ironman-70.3-boise-20150613.csv,93,Linda Matheson,49,UT,USA,00:40:08,03:15:02,02:09:49,00:04:09,00:02:25,06:11:33
ironman-70.3-boise-20150613.csv,94,Mary Patock,48,CA,USA,00:43:47,03:04:55,02:05:08,00:04:15,00:03:01,06:01:06
ironman-70.3-boise-20150613.csv,95,Ann Vasey,48,CA,USA,00:39:48,03:08:56,02:07:34,00:05:33,00:02:57,06:04:48
ironman-70.3-boise-20150613.csv,96,Cheryl Iseberg,50,HI,USA,00:45:51,03:31:13,02:34:13,00:04:29,00:02:10,06:57:56
ironman-70.3-boise-20150613.csv,97,Denise Jackson,50,CA,USA,00:53:19,03:24:13,02:02:16,00:05:10,00:02:57,06:27:55
ironman-70.3-boise-20150613.csv,98,Sally Hill,58,UT,USA,00:46:57,03:41:32,02:31:08,00:07:17,00:05:58,07:12:52
ironman-70.3-boise-20150613.csv,99,Lowry Barfield,57,AZ,USA,00:44:10,02:54:37,01:54:58,00:02:32,00:01:54,05:38:11
ironman-70.3-boise-20150613.csv,100,Michael Cerami,57,UT,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,101,Mike Mayer,57,UT,USA,---,---,---,---,---,DNS
ironman-70.3-boise-20150613.csv,102,John Fristik,61,AZ,USA,00:39:27,03:06:52,02:10:17,00:08:12,00:02:23,06:07:11
ironman-70.3-boise-20150613.csv,103,Timothy Wells,59,WY,USA,00:49:32,03:04:48,02:13:33,00:05:01,00:02:47,06:15:41
ironman-70.3-boise-20150613.csv,104,Gene Peters,70,UT,USA,00:41:17,03:14:02,02:10:12,00:06:52,00:04:54,06:17:17
ironman-70.3-boise-20150613.csv,105,Dwight Schuh,70,ID,USA,00:44:14,03:33:54,02:44:06,00:07:12,00:03:33,07:12:59
ironman-70.3-boise-20150613.csv,106,Yuri Chavez,51,OR,USA,00:37:54,02:43:50,01:38:43,00:03:27,00:02:03,05:05:57
