#File=ironman-70.3-boulder-20120805.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-boulder-20120805.csv,1,Joe Gambles,30,CO,USA,00:24:02,02:00:21,01:17:33,00:01:23,00:00:45,03:44:04
ironman-70.3-boulder-20120805.csv,2,Matt Reed,36,CA,USA,00:23:59,02:06:20,01:20:42,00:01:25,00:00:53,03:53:19
ironman-70.3-boulder-20120805.csv,3,Ben Hoffman,28,CO,USA,00:24:49,02:03:02,01:18:13,00:01:35,00:00:43,03:48:22
ironman-70.3-boulder-20120805.csv,4,Matt Russell,29,FL,USA,---,---,---,---,---,DNS
ironman-70.3-boulder-20120805.csv,6,Clayton Fettell,26,NSW,AUS,---,---,---,---,---,DNS
ironman-70.3-boulder-20120805.csv,7,Gavin Anderson,33,CO,USA,00:23:59,02:11:01,---,00:01:42,00:14:52,DNF
ironman-70.3-boulder-20120805.csv,8,Jose Rosales-Yepez,26,MN,USA,---,---,---,---,---,DNS
ironman-70.3-boulder-20120805.csv,10,Freddy Lampret,33,---,USA,00:24:48,02:13:26,---,00:01:34,00:01:05,DNF
ironman-70.3-boulder-20120805.csv,11,Michael Fox,23,NSW,AUS,00:24:01,02:11:39,01:27:19,00:01:24,00:00:34,04:04:57
ironman-70.3-boulder-20120805.csv,12,Joshua Rix,33,VIC,USA,00:24:44,02:03:23,01:25:32,00:01:17,00:00:48,03:55:44
ironman-70.3-boulder-20120805.csv,13,Jimmy Archer,40,CO,USA,---,---,---,---,---,DNS
ironman-70.3-boulder-20120805.csv,14,Alex Reithmeier,29,NSW,AUS,00:24:03,02:16:01,01:33:28,00:01:29,00:00:57,04:15:58
ironman-70.3-boulder-20120805.csv,15,Joshua Merrick,30,CO,USA,00:30:23,02:13:13,02:07:30,00:01:55,00:00:51,04:53:52
ironman-70.3-boulder-20120805.csv,17,Jordan Jones,31,CO,USA,00:24:38,02:05:37,01:15:02,00:01:29,00:00:55,03:47:41
ironman-70.3-boulder-20120805.csv,18,Damon Barnet,25,CA,USA,---,---,---,---,---,DNS
ironman-70.3-boulder-20120805.csv,19,Billy Edwards,34,CO,USA,00:30:54,02:09:51,01:25:17,00:01:27,00:00:55,04:08:24
ironman-70.3-boulder-20120805.csv,20,Marcus Fernandes,25,DF,BRA,00:23:26,02:06:50,01:21:14,00:01:33,00:00:41,03:53:44
ironman-70.3-boulder-20120805.csv,21,James Duff,35,NC,USA,---,---,---,---,---,DNS
ironman-70.3-boulder-20120805.csv,22,Mark Hillers,24,TX,USA,00:29:11,02:13:13,01:22:22,00:01:22,00:00:38,04:06:46
ironman-70.3-boulder-20120805.csv,23,Ryan Rau,31,MI,USA,00:28:52,02:12:05,01:22:25,00:01:40,00:00:48,04:05:50
ironman-70.3-boulder-20120805.csv,24,Brandon Jessop,33,CO,USA,---,---,---,---,---,DNS
ironman-70.3-boulder-20120805.csv,25,Dylan Mcneice,27,NZ,USA,00:23:41,02:06:29,---,00:01:26,00:00:48,DNF
ironman-70.3-boulder-20120805.csv,26,Joe Umphenour,43,CO,USA,00:23:34,02:06:46,01:16:47,00:01:19,00:00:44,03:49:10
ironman-70.3-boulder-20120805.csv,27,Santiago Ascenço,31,Goiás,BRA,00:24:53,02:03:10,01:20:38,00:01:30,00:00:38,03:50:49
ironman-70.3-boulder-20120805.csv,28,Ryan Kelly,30,NH,USA,---,---,---,---,---,DNS
ironman-70.3-boulder-20120805.csv,29,Raul Furtado,32,rio de janeiro,BRA,00:27:30,02:12:29,01:25:05,00:01:36,00:00:49,04:07:29
ironman-70.3-boulder-20120805.csv,30,Mario De Elias,27,Buenos Aires,ARG,00:26:10,02:11:36,01:18:40,00:01:23,00:00:42,03:58:31
ironman-70.3-boulder-20120805.csv,31,Brian Fleischmann,33,CO,USA,00:23:24,02:06:06,01:25:10,00:01:14,00:00:44,03:56:38
ironman-70.3-boulder-20120805.csv,32,Leon Griffin,32,CO,USA,00:24:46,02:03:11,01:22:05,00:01:26,00:00:41,03:52:09
ironman-70.3-boulder-20120805.csv,33,Bryan Rhodes,39,CAN,NZL,00:23:53,02:06:20,01:24:34,00:01:19,00:00:48,03:56:54
ironman-70.3-boulder-20120805.csv,35,Leanda Cave,34,FL,USA,00:24:58,02:14:25,01:29:11,00:01:38,00:00:43,04:10:55
