#ironman-70.3-boulder-20130804.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-boulder-20130804.csv,1,Joe Gambles,34,CO,USA,00:24:48,02:03:25,01:14:30,00:01:09,00:00:49,03:44:41
ironman-70.3-boulder-20130804.csv,2,Jordan Jones,35,CO,USA,00:25:28,02:08:32,01:17:07,00:01:19,00:00:54,03:53:20
ironman-70.3-boulder-20130804.csv,3,Greg Bennett,44,---,AUS,00:24:44,02:03:24,01:16:17,00:01:15,00:00:43,03:46:23
ironman-70.3-boulder-20130804.csv,4,Ben Hoffman,33,CO,USA,00:24:55,02:09:05,01:18:18,00:01:19,00:00:46,03:54:23
ironman-70.3-boulder-20130804.csv,5,Paul Ambrose,32,NSW,AUS,00:24:45,02:03:27,01:21:39,00:01:11,00:00:38,03:51:40
ironman-70.3-boulder-20130804.csv,6,Michael Lovato,42,CO,USA,00:26:13,02:10:53,01:15:53,00:01:30,00:00:43,03:55:12
ironman-70.3-boulder-20130804.csv,8,John Polson,29,---,AUS,00:25:13,02:09:00,01:28:34,00:01:06,00:00:49,04:04:42
ironman-70.3-boulder-20130804.csv,9,Derek Yorek,32,AR,USA,00:30:32,02:16:11,01:24:54,00:01:50,00:01:09,04:14:36
ironman-70.3-boulder-20130804.csv,10,Andres Darricau,40,Intl State,ARG,00:27:31,02:13:23,01:20:37,00:01:25,00:00:53,04:03:49
ironman-70.3-boulder-20130804.csv,11,James Seear,30,---,USA,00:23:18,02:04:28,01:27:00,00:01:21,00:00:43,03:56:50
ironman-70.3-boulder-20130804.csv,12,Robert Duncan,33,IN,USA,00:31:43,02:24:44,01:39:09,00:01:49,00:00:50,04:38:15
ironman-70.3-boulder-20130804.csv,13,Justin Daerr,35,CO,USA,00:25:42,02:08:32,01:20:18,---,00:01:05,03:55:37
ironman-70.3-boulder-20130804.csv,14,Bryan Rhodes,43,---,NZL,00:24:21,02:05:00,01:27:06,00:01:15,00:00:43,03:58:25
ironman-70.3-boulder-20130804.csv,16,Gavin Anderson,37,CO,USA,00:24:37,02:12:46,01:25:57,00:01:27,00:00:49,04:05:36
ironman-70.3-boulder-20130804.csv,17,Leon Griffin,36,CO,AUS,00:24:50,---,---,00:01:16,---,DNF
ironman-70.3-boulder-20130804.csv,19,Callum Millward,33,QLD,NZL,00:24:27,02:03:39,01:17:43,00:01:17,00:00:47,03:47:53
ironman-70.3-boulder-20130804.csv,20,Jimmy Archer,44,CO,USA,00:28:08,---,---,00:01:49,---,DNF
ironman-70.3-boulder-20130804.csv,22,Adam Bohach,32,IA,USA,00:27:31,02:11:32,01:15:37,00:01:24,00:00:40,03:56:44
ironman-70.3-boulder-20130804.csv,24,Chris Leiferman,30,CO,USA,00:27:37,02:08:04,01:25:15,00:01:15,00:00:35,04:02:46
ironman-70.3-boulder-20130804.csv,25,Mauro Cavanha,---,---,BRA,00:25:07,02:15:55,---,00:01:24,00:01:07,DNF
ironman-70.3-boulder-20130804.csv,26,Steven Zawaski,31,CO,USA,00:28:02,02:12:51,01:21:05,00:01:24,00:00:55,04:04:17
ironman-70.3-boulder-20130804.csv,28,Mario De Elias,31,Buenos Aires,ARG,00:25:26,02:08:27,01:18:07,00:01:17,00:00:38,03:53:55
ironman-70.3-boulder-20130804.csv,31,Kevin Taddonio,34,CA,USA,00:30:26,02:14:42,01:27:20,00:01:26,00:00:50,04:14:44
ironman-70.3-boulder-20130804.csv,34,Mark Bowstead,27,---,NZL,00:25:12,02:06:41,01:25:38,00:01:23,00:00:46,03:59:40
ironman-70.3-boulder-20130804.csv,42,Leanda Cave,38,FL,USA,00:24:52,02:20:35,01:29:42,00:01:28,00:00:49,04:17:26
ironman-70.3-boulder-20130804.csv,44,Melissa Hauschildt,33,QLD,AUS,00:27:26,02:12:16,01:22:38,00:01:27,00:00:49,04:04:36
ironman-70.3-boulder-20130804.csv,45,Amy Marsh,38,TX,USA,00:25:44,02:22:58,01:34:48,00:01:35,00:00:58,04:26:03
ironman-70.3-boulder-20130804.csv,46,Amanda Stevens,39,OK,USA,00:24:49,02:17:45,01:33:05,00:01:28,00:00:52,04:17:59
ironman-70.3-boulder-20130804.csv,49,Malaika Homo,37,UT,USA,00:27:14,02:23:06,01:36:19,00:01:26,00:00:52,04:28:57
ironman-70.3-boulder-20130804.csv,50,Whitney Garcia Mccain,35,CO,USA,00:29:13,02:25:25,01:27:46,00:01:55,00:00:59,04:25:18
