#ironman-70.3-branson-20100919.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-branson-20100919.csv,1,Michael Lovato,42,CO,USA,00:25:24,02:26:33,01:16:23,00:02:01,00:00:43,04:11:04
ironman-70.3-branson-20100919.csv,2,Ben Hoffman,---,---,---,00:25:25,02:17:10,01:17:34,00:01:54,00:00:50,04:02:53
ironman-70.3-branson-20100919.csv,3,Brian Fleischmann,38,CO,USA,00:23:46,02:21:44,01:19:14,00:01:42,00:01:59,04:08:25
ironman-70.3-branson-20100919.csv,4,Tj Tollakson,36,IA,USA,00:24:27,02:23:21,01:30:39,00:02:04,00:01:13,04:21:44
ironman-70.3-branson-20100919.csv,5,Leon Griffin,36,CO,AUS,---,---,---,---,---,DNS
ironman-70.3-branson-20100919.csv,6,Devon Palmer,29,MN,USA,---,---,---,---,---,DNS
ironman-70.3-branson-20100919.csv,7,Tom Lowe,38,Intl State,GBR,00:29:05,02:12:15,01:21:35,00:01:56,00:00:47,04:05:38
ironman-70.3-branson-20100919.csv,8,Romain Guillaume,31,FR,FRA,---,---,---,---,---,DNS
ironman-70.3-branson-20100919.csv,9,Heinrich Sickl,43,Intl State,AUT,00:30:54,02:46:34,01:41:37,00:02:29,00:01:12,05:02:46
ironman-70.3-branson-20100919.csv,10,James Cotter,34,TX,NZL,00:24:25,02:21:55,01:25:20,00:01:52,00:01:04,04:14:36
ironman-70.3-branson-20100919.csv,11,Justin Park,36,GA,USA,---,---,---,---,---,DNS
ironman-70.3-branson-20100919.csv,13,Brent Poulsen,33,TX,USA,00:25:20,02:23:39,01:23:39,00:01:35,00:01:01,04:15:14
ironman-70.3-branson-20100919.csv,14,Damon Barnet,29,CA,USA,00:26:46,---,---,00:01:47,---,DNF
ironman-70.3-branson-20100919.csv,15,Kelly Williamson,38,CO,USA,00:25:13,02:36:06,01:21:47,00:01:57,00:00:44,04:25:47
ironman-70.3-branson-20100919.csv,16,Angela Naeth,34,BC,CAN,00:30:04,02:31:31,01:29:16,00:02:04,00:00:52,04:33:47
ironman-70.3-branson-20100919.csv,17,Pip Taylor,36,---,AUS,00:25:01,02:41:46,01:32:33,00:01:49,00:00:48,04:41:57
ironman-70.3-branson-20100919.csv,18,Amanda Lovato,44,CO,USA,00:30:07,---,---,01:58:38,---,DNF
ironman-70.3-branson-20100919.csv,19,Nina Kraft,47,FL,USA,00:25:04,02:45:34,01:28:43,00:02:11,00:01:09,04:42:41
ironman-70.3-branson-20100919.csv,20,Marisa Asplund,39,CO,USA,00:37:48,02:41:50,01:35:57,00:02:23,00:01:18,04:59:16
ironman-70.3-branson-20100919.csv,21,Natasha Van Der Merwe,35,TX,USA,00:33:26,02:59:14,01:50:19,00:02:14,00:01:19,05:26:32
ironman-70.3-branson-20100919.csv,22,Jessica Jones,38,OK,USA,00:27:44,---,---,01:40:14,---,DNF
ironman-70.3-branson-20100919.csv,26,Dave Watts,77,ON,CAN,00:44:43,03:24:27,03:13:25,00:06:33,00:02:57,07:32:05
ironman-70.3-branson-20100919.csv,27,Leon Small,75,KS,USA,---,---,---,---,---,DNS
ironman-70.3-branson-20100919.csv,28,Russ Hudson,74,MI,USA,00:46:37,04:15:36,03:05:04,00:06:27,00:03:14,08:16:58
ironman-70.3-branson-20100919.csv,29,William Marty,73,IL,USA,00:43:22,03:21:48,02:17:29,00:05:49,00:01:57,06:30:25
ironman-70.3-branson-20100919.csv,30,Joe Everton,74,TN,USA,01:28:39,03:03:30,---,00:09:31,---,DNF
ironman-70.3-branson-20100919.csv,31,Berthell Brown,72,MO,USA,00:50:25,---,---,00:08:07,---,DNF
ironman-70.3-branson-20100919.csv,32,Gary Maier,70,MO,USA,00:43:34,05:06:09,---,00:08:24,00:05:24,DNF
ironman-70.3-branson-20100919.csv,33,George Pravda,69,MI,USA,00:46:49,05:04:40,---,00:09:31,---,DNF
ironman-70.3-branson-20100919.csv,34,Peter Grimwood,69,ON,CAN,00:49:29,03:40:04,02:50:21,00:07:41,00:03:07,07:30:42
ironman-70.3-branson-20100919.csv,35,Graham Macdonald,68,ON,CAN,00:43:21,---,---,00:07:27,---,DNF
ironman-70.3-branson-20100919.csv,36,Bob Sanderson,67,KS,USA,00:46:24,04:03:40,02:43:12,00:04:26,00:02:07,07:39:49
ironman-70.3-branson-20100919.csv,37,Tom Olerich,67,KS,USA,00:43:23,03:32:41,02:14:47,00:05:56,00:02:38,06:39:25
