#File=ironman-70.3-budapest-20150822.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-budapest-20150822.csv,1,Zoltán Kremmer,43,---,HUN,00:28:34,02:28:15,01:25:03,00:02:12,00:02:30,04:26:34
ironman-70.3-budapest-20150822.csv,2,Terenzo Bozzone,30,AUK,NZL,00:24:03,02:04:20,01:14:57,00:01:45,00:01:51,03:46:56
ironman-70.3-budapest-20150822.csv,3,Michael Weiss,34,---,AUT,00:27:03,02:09:15,01:20:38,00:02:16,00:02:34,04:01:46
ironman-70.3-budapest-20150822.csv,4,Horst Reichel,33,---,DEU,---,---,---,---,---,DNS
ironman-70.3-budapest-20150822.csv,5,Daniel Fontana,39,Milano,ITA,---,---,---,---,---,DNS
ironman-70.3-budapest-20150822.csv,6,Balazs Csoke,32,TX,HUN,00:23:44,02:16:38,01:19:09,00:01:36,00:01:52,04:02:59
ironman-70.3-budapest-20150822.csv,7,Maxim Kriat,30,FL,RUS,00:25:59,02:10:38,01:16:53,00:01:29,00:01:41,03:56:40
ironman-70.3-budapest-20150822.csv,8,Miquel Blanchart Tinto,31,---,ESP,---,---,---,---,---,DNS
ironman-70.3-budapest-20150822.csv,9,Guillaume Doree,25,---,FRA,00:25:58,02:16:12,01:18:44,00:01:32,00:01:52,04:04:18
ironman-70.3-budapest-20150822.csv,10,Gyula Kis,35,---,HUN,00:25:55,02:16:02,01:16:59,00:01:43,00:01:54,04:02:33
ironman-70.3-budapest-20150822.csv,11,Matteo Fontana,23,Intl State,ITA,00:28:26,02:07:36,01:19:47,00:01:51,00:01:56,03:59:36
ironman-70.3-budapest-20150822.csv,12,Georg Swoboda,37,---,AUT,---,---,---,---,---,DNS
ironman-70.3-budapest-20150822.csv,13,Christian Birngruber,32,---,AUT,---,---,---,---,---,DNS
ironman-70.3-budapest-20150822.csv,14,Anthony Meager,23,---,GBR,00:31:17,02:22:46,01:19:45,00:02:08,00:02:21,04:18:17
ironman-70.3-budapest-20150822.csv,15,Rod De Kanel,34,---,FRA,00:23:58,02:14:56,01:28:31,00:01:55,00:01:57,04:11:17
ironman-70.3-budapest-20150822.csv,16,Lewis Elliot,35,AZ,USA,00:28:23,02:16:09,01:26:24,00:01:49,00:03:03,04:15:48
ironman-70.3-budapest-20150822.csv,17,Martin Kleinl,34,Other,AUT,00:33:28,---,---,00:01:56,---,DNF
ironman-70.3-budapest-20150822.csv,18,David Breuer,24,---,DEU,00:23:55,02:11:29,01:19:09,00:01:53,00:02:08,03:58:34
ironman-70.3-budapest-20150822.csv,19,Alexander Schilling,26,---,DEU,---,---,---,---,---,DNS
ironman-70.3-budapest-20150822.csv,20,Levente Racz,33,TX,HUN,---,---,---,---,---,DNS
ironman-70.3-budapest-20150822.csv,21,Matthew Smith,37,Intl State,CZE,00:31:37,02:32:04,01:26:46,00:02:11,00:02:15,04:34:53
ironman-70.3-budapest-20150822.csv,22,Gergo Badar,25,---,HUN,00:28:13,02:14:00,01:13:30,00:01:29,00:01:43,03:58:55
ironman-70.3-budapest-20150822.csv,23,Péter Szilágyi,26,---,HUN,00:26:57,02:21:30,01:15:23,00:01:48,00:02:15,04:07:53
ironman-70.3-budapest-20150822.csv,24,Christian Peter Funk,47,DE,DEU,00:44:50,02:40:24,01:26:45,00:03:50,00:02:32,04:58:21
ironman-70.3-budapest-20150822.csv,25,Sebastian Bleisteiner,31,---,DEU,00:26:00,02:13:05,01:16:27,00:01:46,00:01:53,03:59:11
ironman-70.3-budapest-20150822.csv,26,Gilian Oriet,31,---,CHE,---,---,---,---,---,DNS
ironman-70.3-budapest-20150822.csv,27,Roman Thuerauer,37,AT,AUT,00:29:50,02:20:35,---,00:02:36,00:02:43,DNF
ironman-70.3-budapest-20150822.csv,28,Sebastian Guhr,25,---,DEU,---,---,---,---,---,DNS
ironman-70.3-budapest-20150822.csv,29,Martin Matula,44,---,CZE,00:28:21,02:20:00,01:23:06,00:01:59,00:02:29,04:15:55
ironman-70.3-budapest-20150822.csv,30,Michal Volejnik,27,APO,CZE,00:29:56,02:22:23,01:22:34,00:02:35,00:02:14,04:19:42
ironman-70.3-budapest-20150822.csv,31,Stephen Thompson,33,---,IRL,00:28:13,02:19:35,01:17:35,00:02:14,00:02:08,04:09:45
ironman-70.3-budapest-20150822.csv,32,Ludovic Le Guellec,33,---,FRA,00:29:37,02:31:28,01:22:40,00:02:57,00:03:04,04:29:46
ironman-70.3-budapest-20150822.csv,33,Roman Krivosheev,34,Intl State,RUS,---,---,---,---,---,DNS
ironman-70.3-budapest-20150822.csv,34,Ivan Jezko,37,Slovakia,SVK,00:31:41,02:19:41,01:19:31,00:01:56,00:02:30,04:15:19
