#File=ironman-70.3-buenos-aires-20160305.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-buenos-aires-20160305.csv,1,Oscar Galindez,45,Intl State,ARG,00:25:08,02:11:30,01:21:55,00:01:11,00:01:25,04:01:09
ironman-70.3-buenos-aires-20160305.csv,2,Ben Hoffman,33,CO,USA,00:23:40,02:04:16,01:15:25,00:01:08,00:01:10,03:45:39
ironman-70.3-buenos-aires-20160305.csv,3,Daniel Fontana,40,Milano,ITA,00:23:31,02:11:04,01:16:46,00:01:15,00:01:02,03:53:38
ironman-70.3-buenos-aires-20160305.csv,4,Ben Collins,33,WA,USA,00:23:34,02:04:17,01:16:52,00:01:10,00:01:20,03:47:13
ironman-70.3-buenos-aires-20160305.csv,5,Igor Amorelli,31,Santa Catarina,BRA,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,6,Sam Appleton,26,NSW,AUS,00:23:29,02:04:41,01:15:13,00:01:04,00:01:06,03:45:33
ironman-70.3-buenos-aires-20160305.csv,7,Alessandro Degasperi,35,Italy,ITA,00:24:25,02:15:06,01:14:56,00:01:16,00:01:21,03:57:04
ironman-70.3-buenos-aires-20160305.csv,8,Chris Mcdonald,38,CO,USA,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,9,Santiago Ascenco,35,Goias,BRA,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,10,Sebastian Pedraza,43,Intl State,ITA,00:28:49,02:24:10,01:32:32,00:01:32,00:01:11,04:28:14
ironman-70.3-buenos-aires-20160305.csv,11,Mario De Elias,31,Buenos Aires,ARG,00:23:43,02:10:57,01:15:37,00:01:06,00:01:08,03:52:31
ironman-70.3-buenos-aires-20160305.csv,12,Sebastian Blanco,28,Buenos Aires,ARG,00:27:10,02:30:05,01:41:19,00:01:20,00:01:27,04:41:21
ironman-70.3-buenos-aires-20160305.csv,13,Christian Carletto,37,Intl State,ARG,00:27:02,02:22:07,01:22:55,00:01:46,00:01:21,04:15:11
ironman-70.3-buenos-aires-20160305.csv,14,Andres Darricau,40,Intl State,ARG,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,15,Rodrigo Acevedo,30,CO,COL,00:27:04,02:11:29,01:23:39,00:00:58,00:01:06,04:04:16
ironman-70.3-buenos-aires-20160305.csv,16,Fabio Carvalho,37,Intl State,BRA,00:22:41,02:06:35,01:17:16,00:02:06,00:01:11,03:49:49
ironman-70.3-buenos-aires-20160305.csv,17,Alan Carvalho,37,Sao Paulo,BRA,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,18,Antonio Manssur Filho,46,Intl State,BRA,00:25:22,02:23:18,01:19:09,00:01:25,00:01:34,04:10:48
ironman-70.3-buenos-aires-20160305.csv,19,Danilo Melo,25,São Paulo,BRA,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,20,Paulo Roberto Maciel Da Silva Junior,26,DF,BRA,00:23:35,02:16:10,01:15:36,00:01:04,00:01:22,03:57:47
ironman-70.3-buenos-aires-20160305.csv,21,Jose Pablo Salazar Ezquerra,22,---,CHL,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,22,Rodrigo Sepulveda San Martin,25,---,CHL,00:25:00,02:23:41,01:26:50,00:01:21,00:01:30,04:18:22
ironman-70.3-buenos-aires-20160305.csv,23,Jonathan Tryoen,30,---,FRA,00:23:33,02:14:46,01:25:14,00:01:12,00:01:25,04:06:10
ironman-70.3-buenos-aires-20160305.csv,24,Eric Watson,27,WA,BHR,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,25,Gaston Duran,40,Intl State,ARG,00:30:00,02:26:46,01:32:29,00:01:29,00:01:10,04:31:54
ironman-70.3-buenos-aires-20160305.csv,26,Unassigned Pro M Unassigned Pro M,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,27,Unassigned Pro M Unassigned Pro M,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,28,Unassigned Pro M Unassigned Pro M,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,29,Unassigned Pro M Unassigned Pro M,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,30,Unassigned Pro M Unassigned Pro M,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,31,Natascha Badmann,49,CH,CHE,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,32,Ariane Monticeli,34,Intl State,BRA,00:29:01,02:26:35,01:22:52,00:01:35,00:01:25,04:21:28
ironman-70.3-buenos-aires-20160305.csv,33,Lauren Goss,28,CO,USA,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,34,Sofie Goos,36,BE,BEL,00:28:53,02:25:30,01:27:16,00:01:04,00:01:37,04:24:20
ironman-70.3-buenos-aires-20160305.csv,35,Dede Griesbauer,45,CO,USA,00:25:47,02:22:24,01:29:48,00:01:21,00:01:32,04:20:52
ironman-70.3-buenos-aires-20160305.csv,36,Pamela Tastets,35,---,CHL,00:28:50,02:30:42,01:33:35,00:01:19,00:01:34,04:36:00
ironman-70.3-buenos-aires-20160305.csv,37,Laurel Wassner,41,CA,USA,00:25:50,02:28:19,01:29:11,00:01:28,00:01:38,04:26:26
ironman-70.3-buenos-aires-20160305.csv,38,Laura Barrena,41,Intl State,ARG,00:40:46,02:51:07,01:47:47,00:01:32,00:01:47,05:22:59
ironman-70.3-buenos-aires-20160305.csv,39,Erika Simon,38,Intl State,ARG,00:30:46,02:32:05,01:37:54,00:01:20,00:01:28,04:43:33
ironman-70.3-buenos-aires-20160305.csv,40,Ana Lidia Borba,32,Intl State,BRA,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,41,Mariana Borges De Andrade,29,SC,BRA,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,42,Heather Lendway,32,MN,USA,00:24:25,02:24:08,01:32:57,00:01:17,00:01:19,04:24:06
ironman-70.3-buenos-aires-20160305.csv,43,Maria Luz Poblete,25,---,CHL,00:28:50,02:30:27,01:29:08,00:01:28,00:01:26,04:31:19
ironman-70.3-buenos-aires-20160305.csv,44,Kimberley Morrison,28,Intl State,GBR,00:25:54,02:18:28,01:33:31,00:01:21,00:01:29,04:20:43
ironman-70.3-buenos-aires-20160305.csv,45,Unassigned Pro F Unassigned Pro F,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,46,Unassigned Pro F Unassigned Pro F,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,47,Unassigned Pro F Unassigned Pro F,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,48,Unassigned Pro F Unassigned Pro F,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-buenos-aires-20160305.csv,49,Unassigned Pro F Unassigned Pro F,---,---,ARG,---,---,---,---,---,DNS
