#ironman-70.3-buffalo-springs-lake-20140629.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-buffalo-springs-lake-20140629.csv,1,Drew Scott,25,CO,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,2,Mark Hillers,28,TX,USA,00:28:01,02:31:00,01:24:51,00:00:58,00:01:11,04:26:01
ironman-70.3-buffalo-springs-lake-20140629.csv,3,Rodrigo Sepulveda San Martin,25,---,CHN,00:25:15,03:20:50,01:47:32,00:01:33,00:02:36,05:37:46
ironman-70.3-buffalo-springs-lake-20140629.csv,4,Joe Thorne,32,CA,USA,00:26:14,02:26:05,01:24:19,00:01:36,00:01:19,04:19:33
ironman-70.3-buffalo-springs-lake-20140629.csv,5,Matthew Ison,28,CO,USA,00:31:16,02:32:58,01:26:28,00:01:38,00:01:05,04:33:25
ironman-70.3-buffalo-springs-lake-20140629.csv,6,Gerhard De Bruin,32,---,ZAF,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,7,Benson Hall,25,LA,USA,00:27:28,02:35:40,---,00:01:21,00:01:26,DNF
ironman-70.3-buffalo-springs-lake-20140629.csv,8,Tim Reed,31,NSW,AUS,00:23:40,02:12:22,01:21:33,00:01:17,00:01:06,03:59:58
ironman-70.3-buffalo-springs-lake-20140629.csv,9,Mark Bowstead,27,---,---,00:23:36,02:14:44,01:22:38,00:01:15,00:01:06,04:03:19
ironman-70.3-buffalo-springs-lake-20140629.csv,10,Brandon Marsh,41,TX,USA,00:22:17,02:16:31,01:27:39,00:01:23,00:01:26,04:09:16
ironman-70.3-buffalo-springs-lake-20140629.csv,11,Jordan Rapp,36,CA,USA,00:25:18,02:10:38,01:22:08,00:01:17,00:01:07,04:00:28
ironman-70.3-buffalo-springs-lake-20140629.csv,12,Matt Hanson,31,IA,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,13,Francisco Serrano,36,Intl State,MEX,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,14,Jason Watson,37,CA,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,15,Joe Umphenour,47,CO,USA,00:22:18,02:22:35,01:20:45,00:01:10,00:01:14,04:08:02
ironman-70.3-buffalo-springs-lake-20140629.csv,16,Patrick Evoe,39,CO,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,17,Angela Naeth,34,BC,USA,00:27:44,02:26:27,01:30:40,00:01:12,00:01:11,04:27:14
ironman-70.3-buffalo-springs-lake-20140629.csv,18,Caroline Gregory,37,CA,USA,00:26:29,02:51:27,01:37:18,00:01:25,00:01:21,04:58:00
ironman-70.3-buffalo-springs-lake-20140629.csv,19,Jeanni Seymour,24,CO,USA,00:26:31,02:37:56,---,00:01:21,00:01:03,DNF
ironman-70.3-buffalo-springs-lake-20140629.csv,20,Kristyn Tobey,34,CO,USA,00:32:14,02:51:22,01:40:47,00:01:26,00:01:29,05:07:18
ironman-70.3-buffalo-springs-lake-20140629.csv,21,Haley Chura,31,MT,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,22,Helle Frederiksen,35,FL,DNK,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,23,Lauren Barnett,31,KS,USA,00:27:23,02:32:09,01:28:02,00:01:18,00:01:06,04:29:58
ironman-70.3-buffalo-springs-lake-20140629.csv,24,Corrie Kristick,33,TX,USA,00:27:29,02:40:47,01:45:09,00:01:35,00:01:26,04:56:26
ironman-70.3-buffalo-springs-lake-20140629.csv,25,Margie Shapiro,39,VA,USA,00:25:24,02:28:03,01:32:44,00:01:20,00:01:01,04:28:32
ironman-70.3-buffalo-springs-lake-20140629.csv,26,Elizabeth Noey,31,CA,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,27,Jimmy Johnsen,38,---,AUS,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,28,Jennifer Spieldenner,29,OH,USA,00:24:01,02:32:43,01:37:38,00:01:29,00:01:14,04:37:05
ironman-70.3-buffalo-springs-lake-20140629.csv,29,Jonathan Shearon,36,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,30,Leon Griffin,36,CO,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,31,Jesse Thomas,36,OR,USA,00:25:14,02:15:04,01:20:12,00:01:06,00:01:18,04:02:54
ironman-70.3-buffalo-springs-lake-20140629.csv,32,Michelle Mighdoll,30,CA,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,33,John Polson,29,---,AUS,00:22:22,02:23:50,01:32:56,00:01:21,00:01:09,04:21:38
ironman-70.3-buffalo-springs-lake-20140629.csv,34,Lachlan Kerin,21,VIC,AUS,00:23:36,02:23:06,01:42:22,00:01:12,00:01:33,04:31:49
ironman-70.3-buffalo-springs-lake-20140629.csv,35,James Cotter,34,TX,USA,00:22:23,---,---,00:01:21,---,DNF
ironman-70.3-buffalo-springs-lake-20140629.csv,36,Elliot Holtham,32,BC,CAN,00:23:42,02:24:00,01:47:36,00:01:18,00:01:12,04:37:48
ironman-70.3-buffalo-springs-lake-20140629.csv,37,Steven Zawaski,31,CO,USA,00:26:59,02:26:39,01:26:00,00:01:36,00:01:36,04:22:50
ironman-70.3-buffalo-springs-lake-20140629.csv,38,Clayton Fettell,---,---,AUS,00:22:18,---,---,00:01:06,---,DNF
ironman-70.3-buffalo-springs-lake-20140629.csv,43,Emily Coleman,19,CA,USA,00:45:21,04:38:42,02:38:38,00:03:25,00:03:04,08:09:10
ironman-70.3-buffalo-springs-lake-20140629.csv,44,Amy Chow,30,TX,USA,00:32:25,03:11:30,02:08:27,00:02:43,00:04:19,05:59:24
ironman-70.3-buffalo-springs-lake-20140629.csv,45,Kelly Hooper,27,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,46,Heather Pinsky,---,NM,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,47,Mollie Silver,27,TX,USA,00:38:03,03:39:26,03:15:25,00:02:16,00:02:35,07:37:45
ironman-70.3-buffalo-springs-lake-20140629.csv,48,Kristen Hunt,---,DC,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,49,Lauren Olson,33,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,50,Fisun Parsons,34,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,51,Angie Rudy,---,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,52,Kelly Roth,32,TX,USA,00:48:43,03:43:26,02:49:31,00:03:42,00:04:06,07:29:28
ironman-70.3-buffalo-springs-lake-20140629.csv,53,Nicole Vandenbemden,---,NM,USA,00:34:18,03:23:38,02:26:11,00:02:48,00:02:48,06:29:43
ironman-70.3-buffalo-springs-lake-20140629.csv,54,Megan Kidd,38,OK,USA,00:37:44,03:35:09,02:51:12,00:03:38,00:04:04,07:11:47
ironman-70.3-buffalo-springs-lake-20140629.csv,55,Diana Martinez,39,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,56,Nikki Mitchell,39,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,57,Teresa A Phillips,41,TX,USA,00:47:52,04:42:07,---,00:06:20,---,DNF
ironman-70.3-buffalo-springs-lake-20140629.csv,58,Kelly Rinehart,39,TX,USA,00:43:52,03:50:42,02:49:36,00:06:29,00:06:24,07:37:03
ironman-70.3-buffalo-springs-lake-20140629.csv,59,Melanie Shattan,40,VA,USA,00:46:35,03:35:20,02:42:12,00:07:00,00:07:33,07:18:40
ironman-70.3-buffalo-springs-lake-20140629.csv,60,Michelle Giese,44,NM,USA,00:48:17,03:49:35,03:08:57,00:05:54,00:06:22,07:59:05
ironman-70.3-buffalo-springs-lake-20140629.csv,61,Michaela Jansen,43,TX,USA,00:36:37,03:20:53,02:00:56,00:03:13,00:02:14,06:03:53
ironman-70.3-buffalo-springs-lake-20140629.csv,62,Su Kwon,43,---,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,63,Jill Mccall,---,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20140629.csv,64,Jackie Mullins,43,TX,USA,01:03:06,04:31:24,---,00:09:39,00:07:00,DNF
ironman-70.3-buffalo-springs-lake-20140629.csv,65,Jami Munsch,---,TX,USA,---,---,---,---,---,DNS
