#File=ironman-70.3-buffalo-springs-lake-20160626.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-buffalo-springs-lake-20160626.csv,1,Garry Elmitt,78,TX,USA,00:49:55,03:54:16,03:42:21,00:03:54,00:04:18,08:34:44
ironman-70.3-buffalo-springs-lake-20160626.csv,2,Eugene Garver,71,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,3,William Marty,73,IL,USA,00:43:09,03:27:12,02:56:21,00:04:32,00:04:51,07:16:05
ironman-70.3-buffalo-springs-lake-20160626.csv,4,Susan Rossiter,70,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,5,Karin Bivens,72,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,6,John Ricca,67,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,7,Fred Marashi,67,TX,USA,00:40:05,02:49:45,02:25:03,00:04:51,00:04:07,06:03:51
ironman-70.3-buffalo-springs-lake-20160626.csv,8,Michael Orendorff,64,CO,USA,00:30:57,02:38:53,01:48:37,00:02:19,00:01:59,05:02:45
ironman-70.3-buffalo-springs-lake-20160626.csv,9,Charlie Woodhouse,66,AZ,USA,00:45:06,03:15:44,02:26:52,00:02:02,00:04:07,06:33:51
ironman-70.3-buffalo-springs-lake-20160626.csv,10,Pete Thauwald,66,TX,USA,00:41:13,03:47:11,03:21:22,00:06:57,00:08:50,08:05:33
ironman-70.3-buffalo-springs-lake-20160626.csv,11,Teresa Woodhouse,66,AZ,USA,00:42:36,03:19:41,02:18:46,00:02:27,00:02:47,06:26:17
ironman-70.3-buffalo-springs-lake-20160626.csv,12,Diane Ridgway,67,CA,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,13,Carl Armstrong,61,NM,USA,00:39:17,02:54:35,02:03:39,00:04:08,00:02:26,05:44:05
ironman-70.3-buffalo-springs-lake-20160626.csv,14,Joseph Wilson,60,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,15,Reyes Lopez,61,TX,USA,00:38:34,02:55:07,02:22:56,00:01:40,00:02:34,06:00:51
ironman-70.3-buffalo-springs-lake-20160626.csv,16,Frank Flores,60,TX,USA,00:38:29,03:40:04,02:03:59,00:03:38,00:02:57,06:29:07
ironman-70.3-buffalo-springs-lake-20160626.csv,17,Michael White,61,KS,USA,00:33:51,02:41:37,01:44:11,00:01:31,00:01:13,05:02:23
ironman-70.3-buffalo-springs-lake-20160626.csv,18,Lonnie Valencia,60,OK,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,19,Danny Pate,63,TX,USA,00:42:49,03:04:41,02:10:14,00:02:55,00:03:42,06:04:21
ironman-70.3-buffalo-springs-lake-20160626.csv,20,Jeff Jones,61,TX,USA,00:39:13,02:48:27,01:57:37,00:02:24,00:02:19,05:30:00
ironman-70.3-buffalo-springs-lake-20160626.csv,21,Patrick Stephens,60,TX,USA,00:36:10,02:43:30,02:04:35,00:01:52,00:01:29,05:27:36
ironman-70.3-buffalo-springs-lake-20160626.csv,22,Randall Sarosdy,63,TX,USA,00:38:08,03:05:31,02:50:11,00:02:04,00:04:13,06:40:07
ironman-70.3-buffalo-springs-lake-20160626.csv,23,Pamela Kallio,62,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,24,Barbara Brooks,63,TX,USA,00:44:13,03:48:00,02:37:15,00:03:11,00:02:45,07:15:24
ironman-70.3-buffalo-springs-lake-20160626.csv,25,Leesa Price,59,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,26,Corinne Gandy,59,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,27,Mike Cruzcosa,58,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,28,Garrett Brown,54,TX,USA,00:34:45,02:33:24,01:47:08,00:02:26,00:03:50,05:01:33
ironman-70.3-buffalo-springs-lake-20160626.csv,29,Hans Siemelink,55,Other,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,30,Johnny Mize,55,TX,USA,00:33:37,02:47:45,01:57:59,00:02:23,00:03:38,05:25:22
ironman-70.3-buffalo-springs-lake-20160626.csv,31,Jeffrey Farris,58,TX,USA,00:35:47,03:28:02,02:46:31,00:03:48,00:05:44,06:59:52
ironman-70.3-buffalo-springs-lake-20160626.csv,32,Rick Hudgens,58,TX,USA,00:46:37,04:06:17,03:26:33,00:09:22,00:08:31,08:37:20
ironman-70.3-buffalo-springs-lake-20160626.csv,33,Victor Torres,57,TX,USA,00:29:46,02:50:04,01:47:56,00:01:48,00:01:56,05:11:30
ironman-70.3-buffalo-springs-lake-20160626.csv,34,Richard Villa,58,TX,USA,00:33:33,02:54:54,02:59:03,00:02:45,00:02:48,06:33:03
ironman-70.3-buffalo-springs-lake-20160626.csv,35,Kevin Watassek,54,TX,USA,00:34:15,03:10:29,02:39:30,00:10:15,00:08:23,06:42:52
ironman-70.3-buffalo-springs-lake-20160626.csv,36,Paul Zetocha,55,NM,USA,00:37:11,02:58:56,02:21:16,00:02:49,00:01:36,06:01:48
ironman-70.3-buffalo-springs-lake-20160626.csv,37,Charlie Blum,57,TX,USA,00:32:14,03:08:44,02:45:33,00:02:46,00:03:08,06:32:25
ironman-70.3-buffalo-springs-lake-20160626.csv,38,Blaine Squires,56,TX,USA,00:33:54,03:01:07,02:03:11,00:02:04,00:02:23,05:42:39
ironman-70.3-buffalo-springs-lake-20160626.csv,39,Brian Fratto,56,TX,USA,00:40:13,02:42:53,02:23:10,00:02:38,00:03:07,05:52:01
ironman-70.3-buffalo-springs-lake-20160626.csv,40,Mark Mulch,57,TX,USA,00:43:47,03:16:08,02:43:37,00:04:25,00:06:45,06:54:42
ironman-70.3-buffalo-springs-lake-20160626.csv,41,David Webster,55,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,42,Darrel Neal,56,TX,USA,00:35:21,02:51:55,01:57:04,00:02:07,00:01:39,05:28:06
ironman-70.3-buffalo-springs-lake-20160626.csv,43,Jose A Grimaldo Jr.,55,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,44,Arthur Forral,55,TX,USA,00:34:58,02:54:59,02:17:49,00:03:00,00:04:13,05:54:59
ironman-70.3-buffalo-springs-lake-20160626.csv,45,David Piscitello,58,OK,USA,00:40:38,03:15:21,02:10:07,00:03:58,00:04:04,06:14:08
ironman-70.3-buffalo-springs-lake-20160626.csv,46,David Townsend,54,TX,USA,00:28:38,02:46:56,01:57:06,00:01:28,00:01:23,05:15:31
ironman-70.3-buffalo-springs-lake-20160626.csv,47,Tony Puckett,55,OK,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,48,Tommy Johnson,54,TX,USA,00:35:49,02:42:19,02:19:06,00:03:49,00:04:59,05:46:02
ironman-70.3-buffalo-springs-lake-20160626.csv,49,Wade Wilson,58,TX,USA,00:32:00,03:02:07,---,00:02:47,00:03:45,DNF
ironman-70.3-buffalo-springs-lake-20160626.csv,50,John Culberson,56,TX,USA,00:31:12,02:54:19,02:11:40,00:02:38,00:03:07,05:42:56
ironman-70.3-buffalo-springs-lake-20160626.csv,51,Salvador Almeida,59,NM,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,52,David Finnie,54,TX,USA,00:31:41,02:42:49,01:53:04,00:02:23,00:02:33,05:12:30
ironman-70.3-buffalo-springs-lake-20160626.csv,53,Jim Lukanich,57,TX,USA,00:34:06,02:36:45,01:49:27,00:02:03,00:02:22,05:04:43
ironman-70.3-buffalo-springs-lake-20160626.csv,54,Duane Decouteau,56,WA,USA,00:54:06,04:14:21,03:27:56,00:05:54,00:04:22,08:46:39
ironman-70.3-buffalo-springs-lake-20160626.csv,55,Danny Mcgar,58,TX,USA,00:40:55,03:32:13,02:42:05,00:03:49,00:02:31,07:01:33
ironman-70.3-buffalo-springs-lake-20160626.csv,56,Michael Nantz,54,VI,USA,00:35:30,---,---,00:02:37,---,DNF
ironman-70.3-buffalo-springs-lake-20160626.csv,57,Jeff Braaten,59,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,58,Steve Farris,57,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,59,Greg Hogan,57,TX,USA,00:33:39,02:52:33,02:13:36,00:02:41,00:01:39,05:44:08
ironman-70.3-buffalo-springs-lake-20160626.csv,60,Katherine Compton,57,TX,USA,---,---,---,---,---,DNS
ironman-70.3-buffalo-springs-lake-20160626.csv,61,Bethann Perkins,57,MI,USA,00:50:00,04:03:39,03:26:02,00:03:43,00:05:30,08:28:54
ironman-70.3-buffalo-springs-lake-20160626.csv,62,Denise Rhodes,55,TX,USA,00:31:28,03:00:50,02:14:02,00:01:50,00:02:29,05:50:39
ironman-70.3-buffalo-springs-lake-20160626.csv,63,Mark Turner,54,TX,USA,00:39:07,03:04:29,02:20:35,00:02:40,00:02:00,06:08:51
