#File=ironman-70.3-busan-korea-20160619.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-busan-korea-20160619.csv,1,Kevin Collington,31,FL,USA,00:16:49,02:20:41,01:24:30,00:03:01,00:01:27,04:06:28
ironman-70.3-busan-korea-20160619.csv,2,Fredrik Croneborg,35,---,SWE,00:17:33,02:27:29,01:21:10,00:03:03,00:01:29,04:10:44
ironman-70.3-busan-korea-20160619.csv,3,Rodrigo Acevedo,30,CO,COL,00:18:33,02:21:14,01:24:27,00:03:16,00:01:13,04:08:43
ironman-70.3-busan-korea-20160619.csv,4,Guy Crawford,37,NSW,NZL,00:16:47,02:30:23,01:34:52,00:03:01,00:01:36,04:26:39
ironman-70.3-busan-korea-20160619.csv,6,Young Hwan Oh,36,Intl State,KOR,00:20:07,02:30:00,01:27:48,00:03:17,00:01:42,04:22:54
ironman-70.3-busan-korea-20160619.csv,7,Beeoh Kim,32,Intl State,KOR,00:20:15,---,---,00:04:39,---,DNF
ironman-70.3-busan-korea-20160619.csv,8,Ben Cook,22,QLD,AUS,00:17:39,---,---,00:02:57,---,DNF
ironman-70.3-busan-korea-20160619.csv,9,Dan Brown,40,NSW,AUS,00:20:14,02:38:25,01:44:31,00:03:57,00:01:52,04:48:59
ironman-70.3-busan-korea-20160619.csv,10,Kate Bevilaqua,39,WA,AUS,00:22:18,03:37:35,01:39:20,00:03:48,00:02:35,05:45:36
ironman-70.3-busan-korea-20160619.csv,12,Kym Coogan,39,QLD,AUS,00:20:01,02:45:58,01:37:49,00:03:17,00:01:56,04:49:01
ironman-70.3-busan-korea-20160619.csv,13,Amelia Watkinson,24,---,NZL,00:17:47,02:25:27,01:33:43,00:03:23,00:01:19,04:21:39
ironman-70.3-busan-korea-20160619.csv,14,Jiho Hwang,37,kyung ki do,KOR,00:23:35,02:54:48,01:56:52,00:04:05,00:01:59,DNF
