#File=ironman-70.3-calgary-20090802.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-calgary-20090802.csv,1,Tim O'Donnell,28,CO,USA,00:24:34,02:10:03,01:17:47,00:01:57,00:01:07,03:55:28
ironman-70.3-calgary-20090802.csv,2,Brent Poulsen,26,TX,CAN,00:27:22,02:17:23,01:21:07,00:02:10,00:01:27,04:09:29
ironman-70.3-calgary-20090802.csv,3,James Cotter,27,TX,USA,00:26:44,02:13:56,01:25:55,00:02:19,00:01:09,04:10:03
ironman-70.3-calgary-20090802.csv,4,Luke Way,27,AB,CAN,00:30:36,02:18:53,01:37:45,00:02:58,00:01:23,04:31:35
ironman-70.3-calgary-20090802.csv,5,Justin Park,29,GA,USA,00:27:18,02:25:03,---,00:02:29,---,DNF
ironman-70.3-calgary-20090802.csv,6,Kyle Marcotte,32,AB,CAN,00:28:22,02:14:53,01:25:55,00:03:04,00:01:22,04:13:36
ironman-70.3-calgary-20090802.csv,7,Ben Adam,24,---,CAN,---,---,---,---,---,DNS
ironman-70.3-calgary-20090802.csv,8,Trev Williams,34,AB,CAN,00:32:45,02:09:06,01:36:08,00:02:41,00:01:17,04:21:57
ironman-70.3-calgary-20090802.csv,9,Matty Fry,29,BC,CAN,00:29:54,02:21:43,01:38:07,00:02:50,00:01:28,04:34:02
ironman-70.3-calgary-20090802.csv,10,Olly Piggin,33,BC,CAN,00:32:46,02:32:49,01:33:19,00:02:45,00:01:49,04:43:28
ironman-70.3-calgary-20090802.csv,11,Tyler Lord,25,ON,CAN,00:30:32,02:22:08,01:32:11,00:02:20,00:01:10,04:28:21
ironman-70.3-calgary-20090802.csv,12,Mathieu Ohalloran,23,---,CAN,---,---,---,---,---,DNS
ironman-70.3-calgary-20090802.csv,13,Anthony Toth,28,BC,CAN,00:29:44,02:16:53,01:24:39,00:03:07,00:01:06,04:15:29
ironman-70.3-calgary-20090802.csv,14,Jamie Whyte,28,AUK,NZL,00:27:27,02:10:56,01:21:58,00:02:19,00:01:18,04:03:58
ironman-70.3-calgary-20090802.csv,15,Ben Hoffman,25,CO,USA,00:27:27,02:10:31,01:21:07,00:02:41,00:01:05,04:02:51
ironman-70.3-calgary-20090802.csv,16,Brendan Halpin,25,MT,USA,00:30:33,02:17:12,01:22:15,00:02:55,00:01:29,04:14:24
ironman-70.3-calgary-20090802.csv,17,Stephen Hackett,27,---,USA,00:24:36,02:12:55,01:29:40,00:02:00,00:01:10,04:10:21
