#File=ironman-70.3-chattanooga-20170521.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-chattanooga-20170521.csv,4,Matt Russell,34,FL,USA,00:25:32,02:11:00,01:16:56,00:02:27,00:01:40,03:57:35
ironman-70.3-chattanooga-20170521.csv,5,Sylvain Sudrie,35,---,FRA,---,---,---,---,---,DNS
ironman-70.3-chattanooga-20170521.csv,6,Justin Park,37,GA,USA,---,---,---,---,---,DNS
ironman-70.3-chattanooga-20170521.csv,8,Thomas Gerlach,35,FL,USA,00:23:48,02:12:51,01:23:57,00:02:21,00:01:30,04:04:27
ironman-70.3-chattanooga-20170521.csv,9,Elliot Bach,23,TX,USA,00:23:49,02:23:48,01:26:12,00:02:27,00:01:37,04:17:53
ironman-70.3-chattanooga-20170521.csv,10,Blake Becker,35,WI,USA,00:25:30,02:13:14,01:23:18,00:02:30,00:01:32,04:06:04
ironman-70.3-chattanooga-20170521.csv,11,Patrick Brady,31,WI,USA,00:28:32,02:16:04,01:19:56,00:02:56,00:01:41,04:09:09
ironman-70.3-chattanooga-20170521.csv,12,Jonathan Fecik,28,CT,USA,00:25:31,02:13:56,01:31:25,00:02:27,00:01:43,04:15:02
ironman-70.3-chattanooga-20170521.csv,13,Adam Feigh,24,SC,USA,00:25:42,02:12:38,01:27:56,00:02:39,00:01:35,04:10:30
ironman-70.3-chattanooga-20170521.csv,14,Daniel Harris,33,VA,USA,---,---,---,---,---,DNS
ironman-70.3-chattanooga-20170521.csv,15,Antoine Jolicoeur Desroches,23,QC,CAN,00:22:27,02:07:39,01:25:28,00:02:15,00:01:27,03:59:16
ironman-70.3-chattanooga-20170521.csv,16,Tyler Jordan,28,AZ,USA,00:25:37,02:12:49,01:19:55,00:02:51,00:01:33,04:02:45
ironman-70.3-chattanooga-20170521.csv,17,Derek Kidwell,32,NC,USA,00:23:42,02:12:34,01:23:56,00:02:35,00:01:49,04:04:36
ironman-70.3-chattanooga-20170521.csv,18,Doug Maclean,37,MA,USA,00:26:30,02:23:27,01:26:32,00:03:09,00:02:14,04:21:52
ironman-70.3-chattanooga-20170521.csv,19,Patrick Mckeon,28,PA,USA,---,---,---,---,---,DNS
ironman-70.3-chattanooga-20170521.csv,20,Robbie Wade,35,CO,IRL,---,---,---,---,---,DNS
ironman-70.3-chattanooga-20170521.csv,21,Jeremiah Mitchell,27,CO,USA,00:26:13,02:21:21,01:38:59,00:02:45,00:01:35,04:30:53
ironman-70.3-chattanooga-20170521.csv,22,Adam Otstot,35,VA,USA,00:25:35,02:12:59,01:16:11,00:02:31,00:01:27,03:58:43
ironman-70.3-chattanooga-20170521.csv,23,Michael Poole,25,FL,NZL,00:23:45,02:12:51,01:24:18,00:02:22,00:01:30,04:04:46
ironman-70.3-chattanooga-20170521.csv,24,Kieran Roche,24,NSW,AUS,00:23:44,02:12:59,01:20:52,00:02:21,00:01:35,04:01:31
ironman-70.3-chattanooga-20170521.csv,25,Tim Russell,27,VT,USA,00:25:41,02:15:13,01:35:38,00:02:42,00:01:53,04:21:07
ironman-70.3-chattanooga-20170521.csv,26,Matthew Shanks,27,MD,USA,00:26:31,02:22:45,01:25:42,00:02:37,00:01:49,04:19:24
ironman-70.3-chattanooga-20170521.csv,27,Jonathan Shearon,37,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-chattanooga-20170521.csv,28,Alex Vanderlinden,27,ON,CAN,00:25:32,02:20:56,01:23:51,00:02:32,00:01:37,04:14:28
ironman-70.3-chattanooga-20170521.csv,30,Steven Zawaski,32,CO,USA,00:24:44,02:13:44,01:18:58,00:02:41,00:01:38,04:01:45
ironman-70.3-chattanooga-20170521.csv,31,Jacob Rhyner,33,FL,USA,00:23:46,---,---,00:02:17,---,DNF
ironman-70.3-chattanooga-20170521.csv,32,Sam Holmes,29,AZ,USA,00:22:56,02:13:04,01:28:01,00:03:04,00:01:53,04:08:58
ironman-70.3-chattanooga-20170521.csv,41,Heather Jackson,33,OR,USA,00:25:56,02:21:47,01:23:39,00:02:29,00:01:29,04:15:20
ironman-70.3-chattanooga-20170521.csv,43,Jackie Hering,32,WI,USA,00:25:24,02:28:00,01:20:35,00:02:39,00:01:40,04:18:18
ironman-70.3-chattanooga-20170521.csv,47,Barbara Riveros,29,NSW,CHL,00:26:09,02:30:24,01:22:46,00:02:40,00:01:30,04:23:29
ironman-70.3-chattanooga-20170521.csv,48,Sarah True,35,NH,USA,00:23:35,02:28:10,01:21:25,00:02:45,00:01:30,04:17:25
ironman-70.3-chattanooga-20170521.csv,49,Liz Baugher,29,VA,USA,00:27:03,02:34:43,01:47:22,00:03:11,00:01:58,04:54:17
