#File=ironman-70.3-costa-rica-20170618.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-costa-rica-20170618.csv,1,Kevin Collington,32,FL,USA,00:25:01,02:00:33,01:15:36,00:00:59,00:01:12,03:43:21
ironman-70.3-costa-rica-20170618.csv,2,Leonardo Chacon,32,cartago,CRI,00:25:00,02:00:43,01:25:56,00:00:52,00:01:18,03:53:49
ironman-70.3-costa-rica-20170618.csv,3,Pablo Herrera,25,Cartago,CRI,00:25:01,02:07:27,01:27:53,00:00:52,00:01:39,04:02:52
ironman-70.3-costa-rica-20170618.csv,4,Raul Tejada,28,GTM,GTM,---,---,---,---,---,DNS
ironman-70.3-costa-rica-20170618.csv,5,Jorge Arias,36,Risaralda,COL,---,---,---,---,---,DNS
ironman-70.3-costa-rica-20170618.csv,6,Carlos Aznar Gallego,34,---,ESP,00:32:07,02:10:43,01:18:05,00:00:58,00:01:38,04:03:31
ironman-70.3-costa-rica-20170618.csv,7,Elliot Bach,23,TX,USA,---,---,---,---,---,DNS
ironman-70.3-costa-rica-20170618.csv,8,Aj Baucco,31,OH,USA,00:25:04,02:38:41,---,00:00:58,00:01:53,DNF
ironman-70.3-costa-rica-20170618.csv,9,Tim Hancock,34,FL,GBR,00:29:28,02:18:49,01:26:52,00:01:48,00:01:45,04:18:42
ironman-70.3-costa-rica-20170618.csv,10,Steven Mckenna,25,SA,AUS,00:25:47,02:05:11,01:28:25,00:00:51,00:01:37,04:01:51
ironman-70.3-costa-rica-20170618.csv,11,Carlos Javier Quinchara Forero,28,Intl State,COL,00:25:03,02:00:41,01:19:57,00:00:53,00:01:24,03:47:58
ironman-70.3-costa-rica-20170618.csv,12,Matthew Shanks,28,MD,USA,00:32:08,02:11:28,01:43:56,00:01:12,00:01:43,04:30:27
ironman-70.3-costa-rica-20170618.csv,13,Felipe Van De Wyngard,36,---,CHL,00:25:04,02:00:36,01:21:35,00:00:59,00:01:30,03:49:44
ironman-70.3-costa-rica-20170618.csv,16,Leanda Cave,39,FL,GBR,00:27:02,02:14:25,01:28:57,00:01:12,00:01:44,04:13:20
ironman-70.3-costa-rica-20170618.csv,17,Lauren Goss,29,CO,USA,00:26:58,02:18:04,01:31:04,00:01:02,00:01:51,04:18:59
ironman-70.3-costa-rica-20170618.csv,18,Dede Griesbauer,46,CO,USA,00:27:07,02:12:08,01:42:27,00:01:38,00:02:00,04:25:20
ironman-70.3-costa-rica-20170618.csv,19,Sarah Cameto,36,CA,USA,00:29:39,02:18:14,01:49:10,00:01:14,00:01:37,04:39:54
ironman-70.3-costa-rica-20170618.csv,20,Kirsty Jahn,33,CO,USA,---,---,---,---,---,DNS
ironman-70.3-costa-rica-20170618.csv,21,Allison Linnell,27,FL,USA,---,---,---,---,---,DNS
ironman-70.3-costa-rica-20170618.csv,22,Kelly O'Mara,32,CA,USA,00:31:39,02:24:02,01:33:44,00:01:14,00:01:36,04:32:15
ironman-70.3-costa-rica-20170618.csv,23,Lenny Ramsey,31,WI,NLD,---,---,---,---,---,DNS
ironman-70.3-costa-rica-20170618.csv,24,Pamela Tastets,36,---,CHL,00:30:48,02:23:06,01:33:42,00:01:23,00:02:46,04:31:45
ironman-70.3-costa-rica-20170618.csv,61,Alex Fernandez,47,---,CRI,00:50:26,03:11:17,03:55:50,00:07:43,00:09:41,08:14:57
ironman-70.3-costa-rica-20170618.csv,62,Alejandro Jimenez,29,San José,CRI,00:46:47,02:36:30,01:57:05,00:02:32,00:03:23,05:26:17
ironman-70.3-costa-rica-20170618.csv,63,Juan Pablo Kaukian,32,---,ARG,---,---,---,---,---,DNS
ironman-70.3-costa-rica-20170618.csv,64,Minda Work,42,TX,USA,---,---,---,---,---,DNS
ironman-70.3-costa-rica-20170618.csv,67,Mauricio Zarama,51,CUNDINAMARCA,COL,00:40:35,02:34:06,01:40:07,00:02:52,00:03:29,05:01:09
ironman-70.3-costa-rica-20170618.csv,68,Karina Mora,44,San Jose,CRI,00:43:06,03:07:36,02:20:00,00:03:37,00:04:24,06:18:43
ironman-70.3-costa-rica-20170618.csv,69,Marion Honnen Miyada,39,Santa Cruz,BOL,---,---,---,---,---,DNS
ironman-70.3-costa-rica-20170618.csv,70,Wayne Sakamoto,55,FL,USA,00:43:12,02:52:22,02:44:48,00:03:36,00:09:29,06:33:27
ironman-70.3-costa-rica-20170618.csv,71,Erick Martinez,30,DISTRITO FEDERAL,MEX,00:56:05,03:01:26,02:47:18,00:02:26,00:03:47,06:51:02
ironman-70.3-costa-rica-20170618.csv,72,Diego Navarro,44,CUNDINAMARCA,COL,01:05:26,02:55:06,01:51:44,00:03:07,00:04:40,06:00:03
ironman-70.3-costa-rica-20170618.csv,73,Saul Rios,43,Antioquia,COL,---,---,---,---,---,DNS
ironman-70.3-costa-rica-20170618.csv,137,Doro Karbach,46,---,AUT,00:36:14,02:32:01,02:02:52,00:02:11,00:04:14,05:17:32
ironman-70.3-costa-rica-20170618.csv,138,Marcela Buschmann Saavedra,50,---,CHL,00:55:12,---,---,00:01:51,---,DNF
ironman-70.3-costa-rica-20170618.csv,139,Gina Correll,52,CA,USA,00:35:58,02:37:45,01:49:59,00:02:42,00:02:39,05:09:03
