#File=ironman-70.3-dubai-20160129.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-dubai-20160129.csv,1,Terenzo Bozzone,30,AUK,NZL,00:21:37,02:04:28,01:15:28,00:01:20,00:01:08,03:44:01
ironman-70.3-dubai-20160129.csv,2,Bart Aernouts,31,---,BEL,00:18:55,02:07:04,01:15:06,00:01:28,00:01:25,03:43:58
ironman-70.3-dubai-20160129.csv,5,David Plese,32,Intl State,SVN,00:18:27,02:13:54,01:18:13,00:01:25,00:01:45,03:53:44
ironman-70.3-dubai-20160129.csv,6,Josh Amberger,26,QLD,AUS,00:16:02,02:05:21,01:17:33,00:01:24,00:01:22,03:41:42
ironman-70.3-dubai-20160129.csv,7,Miquel Blanchart Tinto,31,---,ESP,00:17:59,02:14:11,01:14:54,00:01:18,00:01:32,03:49:54
ironman-70.3-dubai-20160129.csv,8,Simon Brierley,36,Paphos,SYC,00:19:44,02:16:23,01:30:05,00:02:03,00:01:45,04:10:00
ironman-70.3-dubai-20160129.csv,9,Manuel Kueng,28,---,CHE,00:16:13,02:13:41,---,00:01:27,00:01:57,DNF
ironman-70.3-dubai-20160129.csv,10,Mike Schifferle,42,---,CHE,00:21:18,02:12:19,01:22:34,00:01:39,00:02:29,04:00:19
ironman-70.3-dubai-20160129.csv,12,Balazs Csoke,32,TX,HUN,00:16:25,02:11:56,01:22:52,00:01:29,00:01:23,03:54:05
ironman-70.3-dubai-20160129.csv,13,Hh Shaikh Nasser Bin Al Khalifa,28,Other,BHR,00:13:19,02:26:17,01:25:55,00:02:11,00:01:23,04:09:05
ironman-70.3-dubai-20160129.csv,15,Olivier Godart,40,DXB,LUX,00:19:00,02:09:15,01:21:35,00:02:06,00:01:23,03:53:19
ironman-70.3-dubai-20160129.csv,17,Jaroslav Kovacic,31,Slovenia,SVN,00:16:15,02:07:54,01:17:31,00:01:26,00:01:29,03:44:35
ironman-70.3-dubai-20160129.csv,18,Freddy Lampret,37,---,ZAF,00:18:57,02:18:22,01:23:29,00:01:58,00:01:32,04:04:18
ironman-70.3-dubai-20160129.csv,19,Frédéric Limousin,34,---,FRA,00:18:27,02:15:19,01:20:21,00:01:51,00:01:45,03:57:43
ironman-70.3-dubai-20160129.csv,20,Julien Marcq,32,---,FRA,00:19:51,02:24:33,01:18:42,00:01:59,00:01:33,04:06:38
ironman-70.3-dubai-20160129.csv,21,Matij Meden,22,---,SVN,00:17:42,02:15:55,01:20:31,00:01:33,00:01:22,03:57:03
ironman-70.3-dubai-20160129.csv,23,Andrej Vistica,32,Intl State,HRV,00:18:56,02:07:50,01:21:35,00:01:28,00:01:31,03:51:20
ironman-70.3-dubai-20160129.csv,24,Eric Watson,26,WA,BHR,00:16:57,02:18:19,01:17:07,00:01:28,00:01:29,03:55:20
ironman-70.3-dubai-20160129.csv,25,Brad Williams,29,---,USA,00:18:59,02:06:57,01:20:54,00:01:39,00:01:19,03:49:48
ironman-70.3-dubai-20160129.csv,27,Jan Frodeno,34,---,DEU,00:16:00,02:02:33,01:13:49,00:01:14,00:01:12,03:34:48
ironman-70.3-dubai-20160129.csv,28,Nicholas Baldwin,27,WA,SYC,00:18:36,02:08:22,01:19:38,00:01:18,00:01:26,03:49:20
ironman-70.3-dubai-20160129.csv,51,Daniela Ryf,28,---,CHE,00:20:09,02:17:21,01:20:52,00:01:23,00:01:24,04:01:09
ironman-70.3-dubai-20160129.csv,52,Caroline Claudia Steffen,37,NSW,CHE,00:20:25,02:19:55,01:21:56,00:01:18,00:01:27,04:05:01
ironman-70.3-dubai-20160129.csv,53,Tine Deckers,37,---,BEL,00:22:54,02:20:49,01:27:39,00:01:29,00:01:22,04:14:13
ironman-70.3-dubai-20160129.csv,56,Rahel Bellinga,46,---,NLD,00:26:11,02:28:53,01:36:35,00:01:52,00:01:51,04:35:22
ironman-70.3-dubai-20160129.csv,57,Andrea Forrest,30,NSW,AUS,00:21:51,02:21:55,01:24:06,00:01:27,00:01:32,04:10:51
ironman-70.3-dubai-20160129.csv,60,Kaisa Sali,34,Uusimaa,FIN,00:21:38,02:21:59,01:18:35,00:01:23,00:01:28,04:05:03
ironman-70.3-dubai-20160129.csv,61,Jocelyn Mccauley,28,OH,USA,00:21:55,02:19:42,01:24:12,00:01:53,00:01:45,04:09:27
ironman-70.3-dubai-20160129.csv,62,Celine Schaerer,25,---,CHE,00:20:10,02:31:39,01:29:42,00:01:23,00:01:27,04:24:21
ironman-70.3-dubai-20160129.csv,63,Renee Baker,32,WA,AUS,00:21:52,02:28:29,01:32:52,00:01:30,00:01:30,04:26:13
ironman-70.3-dubai-20160129.csv,64,Ewa Komander,30,---,POL,00:22:52,02:31:13,01:34:59,00:01:39,00:01:41,04:32:24
ironman-70.3-dubai-20160129.csv,65,Annah Watkinson,34,ZA,ZAF,00:21:57,02:29:20,01:27:15,00:02:15,00:01:25,04:22:12
