#File=ironman-70.3-durban-20160619.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-durban-20160619.csv,1,Stuart Marais,31,Western Cape,ZAF,---,---,---,---,---,DQ
ironman-70.3-durban-20160619.csv,2,Michael Davidson,38,---,ZAF,00:29:50,02:22:43,01:23:53,00:03:46,00:01:57,04:22:09
ironman-70.3-durban-20160619.csv,4,Freddy Lampret,37,---,ZAF,00:26:34,02:16:31,01:21:42,00:02:53,00:01:33,04:09:13
ironman-70.3-durban-20160619.csv,5,Gerhard De Bruin,32,---,ZAF,00:28:59,02:23:00,01:26:01,00:03:25,00:01:49,04:23:14
ironman-70.3-durban-20160619.csv,6,Clinton Gravett,28,Eastern Cape,ZAF,00:23:12,02:19:58,---,00:02:56,00:02:15,DNF
ironman-70.3-durban-20160619.csv,7,Kent Horner,34,---,ZAF,00:26:30,02:22:45,01:33:47,00:03:05,00:01:43,04:27:50
ironman-70.3-durban-20160619.csv,8,Travis Johnston,31,---,ZAF,00:29:17,02:13:50,01:23:14,00:03:08,00:01:39,04:11:08
ironman-70.3-durban-20160619.csv,9,Johannes Moldan,28,---,DEU,00:31:51,02:11:29,01:26:56,00:02:51,00:01:41,04:14:48
ironman-70.3-durban-20160619.csv,10,Nicolaas Pieter Sterk,28,Gauteng,ZAF,00:28:07,02:23:52,01:35:17,00:03:31,00:02:51,04:33:38
ironman-70.3-durban-20160619.csv,12,Annah Watkinson,35,ZA,ZAF,00:30:14,02:28:30,01:30:43,00:03:46,00:02:28,04:35:41
ironman-70.3-durban-20160619.csv,13,Carlyn Fischer,25,Gauteng,ZAF,00:31:49,02:46:57,01:39:30,00:03:08,00:02:00,05:03:24
ironman-70.3-durban-20160619.csv,14,Claire Horner,35,---,ZAF,00:30:05,02:34:19,01:38:18,00:03:48,00:01:52,04:48:22
ironman-70.3-durban-20160619.csv,15,Lynette Van Der Merwe,28,Gauteng,ZAF,---,---,---,---,---,DNS
