#File=ironman-70.3-eagleman-20080608.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-eagleman-20080608.csv,1,Tj Tollakson,27,IA,---,00:25:36,02:37:51,---,00:01:35,---,DNF
ironman-70.3-eagleman-20080608.csv,2,Paul Amey,34,---,---,00:25:40,02:09:23,01:15:31,00:01:30,00:01:28,03:53:32
ironman-70.3-eagleman-20080608.csv,3,Chris Bagg,29,OR,---,00:28:14,02:06:17,01:42:47,00:02:06,00:01:29,04:20:53
ironman-70.3-eagleman-20080608.csv,4,Tim Van Berkel,23,NSW,---,00:26:09,02:13:31,01:23:52,00:01:38,00:01:28,04:06:38
ironman-70.3-eagleman-20080608.csv,5,Terenzo Bozzone,23,AUK,---,00:25:39,02:13:16,01:14:21,00:01:30,00:01:37,03:56:23
ironman-70.3-eagleman-20080608.csv,6,Mike Caiazzo,31,ME,---,00:30:46,02:11:20,01:19:07,00:01:56,00:01:39,04:04:48
ironman-70.3-eagleman-20080608.csv,7,Flo Chretien,34,NY,---,00:30:56,02:42:56,01:49:19,00:01:48,00:02:22,05:07:21
ironman-70.3-eagleman-20080608.csv,8,Kelly Couch,30,---,---,00:29:20,02:31:15,01:33:06,00:01:46,00:01:48,04:37:15
ironman-70.3-eagleman-20080608.csv,9,Richie Cunningham,34,CO,---,00:25:43,02:10:47,01:18:41,00:01:32,00:01:39,03:58:22
ironman-70.3-eagleman-20080608.csv,10,Fiona Docherty,32,CO,---,00:30:52,02:36:21,01:25:33,00:01:52,00:01:38,04:36:16
ironman-70.3-eagleman-20080608.csv,11,Elizabeth Waterstraat,32,IL,---,00:32:56,02:40:11,01:39:08,00:02:04,00:02:18,04:56:37
ironman-70.3-eagleman-20080608.csv,12,Nick Frank,31,NC,---,00:31:00,02:53:14,---,00:02:23,---,DNF
ironman-70.3-eagleman-20080608.csv,13,Paul Fritzsche,30,PA,---,00:28:16,02:18:08,01:27:35,00:01:43,00:01:47,04:17:29
ironman-70.3-eagleman-20080608.csv,14,Annie Gervais,33,QC,---,00:35:05,02:29:55,01:31:22,00:01:31,00:01:45,04:39:38
ironman-70.3-eagleman-20080608.csv,15,Jacqui Gordon,35,NJ,---,00:32:52,02:28:09,01:32:30,00:02:03,00:01:35,04:37:09
ironman-70.3-eagleman-20080608.csv,16,Dede Griesbauer,37,CO,---,00:26:12,02:25:54,01:34:32,00:01:57,00:01:48,04:30:23
ironman-70.3-eagleman-20080608.csv,17,Kelly Williamson,30,CO,---,00:27:26,02:32:34,01:28:44,00:01:42,00:01:31,04:31:57
