#File=ironman-70.3-ecuador-20150809.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-ecuador-20150809.csv,1,Tim Don,37,Intl State,GBR,00:24:13,02:07:47,01:16:34,00:01:45,00:01:15,03:51:34
ironman-70.3-ecuador-20150809.csv,4,Braden Currie,29,OTA,NZL,00:24:21,02:18:45,01:20:07,00:01:36,00:01:11,04:06:00
ironman-70.3-ecuador-20150809.csv,6,Giovanny Marmol,33,Intl State,ECU,00:26:55,02:23:50,01:22:58,00:02:10,00:01:12,04:17:05
ironman-70.3-ecuador-20150809.csv,8,Rodrigo Sepulveda,24,---,CHL,00:24:15,---,---,00:02:03,---,DNF
ironman-70.3-ecuador-20150809.csv,9,Jonathan Tryoen,28,---,FRA,00:24:14,02:17:02,01:26:57,00:01:45,00:01:18,04:11:16
ironman-70.3-ecuador-20150809.csv,10,Thiago Vinhal,31,Intl State,BRA,00:24:18,02:25:14,01:20:25,00:01:58,00:01:50,04:13:45
ironman-70.3-ecuador-20150809.csv,11,Roberto Rivera Cabrera,29,---,CHL,00:25:30,02:17:17,01:23:31,00:02:06,00:01:27,04:09:51
ironman-70.3-ecuador-20150809.csv,12,James Hadley,35,CO,GBR,00:24:13,02:17:11,01:27:25,00:01:45,00:01:35,04:12:09
ironman-70.3-ecuador-20150809.csv,21,Dede Griesbauer,44,CO,USA,00:26:24,02:22:40,01:36:25,00:02:21,00:01:41,04:29:31
ironman-70.3-ecuador-20150809.csv,27,Valentina Carvallo,29,Intl State,CHL,00:26:22,02:30:56,01:23:40,00:02:02,00:01:04,04:24:04
ironman-70.3-ecuador-20150809.csv,28,Lauren Goss,27,CO,USA,00:24:45,02:25:56,01:21:05,00:01:45,00:01:07,04:14:38
ironman-70.3-ecuador-20150809.csv,30,Andrew Messick,51,FL,USA,---,---,---,---,---,DNS
ironman-70.3-ecuador-20150809.csv,30,Andrew Messick,51,FL,USA,---,---,---,---,---,DNS
ironman-70.3-ecuador-20150809.csv,30,Andrew Messick,51,FL,USA,---,---,---,---,---,DNS
ironman-70.3-ecuador-20150809.csv,101,Paul Tufiño,46,---,ECU,01:10:27,03:52:39,03:34:44,00:11:35,00:09:51,DNF
ironman-70.3-ecuador-20150809.csv,106,Maria Del Cisne Argudo Landeta,36,pichincha,ECU,00:40:26,03:10:39,02:55:18,00:04:32,00:02:58,06:53:53
ironman-70.3-ecuador-20150809.csv,107,Leah Armstrong,36,VA,ECU,00:48:30,02:50:34,01:56:50,00:03:36,00:02:15,05:41:45
ironman-70.3-ecuador-20150809.csv,108,Diana Arteta,37,PICHINCHA,ECU,00:45:14,03:04:42,02:06:09,00:03:37,00:02:35,06:02:17
ironman-70.3-ecuador-20150809.csv,109,Cristina Avila,35,Pichincha,ECU,01:02:51,03:18:53,02:40:31,00:06:16,00:04:04,07:12:35
ironman-70.3-ecuador-20150809.csv,110,Carolina De Los Angeles Bosmediano,36,Pichincha,ECU,00:48:47,03:35:22,01:58:24,00:04:30,00:03:22,06:30:25
ironman-70.3-ecuador-20150809.csv,112,Yadhira Dominguez,37,Imbabura,ECU,00:34:32,03:12:19,02:26:31,00:03:20,00:03:27,06:20:09
ironman-70.3-ecuador-20150809.csv,113,Erika Duenas,36,GUAYAS,ECU,00:49:13,03:15:35,02:38:23,00:05:49,00:04:16,06:53:16
ironman-70.3-ecuador-20150809.csv,114,Sandra Escandon Cuesta,38,---,ECU,00:41:23,03:11:09,01:51:43,00:05:36,00:02:53,05:52:44
