#File=ironman-70.3-elsinore-20150621.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-elsinore-20150621.csv,1,Stefan Holtkötter,29,DE,DEU,00:24:57,02:25:21,01:23:41,00:03:56,00:01:08,04:19:03
ironman-70.3-elsinore-20150621.csv,2,Brian Baadsager,29,---,DNK,00:28:09,02:28:56,01:33:29,00:05:15,00:01:54,04:37:43
ironman-70.3-elsinore-20150621.csv,3,Ross Simpson,29,Wales,GBR,00:26:11,02:28:16,01:27:15,00:04:00,00:01:49,04:27:31
ironman-70.3-elsinore-20150621.csv,4,Anders Winsløw,29,---,DNK,00:41:06,03:04:47,02:16:41,00:10:27,00:06:55,06:19:56
ironman-70.3-elsinore-20150621.csv,5,Anders Holm-Jensen,29,---,DNK,00:34:19,02:43:39,02:13:19,00:08:32,00:04:12,05:44:01
ironman-70.3-elsinore-20150621.csv,6,Tobias Kirschberger,29,Nordrhein-Westfalen,DEU,00:40:18,02:47:42,01:39:47,00:07:51,00:01:35,05:17:13
ironman-70.3-elsinore-20150621.csv,7,Anders Thykjær Mogensen,29,---,DNK,00:37:18,02:45:54,01:50:57,00:08:57,00:04:09,05:27:15
ironman-70.3-elsinore-20150621.csv,8,Peter Ryberg Simonsen,29,---,DNK,00:38:51,02:28:07,01:33:34,00:06:35,00:01:36,04:48:43
ironman-70.3-elsinore-20150621.csv,9,Steffan Emil Lahti,29,---,DNK,00:48:29,03:13:06,02:33:20,00:13:41,00:06:59,06:55:35
ironman-70.3-elsinore-20150621.csv,10,Peter Enstrøm,29,---,DNK,00:41:41,02:43:33,02:06:01,00:09:26,00:03:25,05:44:06
ironman-70.3-elsinore-20150621.csv,11,Ulrich Flensted,29,---,DNK,00:32:08,02:41:46,01:57:44,00:06:06,00:03:39,05:21:23
ironman-70.3-elsinore-20150621.csv,12,Florian Oeser,29,DE,DEU,00:36:34,02:31:46,01:41:45,00:06:13,00:01:52,04:58:10
ironman-70.3-elsinore-20150621.csv,13,Tatu Kasurinen,29,Varsinais-Suomi,FIN,00:26:56,02:20:35,01:25:27,00:03:58,00:02:39,04:19:35
ironman-70.3-elsinore-20150621.csv,14,Patrik Søgart,29,---,DNK,00:35:18,02:52:38,01:56:22,00:07:53,00:02:41,05:34:52
ironman-70.3-elsinore-20150621.csv,15,Andreas Flou,29,---,DNK,---,---,---,---,---,DNS
ironman-70.3-elsinore-20150621.csv,16,Anders Larsen,29,---,DNK,00:39:25,02:50:43,01:53:03,00:11:09,00:05:09,05:39:29
ironman-70.3-elsinore-20150621.csv,17,Teddie Heikkinen,29,---,SWE,00:38:36,02:59:14,01:53:24,00:12:49,00:06:36,05:50:39
ironman-70.3-elsinore-20150621.csv,18,Philip Mora-Jensen,29,---,DNK,---,---,---,---,---,DNS
ironman-70.3-elsinore-20150621.csv,19,Cristiano Todaro,29,Roma,ITA,00:33:46,02:27:23,01:32:31,00:04:31,00:01:25,04:39:36
ironman-70.3-elsinore-20150621.csv,20,Asger Hjorth Saabye,29,---,DNK,00:32:42,02:50:10,02:12:51,00:07:18,00:03:41,05:46:42
ironman-70.3-elsinore-20150621.csv,21,Kasper Brandstrup Rehnquist,29,---,DNK,00:41:58,02:35:46,01:42:04,00:07:26,00:03:53,05:11:07
ironman-70.3-elsinore-20150621.csv,22,Jack Dige Streit,29,Eastern Cape,DNK,00:39:08,02:18:48,01:47:35,00:03:51,00:01:38,04:51:00
ironman-70.3-elsinore-20150621.csv,23,Mads Klit Jensen,29,---,DNK,00:35:23,02:46:16,01:50:29,00:07:43,00:03:03,05:22:54
ironman-70.3-elsinore-20150621.csv,24,Tobias Wendel,29,---,SWE,00:42:16,02:49:29,01:48:15,00:11:51,00:04:46,05:36:37
ironman-70.3-elsinore-20150621.csv,25,Mikkel Dissing,29,---,DNK,00:41:48,02:36:38,01:39:36,00:08:52,00:04:35,05:11:29
ironman-70.3-elsinore-20150621.csv,26,Jakob Skov,30,---,DNK,00:36:22,02:28:50,---,00:06:11,00:02:02,DNF
ironman-70.3-elsinore-20150621.csv,27,Patrik Edvardsen,30,---,DNK,00:39:20,02:58:57,01:58:18,00:06:10,00:02:49,05:45:34
ironman-70.3-elsinore-20150621.csv,28,Morten Knudsen,30,---,DNK,00:40:12,02:53:22,01:50:01,00:17:34,00:03:26,05:44:35
ironman-70.3-elsinore-20150621.csv,29,Nick Danlid Burke,30,SE,GBR,00:30:38,02:30:02,01:32:56,00:05:17,00:01:56,04:40:49
ironman-70.3-elsinore-20150621.csv,30,Claes Dyrby Nielsen,30,---,DNK,00:41:25,02:51:11,01:42:23,00:07:55,00:02:38,05:25:32
ironman-70.3-elsinore-20150621.csv,31,Bo Schülein,30,---,DNK,00:41:10,02:47:35,01:56:49,00:06:51,00:02:41,05:35:06
ironman-70.3-elsinore-20150621.csv,32,Jimmy Wassard Schou,30,---,DNK,00:45:34,02:48:04,01:50:29,00:06:59,00:05:11,05:36:17
ironman-70.3-elsinore-20150621.csv,33,Mark Tranto,30,---,DNK,00:34:10,02:26:41,01:47:58,00:04:20,00:02:18,04:55:27
ironman-70.3-elsinore-20150621.csv,34,Casper Hoejsgaard Jensen,30,---,DNK,00:42:16,02:51:17,01:27:44,00:07:20,00:02:44,05:11:21
ironman-70.3-elsinore-20150621.csv,35,Nicholas Sroczynski,30,---,DNK,00:30:21,02:23:36,01:41:56,00:04:07,00:01:27,04:41:27
