#ironman-70.3-foz-do-iguacu-20160827.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-foz-do-iguacu-20160827.csv,10,Cid Santos,34,Rio Grande do Norte,BRA,---,---,---,---,---,DNS
ironman-70.3-foz-do-iguacu-20160827.csv,11,Andrei Luis Goelzer Bratz,44,ACT,BRA,00:29:47,02:34:46,01:48:27,00:02:35,00:01:34,04:57:09
ironman-70.3-foz-do-iguacu-20160827.csv,12,Andres Nennhuber,43,Chubut,ARG,---,02:31:15,01:51:37,00:35:34,00:01:36,05:00:02
ironman-70.3-foz-do-iguacu-20160827.csv,14,Ezequiel Villata,30,CHUBUT,ARG,00:32:52,02:29:28,01:31:34,00:02:22,00:01:21,04:37:37
ironman-70.3-foz-do-iguacu-20160827.csv,15,Giuseppe Musella,53,PR,BRA,00:31:42,02:40:53,02:03:16,00:03:13,00:03:51,05:22:55
ironman-70.3-foz-do-iguacu-20160827.csv,16,Joni Quirino,41,Parana,BRA,00:37:14,02:42:32,02:00:15,00:04:24,00:02:29,05:26:54
ironman-70.3-foz-do-iguacu-20160827.csv,17,Leonardo Giglio,43,Buenos Aires,ARG,00:31:43,02:37:41,01:37:02,00:03:22,00:01:33,04:51:21
ironman-70.3-foz-do-iguacu-20160827.csv,18,Lucas Pereira Moraes Garcia,38,Sao Paulo,BRA,00:30:01,02:35:20,01:43:35,00:02:51,00:02:20,04:54:07
ironman-70.3-foz-do-iguacu-20160827.csv,19,Luciana Haddad,37,SP,BRA,00:35:16,02:50:06,01:40:04,00:02:12,00:01:17,05:08:55
ironman-70.3-foz-do-iguacu-20160827.csv,20,Marcel Almeida,51,Mato grosso,BRA,00:34:15,02:45:57,02:03:02,00:02:37,00:01:28,05:27:19
ironman-70.3-foz-do-iguacu-20160827.csv,21,Marcelo Abdo,43,---,BRA,00:24:41,02:31:58,01:31:46,00:02:28,00:01:57,04:32:50
ironman-70.3-foz-do-iguacu-20160827.csv,23,Marcos Alexandre Da Silveira,---,---,BRA,---,02:33:35,01:39:59,00:34:21,00:01:47,04:49:42
ironman-70.3-foz-do-iguacu-20160827.csv,24,Maria Gennari,37,Sao Paulo,BRA,00:38:01,02:54:22,01:50:42,00:03:33,00:01:46,05:28:24
ironman-70.3-foz-do-iguacu-20160827.csv,25,Mariana Piza,43,SP,BRA,---,---,---,---,---,DNS
ironman-70.3-foz-do-iguacu-20160827.csv,26,Pedro Berredo,40,DF,BRA,00:27:01,02:30:14,01:36:58,00:02:20,00:01:44,04:38:17
ironman-70.3-foz-do-iguacu-20160827.csv,27,Pedro Cerize,47,Intl State,BRA,00:30:01,02:31:02,01:31:13,00:03:24,00:01:46,04:37:26
ironman-70.3-foz-do-iguacu-20160827.csv,28,Philippe Gondre,53,Intl State,FRA,00:28:40,02:37:22,01:40:41,00:02:14,00:02:22,04:51:19
ironman-70.3-foz-do-iguacu-20160827.csv,29,Rafael Ramos,31,Sao Paulo,BRA,---,02:29:05,01:46:59,00:28:42,00:01:07,04:45:53
ironman-70.3-foz-do-iguacu-20160827.csv,30,Rodrigo Andrade,45,---,BRA,00:27:49,02:50:01,02:07:48,00:02:55,00:03:42,05:32:15
ironman-70.3-foz-do-iguacu-20160827.csv,32,Thelma Damelio,39,SP,BRA,00:38:06,02:40:13,01:41:34,00:03:22,00:01:46,05:05:01
ironman-70.3-foz-do-iguacu-20160827.csv,33,Airton Silva,32,---,BRA,00:42:56,02:41:52,02:18:32,00:05:34,00:02:24,05:51:18
ironman-70.3-foz-do-iguacu-20160827.csv,34,Alexandre Birman,40,Rio Grande do Sul,BRA,---,---,---,---,---,DNS
ironman-70.3-foz-do-iguacu-20160827.csv,35,Alexandre Perez,42,Sao Paulo,BRA,00:36:52,02:34:20,01:41:42,00:03:51,00:01:38,04:58:23
ironman-70.3-foz-do-iguacu-20160827.csv,36,Alexandre Takenaka,34,---,BRA,00:25:44,02:19:25,01:29:39,00:02:17,00:01:25,04:18:30
ironman-70.3-foz-do-iguacu-20160827.csv,37,Andre Nascimento,41,RJ,BRA,00:32:55,02:36:33,01:42:49,00:04:54,00:02:27,04:59:38
ironman-70.3-foz-do-iguacu-20160827.csv,38,Andre Pereira Vanni,---,---,BRA,00:26:28,02:34:05,01:56:17,00:02:57,00:02:15,05:02:02
ironman-70.3-foz-do-iguacu-20160827.csv,39,Bruno Pestana,31,Brasil,BRA,---,02:58:35,02:31:17,00:33:02,00:01:39,06:04:33
ironman-70.3-foz-do-iguacu-20160827.csv,40,Damian Falcone,30,cordoba,ARG,00:28:01,02:29:07,01:36:33,00:03:03,00:01:28,04:38:12
