#File=ironman-70.3-gdynia-20170806.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-gdynia-20170806.csv,1,Romuald Angrot,---,---,POL,---,---,---,---,---,DNS
ironman-70.3-gdynia-20170806.csv,2,Ivan Tutukin,31,---,RUS,---,---,---,---,---,DNS
ironman-70.3-gdynia-20170806.csv,3,Daniil Sapunov,35,Kiev,UKR,---,---,---,---,---,DNS
ironman-70.3-gdynia-20170806.csv,4,Boris Stein,32,---,DEU,00:26:27,02:06:33,01:15:46,00:01:35,00:01:43,03:52:04
ironman-70.3-gdynia-20170806.csv,5,Marek Jaskolka,41,Other,POL,00:24:01,02:26:49,01:14:26,00:01:30,00:01:39,04:08:25
ironman-70.3-gdynia-20170806.csv,6,Aliksandr Vasilevich,31,"
Minsk state",BLR,00:23:53,02:14:36,01:15:10,00:01:39,00:01:34,03:56:52
ironman-70.3-gdynia-20170806.csv,7,Lukasz Kalaszczynski,33,---,POL,00:27:44,02:13:12,01:13:02,00:01:42,00:01:29,03:57:09
ironman-70.3-gdynia-20170806.csv,8,Mikolaj Luft,32,---,POL,00:25:05,02:13:26,01:20:04,00:01:23,00:01:38,04:01:36
ironman-70.3-gdynia-20170806.csv,9,Bartosz Banach,31,---,POL,00:29:53,02:13:21,---,00:01:42,00:01:55,DNF
ironman-70.3-gdynia-20170806.csv,10,Marcin Lawicki,31,---,POL,00:25:06,02:13:25,01:21:25,00:01:25,00:01:32,04:02:53
ironman-70.3-gdynia-20170806.csv,11,Markus Liebelt,27,---,DEU,00:25:08,02:11:48,01:13:51,00:01:37,00:01:34,03:53:58
ironman-70.3-gdynia-20170806.csv,12,Elliot Smales,22,---,GBR,00:23:52,02:14:36,01:14:07,00:01:23,00:01:41,03:55:39
ironman-70.3-gdynia-20170806.csv,13,Jonathan Ciavattella,35,Intl State,ITA,00:24:00,02:14:20,01:14:57,00:01:43,00:01:59,03:56:59
ironman-70.3-gdynia-20170806.csv,14,Evert Scheltinga,29,---,NLD,---,---,---,---,---,DNS
ironman-70.3-gdynia-20170806.csv,15,Kueng Manuel,30,---,CHE,00:24:04,02:07:51,01:19:22,00:01:44,00:01:45,03:54:46
ironman-70.3-gdynia-20170806.csv,16,Inaki De La Parra,34,DF,POL,00:29:52,02:20:27,01:28:30,00:02:28,00:02:03,04:23:20
ironman-70.3-gdynia-20170806.csv,17,Anton Vitolin,39,---,UKR,---,---,---,---,---,DNS
ironman-70.3-gdynia-20170806.csv,18,Pawel Miziarski,26,---,POL,---,---,---,---,---,DNS
ironman-70.3-gdynia-20170806.csv,19,Drachler Tobias,---,---,DEU,---,---,01:16:25,---,00:01:51,03:58:17
ironman-70.3-gdynia-20170806.csv,20,Kacper Adam,25,Poland,POL,00:24:45,02:13:26,01:23:31,00:01:37,00:01:31,04:04:50
ironman-70.3-gdynia-20170806.csv,21,Guillaume Doree,27,---,FRA,00:25:07,02:18:25,01:20:35,00:01:59,00:01:59,04:08:05
