#ironman-70.3-hawaii-20130601.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-hawaii-20130601.csv,1,Pete Jacobs,34,QLD,AUS,00:25:01,02:39:37,01:24:11,00:02:03,00:02:08,04:33:00
ironman-70.3-hawaii-20130601.csv,2,Craig Alexander,43,NSW,AUS,00:25:11,02:13:59,01:23:08,00:02:09,00:01:16,04:05:43
ironman-70.3-hawaii-20130601.csv,3,Jordan Rapp,36,CA,USA,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,4,Luke Bell,37,VIC,USA,00:25:06,02:23:30,01:23:40,00:02:12,00:01:16,04:15:44
ironman-70.3-hawaii-20130601.csv,5,Paul Matthews,33,CO,USA,00:25:06,02:18:57,01:25:01,00:02:01,00:01:08,04:12:13
ironman-70.3-hawaii-20130601.csv,6,Brian Mcleod,26,---,AUS,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,7,Brett Tingay,36,---,NZL,00:28:44,02:27:59,01:34:55,00:02:32,00:01:25,04:35:35
ironman-70.3-hawaii-20130601.csv,8,José Augusto De Azevedo Antunes Filho,38,---,BRA,00:28:28,02:25:24,01:25:53,00:02:30,00:01:32,04:23:47
ironman-70.3-hawaii-20130601.csv,9,Justin Granger,44,---,AUS,00:29:33,02:36:13,01:29:44,00:02:31,00:01:38,04:39:39
ironman-70.3-hawaii-20130601.csv,10,Timothy Marr,37,HI,USA,00:25:15,02:24:25,01:40:43,00:02:11,00:01:42,04:34:16
ironman-70.3-hawaii-20130601.csv,11,Lewis Elliot,36,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,12,Damon Barnet,29,CA,USA,00:25:10,02:18:01,01:27:32,00:02:24,00:01:07,04:14:14
ironman-70.3-hawaii-20130601.csv,14,Jose Jeuland,34,Intl State,FRA,00:28:31,02:25:26,01:23:04,00:02:26,00:01:33,04:21:00
ironman-70.3-hawaii-20130601.csv,15,Benjamin Williams,32,HI,USA,00:29:06,02:26:23,01:23:08,00:02:23,00:01:31,04:22:31
ironman-70.3-hawaii-20130601.csv,16,Linsey Corbin,35,OR,USA,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,17,Melanie Mcquaid,43,BC,CAN,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,18,Belinda Granger,45,---,AUS,00:29:54,02:36:26,01:33:58,00:02:46,00:01:32,04:44:36
ironman-70.3-hawaii-20130601.csv,19,Bree Wee,36,HI,USA,00:28:29,02:30:31,01:48:08,00:02:26,00:01:31,04:51:05
ironman-70.3-hawaii-20130601.csv,20,Meghan Newcomer,35,NY,USA,00:32:44,02:53:33,---,00:03:15,00:01:44,DNF
ironman-70.3-hawaii-20130601.csv,21,Julia Grant,30,---,NZL,00:30:15,02:40:09,01:31:51,00:03:08,00:01:23,04:46:46
ironman-70.3-hawaii-20130601.csv,22,Adrienne Smith,36,CA,USA,00:35:06,02:37:56,01:39:37,00:02:43,00:01:37,04:56:59
ironman-70.3-hawaii-20130601.csv,23,Brooke Brown,36,ON,CAN,00:34:43,02:44:03,01:37:56,00:03:04,00:01:47,05:01:33
ironman-70.3-hawaii-20130601.csv,24,Tatiana Vertiz,28,TX,USA,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,25,Hannah Lawrence,38,NZ,NZL,00:33:57,02:44:11,01:56:53,00:03:04,00:01:42,05:19:47
ironman-70.3-hawaii-20130601.csv,26,Elly Franks,34,---,AUS,00:30:49,---,---,00:03:00,---,DNF
ironman-70.3-hawaii-20130601.csv,27,Arland Macasieb,40,NJ,USA,00:33:59,02:39:34,02:02:42,00:02:56,00:02:39,05:21:50
ironman-70.3-hawaii-20130601.csv,32,Satoshi Tomita,81,"Hokkaido,",JPN,00:54:28,03:44:19,02:44:41,00:07:00,00:06:15,07:36:43
ironman-70.3-hawaii-20130601.csv,33,Leonard Moore,81,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,34,Wayne Mehl,78,CA,USA,00:53:18,04:09:33,---,00:09:28,00:09:29,DNF
ironman-70.3-hawaii-20130601.csv,35,Duane Reed,77,WA,USA,00:44:34,03:32:41,02:44:58,00:08:19,00:06:14,07:16:46
ironman-70.3-hawaii-20130601.csv,36,Alan Lynn Tarkington,76,CA,USA,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,37,Richard Wicklund,76,MN,USA,01:09:36,---,---,00:10:21,---,DNF
ironman-70.3-hawaii-20130601.csv,38,Edward Giroux,76,MI,USA,00:43:50,03:32:25,02:41:03,00:07:13,00:03:14,07:07:45
ironman-70.3-hawaii-20130601.csv,39,Tadashi Horiuchi,75,Kanagawa,JPN,01:05:48,04:09:33,02:57:12,00:08:18,00:03:47,08:24:38
ironman-70.3-hawaii-20130601.csv,40,Richard Edwin Smith,75,HI,USA,00:48:11,03:57:49,03:27:01,00:10:06,00:06:34,08:29:41
ironman-70.3-hawaii-20130601.csv,41,Russ Carter,74,CA,USA,01:10:21,---,---,00:10:04,---,DNF
ironman-70.3-hawaii-20130601.csv,42,Wayne Richey,74,CA,USA,00:53:24,03:39:32,03:21:35,00:08:54,00:05:00,08:08:25
ironman-70.3-hawaii-20130601.csv,43,Chiaki Matugi,73,Ehime,JPN,00:44:56,03:45:54,02:46:55,00:08:24,00:05:09,07:31:18
ironman-70.3-hawaii-20130601.csv,44,Alvan Shores,73,OR,USA,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,45,Robert Mcclure,73,WA,USA,00:50:12,03:18:21,02:22:31,00:06:32,00:03:14,06:40:50
ironman-70.3-hawaii-20130601.csv,46,Thomas DuKet,73,CA,USA,00:51:01,03:31:07,02:12:48,00:06:49,00:03:21,06:45:06
ironman-70.3-hawaii-20130601.csv,47,Robert Plant,73,CA,USA,00:40:33,03:08:58,02:40:55,00:05:09,00:02:25,06:38:00
ironman-70.3-hawaii-20130601.csv,48,Don Cox,72,WA,USA,00:53:54,03:23:37,02:31:53,00:08:23,00:06:55,07:04:42
ironman-70.3-hawaii-20130601.csv,49,Dwight Lundell,72,AZ,USA,00:51:11,02:58:19,---,00:05:29,00:02:59,DNF
ironman-70.3-hawaii-20130601.csv,50,Roy Yamagata,72,HI,USA,00:41:50,04:17:53,02:57:34,00:05:59,00:04:24,08:07:40
ironman-70.3-hawaii-20130601.csv,51,Geoff Thorsen,72,---,AUS,00:44:06,03:06:15,02:18:45,00:05:05,00:03:10,06:17:21
ironman-70.3-hawaii-20130601.csv,52,Lolly Rodgers,74,CA,USA,00:47:09,04:02:45,02:59:39,00:08:14,00:08:34,08:06:21
ironman-70.3-hawaii-20130601.csv,53,Alan Priest,72,MI,USA,00:54:16,03:48:39,03:00:58,00:07:10,00:06:24,07:57:27
ironman-70.3-hawaii-20130601.csv,54,Rob Estes,72,CA,USA,01:02:07,03:34:50,03:25:24,00:08:33,00:09:09,08:20:03
ironman-70.3-hawaii-20130601.csv,55,Daiki Sakuma,71,tokyo,JPN,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,56,Gary Musacco,71,CA,USA,00:42:29,03:18:30,03:13:40,00:27:29,00:05:01,07:47:09
ironman-70.3-hawaii-20130601.csv,57,Chuck Miller,71,HI,USA,---,---,---,---,---,DNS
ironman-70.3-hawaii-20130601.csv,58,John Bruns,71,CA,USA,---,---,---,---,---,DNS
