#File=ironman-70.3-hawaii-20140531.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-hawaii-20140531.csv,1,Craig Alexander,40,NSW,AUS,---,---,---,---,---,DQ
ironman-70.3-hawaii-20140531.csv,2,Luke Bell,35,VIC,AUS,00:24:45,---,---,00:02:08,---,DNF
ironman-70.3-hawaii-20140531.csv,3,Brent Mcmahon,33,BC,CAN,00:24:39,02:12:38,01:19:01,00:02:03,00:01:14,03:59:35
ironman-70.3-hawaii-20140531.csv,4,Karl Bordine,39,CA,USA,00:27:47,02:13:43,01:36:38,00:02:39,00:01:21,04:22:08
ironman-70.3-hawaii-20140531.csv,7,Lachlan Kerin,19,VIC,AUS,00:25:09,02:22:26,01:45:39,00:02:07,00:01:47,04:37:08
ironman-70.3-hawaii-20140531.csv,8,Benjamin Williams,30,HI,USA,00:27:41,02:26:10,01:21:14,00:02:08,00:01:23,04:18:36
ironman-70.3-hawaii-20140531.csv,12,Angela Naeth,32,BC,CAN,00:28:37,02:26:48,01:31:49,00:02:18,00:01:21,04:30:53
ironman-70.3-hawaii-20140531.csv,14,Melanie Mcquaid,41,BC,CAN,00:28:34,02:26:41,01:35:34,00:02:23,00:01:21,04:34:33
ironman-70.3-hawaii-20140531.csv,15,Magali Tisseyre,32,QC,CAN,00:27:43,02:30:50,01:36:02,00:02:25,00:01:32,04:38:32
ironman-70.3-hawaii-20140531.csv,16,Bree Wee,34,HI,USA,00:28:32,02:31:57,01:29:01,00:02:27,00:01:23,04:33:20
ironman-70.3-hawaii-20140531.csv,17,Sarah Graves,36,MT,USA,00:35:36,02:32:35,01:29:35,00:02:59,00:01:40,04:42:25
ironman-70.3-hawaii-20140531.csv,18,Christine Hammond,32,CO,USA,00:27:40,02:35:08,01:34:24,00:02:22,00:01:30,04:41:04
ironman-70.3-hawaii-20140531.csv,19,Mackenzie Madison,27,OR,USA,00:30:04,02:32:07,01:51:24,00:03:26,00:01:44,04:58:45
ironman-70.3-hawaii-20140531.csv,20,Rebecca Preston,34,QLD,AUS,00:30:06,02:35:04,01:35:32,00:02:40,00:01:54,04:45:16
ironman-70.3-hawaii-20140531.csv,21,Jessica Smith,32,CA,USA,00:28:31,02:35:49,01:45:26,00:02:59,00:01:44,04:54:29
ironman-70.3-hawaii-20140531.csv,22,Karen Thibodeau,34,BC,CAN,00:27:43,02:32:38,01:37:01,00:02:39,00:01:21,04:41:22
ironman-70.3-hawaii-20140531.csv,23,Erin Young,37,CA,USA,00:29:42,02:42:00,01:43:27,00:03:08,00:01:55,05:00:12
ironman-70.3-hawaii-20140531.csv,36,France Cokan,82,WA,SLE,01:03:21,---,---,00:14:30,---,DNF
ironman-70.3-hawaii-20140531.csv,37,Satoshi Tomita,79,"Hokkaido,",JPN,00:48:59,03:49:06,02:46:17,00:07:04,00:04:53,07:36:19
ironman-70.3-hawaii-20140531.csv,38,Leonard Moore,78,AZ,USA,00:46:31,03:43:55,---,00:05:16,00:32:12,DNF
ironman-70.3-hawaii-20140531.csv,39,Robert Foster,76,CA,USA,01:11:47,---,---,00:08:05,---,DNF
ironman-70.3-hawaii-20140531.csv,40,Wayne Mehl,77,CA,USA,00:49:40,03:58:26,03:09:38,00:10:06,00:07:30,08:15:20
ironman-70.3-hawaii-20140531.csv,41,John Weber,75,NY,USA,00:41:05,03:41:03,03:29:41,00:11:03,00:07:23,08:10:15
ironman-70.3-hawaii-20140531.csv,42,Frank Ferren,75,HI,USA,---,---,---,---,---,DNS
ironman-70.3-hawaii-20140531.csv,44,Tadashi Horiuchi,73,Kanagawa,JPN,01:08:32,04:05:47,02:31:20,00:09:09,00:03:31,07:58:19
ironman-70.3-hawaii-20140531.csv,45,Richard Smith,72,TX,USA,00:46:44,03:46:39,03:33:34,00:07:56,00:06:52,08:21:45
ironman-70.3-hawaii-20140531.csv,47,Baxter Brown,---,ID,USA,00:52:03,03:55:04,02:51:58,00:07:14,00:07:40,07:53:59
ironman-70.3-hawaii-20140531.csv,48,Chiaki Matsugi,72,Ehime,JPN,00:47:47,04:21:09,03:09:31,00:07:52,00:06:02,08:32:21
