#File=ironman-70.3-hefei-20161016.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-hefei-20161016.csv,2,Brad Kahlefeldt,37,NSW,AUS,00:23:51,02:12:53,01:15:03,00:01:54,00:01:51,03:55:32
ironman-70.3-hefei-20161016.csv,3,Luke Bell,37,VIC,AUS,00:23:54,02:12:57,01:16:49,00:01:50,00:01:57,03:57:27
ironman-70.3-hefei-20161016.csv,5,Guy Crawford,37,ID,NZL,---,---,---,---,---,DNS
ironman-70.3-hefei-20161016.csv,6,Graham O'Grady,34,WKO,NZL,00:22:56,02:07:54,01:29:53,00:01:56,00:01:50,04:04:29
ironman-70.3-hefei-20161016.csv,7,Brad Williams,30,---,USA,00:26:41,02:05:05,01:21:34,00:02:01,00:02:01,03:57:22
ironman-70.3-hefei-20161016.csv,8,Santiago Abad De Agueda,42,---,ESP,00:29:58,02:22:31,01:28:29,00:02:14,00:02:24,04:25:36
ironman-70.3-hefei-20161016.csv,9,Dougal Allan,31,OTA,NZL,00:27:10,02:05:33,01:22:41,00:02:04,00:01:59,03:59:27
ironman-70.3-hefei-20161016.csv,10,Aj Baucco,30,OH,USA,00:25:42,02:21:42,---,00:01:43,00:02:21,DNF
ironman-70.3-hefei-20161016.csv,13,William Cannon,25,VIC,AUS,00:28:30,---,---,00:01:50,---,DNF
ironman-70.3-hefei-20161016.csv,14,Zsombor Deak,27,NSW,ROU,00:28:33,02:23:04,---,00:03:04,00:02:07,DNF
ironman-70.3-hefei-20161016.csv,15,Jonathan Fecik,27,CT,USA,00:26:58,02:15:08,01:26:51,00:02:16,00:02:24,04:13:37
ironman-70.3-hefei-20161016.csv,16,Miao Hao,28,北京,CHN,00:23:47,02:18:26,01:20:42,00:02:14,00:02:35,04:07:44
ironman-70.3-hefei-20161016.csv,17,Stuart Hayes,37,---,GBR,00:23:52,02:12:57,01:16:15,00:01:47,00:01:55,03:56:46
ironman-70.3-hefei-20161016.csv,19,Evgenii Khabarov,28,---,RUS,00:23:53,02:16:34,01:23:43,00:01:53,00:02:15,04:08:18
