#File=ironman-70.3-incheon-korea-20150920.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-incheon-korea-20150920.csv,1,Mitchell Robins,27,NSW,AUS,---,---,---,---,---,DNS
ironman-70.3-incheon-korea-20150920.csv,2,Frederik Croneborg,34,---,SWE,00:22:09,02:12:06,01:23:40,00:01:35,00:00:53,04:00:23
ironman-70.3-incheon-korea-20150920.csv,3,Paul Amey,42,---,GBR,00:23:55,02:20:15,01:26:08,00:01:46,00:01:03,04:13:07
ironman-70.3-incheon-korea-20150920.csv,4,Matt Trautman,30,Western Cape,ZAF,00:22:52,02:12:47,01:19:35,00:01:36,00:01:02,03:57:52
ironman-70.3-incheon-korea-20150920.csv,5,Brad Williams,29,AP,USA,00:25:04,02:15:34,01:26:36,00:01:39,00:00:59,04:09:52
ironman-70.3-incheon-korea-20150920.csv,6,Alistair Eeckman,20,CA,USA,00:25:05,02:18:57,01:23:54,00:01:43,00:00:50,04:10:29
ironman-70.3-incheon-korea-20150920.csv,7,Rudolf Naude,24,---,ZAF,00:22:07,02:22:22,01:29:42,00:01:44,00:01:02,04:16:57
ironman-70.3-incheon-korea-20150920.csv,8,Younghwan Oh,35,Intl State,KOR,00:27:11,02:24:44,01:27:35,00:01:40,00:00:55,04:22:05
ironman-70.3-incheon-korea-20150920.csv,9,Mitchell Kibby,26,VIC,AUS,00:22:29,02:19:41,01:24:34,00:01:30,00:00:57,04:09:11
ironman-70.3-incheon-korea-20150920.csv,10,Daniel Brown,39,NSW,AUS,---,---,---,---,---,DNS
ironman-70.3-incheon-korea-20150920.csv,11,Zsombor Deak,26,NSW,ROU,00:25:07,02:28:03,01:32:49,00:01:37,00:01:02,04:28:38
ironman-70.3-incheon-korea-20150920.csv,12,Gerhard De Bruin,31,---,ZAF,00:25:02,02:21:17,01:41:33,00:01:43,00:01:02,04:30:37
ironman-70.3-incheon-korea-20150920.csv,31,Mary Beth Ellis,38,MA,USA,00:22:14,02:23:26,01:27:50,00:01:35,00:00:56,04:16:01
ironman-70.3-incheon-korea-20150920.csv,32,Renee Baker,31,WA,USA,00:26:20,02:35:02,01:41:12,00:01:45,00:01:04,04:45:23
ironman-70.3-incheon-korea-20150920.csv,33,Julia Grant,30,CAN,NZL,---,---,---,---,---,DNS
ironman-70.3-incheon-korea-20150920.csv,34,Katja Rabe,37,DE,DEU,00:28:25,02:42:12,01:52:10,00:01:51,00:01:24,05:06:02
ironman-70.3-incheon-korea-20150920.csv,35,Sandra Fantini,40,---,FRA,00:26:05,02:39:05,01:43:18,00:02:19,00:01:29,04:52:16
ironman-70.3-incheon-korea-20150920.csv,35,Sandra Fantini,40,---,FRA,00:26:05,02:39:05,01:43:18,00:02:19,00:01:29,04:52:16
ironman-70.3-incheon-korea-20150920.csv,101,Sang Uk Lee,19,---,KOR,00:36:18,03:00:16,02:09:48,00:02:21,00:01:33,05:50:16
ironman-70.3-incheon-korea-20150920.csv,102,Ho Hwan Shin,19,---,KOR,00:37:15,03:03:57,02:26:25,00:03:27,00:03:29,06:14:33
ironman-70.3-incheon-korea-20150920.csv,103,Jaesung Kim,22,일산,KOR,00:39:12,03:16:44,02:22:55,00:03:45,00:01:57,06:24:33
ironman-70.3-incheon-korea-20150920.csv,104,Richard Ford,23,AP,USA,00:34:05,02:52:42,02:04:44,00:03:32,00:01:29,05:36:32
ironman-70.3-incheon-korea-20150920.csv,105,Junho Kim,23,부산,KOR,00:38:39,02:53:49,02:10:09,00:04:46,00:02:54,05:50:17
ironman-70.3-incheon-korea-20150920.csv,106,Leon Wee,23,---,MYS,00:42:41,03:19:04,03:06:25,00:03:35,00:02:14,07:13:59
ironman-70.3-incheon-korea-20150920.csv,107,Jinyoung Go,23,---,KOR,00:36:48,03:19:58,02:46:35,00:06:52,00:02:48,06:53:01
ironman-70.3-incheon-korea-20150920.csv,108,Ki-Pyo Kim,23,울산,KOR,00:41:31,02:53:23,02:09:59,00:02:52,00:01:33,05:49:18
ironman-70.3-incheon-korea-20150920.csv,109,Jaeyeong Lee,24,---,KOR,00:36:44,02:46:36,01:49:18,00:02:53,00:01:36,05:17:07
ironman-70.3-incheon-korea-20150920.csv,110,Kyung-Tae Park,25,창원,KOR,00:26:46,02:29:47,01:47:51,00:02:15,00:01:23,04:48:02
ironman-70.3-incheon-korea-20150920.csv,111,Yongshin Park,---,---,KOR,00:38:00,02:53:38,02:35:48,00:03:59,00:01:50,06:13:15
ironman-70.3-incheon-korea-20150920.csv,112,Taehyung Lim,---,---,KOR,---,---,---,---,---,DNS
