#File=ironman-70.3-italy-20150614.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-italy-20150614.csv,5,Roman Thuerauer,37,AT,AUT,00:31:04,02:28:10,---,00:03:04,00:02:19,DNF
ironman-70.3-italy-20150614.csv,6,Remmert Wielanga,37,---,NLD,00:44:55,02:19:45,01:35:12,00:07:18,00:03:37,04:50:47
ironman-70.3-italy-20150614.csv,7,Ritchie Nicholls,27,Derry,GBR,00:26:36,---,---,00:02:43,---,DNF
ironman-70.3-italy-20150614.csv,8,Thomas Steger,23,Intl State,AUT,---,---,---,---,---,DNS
ironman-70.3-italy-20150614.csv,9,Michael Weiss,34,---,AUT,---,---,---,---,---,DNS
ironman-70.3-italy-20150614.csv,10,Domenico Passuello,37,Intl State,ITA,00:28:34,02:12:40,01:23:38,00:03:07,00:01:56,04:09:55
ironman-70.3-italy-20150614.csv,11,Emanuele Ciotti,35,italia,ITA,00:28:50,02:31:53,01:25:16,00:03:41,00:02:31,04:32:11
ironman-70.3-italy-20150614.csv,12,Gilian Oriet,31,---,CHE,---,---,---,---,---,DNS
ironman-70.3-italy-20150614.csv,13,Luca De Paolis,40,Italia,ITA,00:33:17,02:24:20,01:24:35,00:03:28,00:01:52,04:27:32
ironman-70.3-italy-20150614.csv,14,Johannes Moldan,27,---,DEU,---,---,---,---,---,DNS
ironman-70.3-italy-20150614.csv,15,Matteo Fontana,23,Intl State,ITA,---,---,---,---,---,DNS
ironman-70.3-italy-20150614.csv,16,Evgenii Rulevskii,25,Intl State,RUS,---,---,---,---,---,DNS
ironman-70.3-italy-20150614.csv,17,Simone Mantolini,32,Intl State,ITA,00:31:06,02:27:36,01:27:04,00:03:21,00:02:18,04:31:25
ironman-70.3-italy-20150614.csv,18,Paul Reitmayr,30,---,AUT,00:25:25,02:16:09,01:18:52,00:02:45,00:01:57,04:05:08
ironman-70.3-italy-20150614.csv,19,Xavier Torrades,31,---,ESP,00:26:37,02:30:24,01:20:50,00:02:43,00:02:01,04:22:35
ironman-70.3-italy-20150614.csv,20,Frédéric Limousin,34,---,FRA,---,---,---,---,---,DNS
ironman-70.3-italy-20150614.csv,21,Roman Deisenhofer,30,---,DEU,00:26:59,02:24:01,---,00:03:03,00:02:02,DNF
ironman-70.3-italy-20150614.csv,22,Ivan Risti,35,Intl State,ITA,00:24:46,03:16:27,01:48:33,00:03:00,00:05:59,05:38:45
ironman-70.3-italy-20150614.csv,23,Alberto Casadei,29,Intl State,ITA,00:24:51,02:16:23,01:20:27,00:03:04,00:01:53,04:06:38
ironman-70.3-italy-20150614.csv,24,Daniel Herlbauer,26,---,AUT,---,---,---,---,---,DNS
ironman-70.3-italy-20150614.csv,25,Jonathan Ciavattella,33,Intl State,ITA,00:26:33,02:14:48,01:26:14,00:02:56,00:02:09,04:12:40
ironman-70.3-italy-20150614.csv,51,Natascha Schmitt,29,---,DEU,---,---,---,---,---,DNS
ironman-70.3-italy-20150614.csv,53,Gabriella Zelinka,24,---,HUN,00:28:57,---,---,00:03:22,---,DNF
ironman-70.3-italy-20150614.csv,54,Vanessa Raw,30,Intl State,GBR,00:28:08,02:33:34,01:30:43,00:03:35,00:02:13,04:38:13
