#File=ironman-70.3-japan-20150607.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-japan-20150607.csv,2,Derek Cross,35,WA,AUS,00:22:47,02:21:44,01:34:24,00:02:42,00:01:40,04:23:17
ironman-70.3-japan-20150607.csv,3,Zsombor Deak,25,NSW,ROU,00:25:59,02:36:16,01:27:20,00:03:06,00:01:25,04:34:06
ironman-70.3-japan-20150607.csv,4,Yu Shinozaki,31,Intl State,JPN,00:25:21,02:24:46,01:27:05,00:02:54,00:01:34,04:21:40
ironman-70.3-japan-20150607.csv,5,Swen Sundberg,41,Eastern Cape,DEU,00:22:55,02:22:59,01:25:26,00:02:36,00:01:49,04:15:45
ironman-70.3-japan-20150607.csv,6,Kuniaki Takahama,36,福岡県,JPN,00:22:45,02:38:18,01:15:37,00:03:26,00:01:38,04:21:44
ironman-70.3-japan-20150607.csv,7,Ryan Waddington,23,QLD,AUS,00:22:51,02:21:46,01:17:52,00:02:34,00:01:34,04:06:37
ironman-70.3-japan-20150607.csv,8,Kaito Tohara,---,OSA,JPN,00:22:54,02:24:02,01:18:13,00:02:41,00:01:19,04:09:09
ironman-70.3-japan-20150607.csv,9,Alex Reithmeier,---,QLD,AUS,00:22:46,02:20:47,01:19:48,00:02:44,00:01:25,04:07:30
ironman-70.3-japan-20150607.csv,10,Daiki Masuda,35,KANAGAWA,JPN,00:24:48,02:32:37,01:27:06,00:02:56,00:01:30,04:28:57
ironman-70.3-japan-20150607.csv,12,Mitchell Robins,---,QLD,AUS,00:22:43,02:19:52,01:18:18,00:02:45,00:01:21,04:04:59
ironman-70.3-japan-20150607.csv,21,Sandra Fantini,40,---,FRA,00:24:49,02:47:55,01:39:31,00:04:01,00:02:04,04:58:20
ironman-70.3-japan-20150607.csv,22,Mami Ishii,26,OSA,JPN,00:27:13,02:54:05,01:35:37,00:03:25,00:01:39,05:01:59
ironman-70.3-japan-20150607.csv,23,Shiao-Yu Li,37,---,TWN,00:29:17,02:34:24,01:28:21,00:04:11,00:01:27,04:37:40
ironman-70.3-japan-20150607.csv,24,Stef Puszka,30,NT,AUS,00:28:47,02:42:58,01:32:44,00:04:05,00:02:10,04:50:44
ironman-70.3-japan-20150607.csv,26,Bree Wee,35,HI,USA,00:23:04,02:42:54,01:38:12,00:03:46,00:01:39,04:49:35
ironman-70.3-japan-20150607.csv,27,Emi Sakai,35,Tokyo,JPN,00:29:18,02:42:11,01:34:17,00:03:30,00:02:13,04:51:29
