#ironman-70.3-japan-20160612.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-japan-20160612.csv,1,Tohara Kaito,27,---,JPN,---,---,---,---,---,DNS
ironman-70.3-japan-20160612.csv,2,Swen Sundberg,42,DE,DEU,---,---,---,---,---,DNS
ironman-70.3-japan-20160612.csv,3,Takahama Kuniaki,---,---,JPN,00:25:30,02:26:20,01:18:40,00:03:51,00:02:26,04:16:47
ironman-70.3-japan-20160612.csv,4,Guy Crawford,37,NSW,NZL,00:25:29,02:12:17,01:23:33,00:02:54,00:02:21,04:06:34
ironman-70.3-japan-20160612.csv,5,Giles Clayton,32,QLD,AUS,---,---,---,---,---,DNS
ironman-70.3-japan-20160612.csv,6,Rodrigo Acevedo,30,CO,COL,00:27:11,02:13:07,01:19:52,00:03:03,00:02:06,04:05:19
ironman-70.3-japan-20160612.csv,7,Lachlan Kerin,21,VIC,AUS,---,---,---,---,---,DNS
ironman-70.3-japan-20160612.csv,8,David Mainwaring,26,NSW,AUS,---,---,---,---,---,DNS
ironman-70.3-japan-20160612.csv,9,Eric Watson,27,WA,BHR,---,---,---,---,---,DNS
ironman-70.3-japan-20160612.csv,10,Suganuma Shinya,---,---,JPN,00:29:23,02:23:20,01:25:59,00:04:59,00:02:58,04:26:39
ironman-70.3-japan-20160612.csv,11,Tim George,28,---,AUS,00:25:38,02:14:46,01:18:16,00:03:00,00:02:32,04:04:12
ironman-70.3-japan-20160612.csv,12,Fredrik Croneborg,35,---,SWE,00:26:18,02:14:06,01:22:21,00:03:02,00:02:27,04:08:14
ironman-70.3-japan-20160612.csv,13,Mitchell Robins,28,NSW,AUS,00:26:20,02:14:08,01:16:18,00:02:58,00:02:06,04:01:50
ironman-70.3-japan-20160612.csv,21,Shiao-Yu Li,39,---,TWN,00:30:53,02:28:21,01:31:03,00:04:18,00:02:32,04:37:07
ironman-70.3-japan-20160612.csv,22,Tanaka Keiko,31,---,JPN,00:26:17,02:29:36,01:32:01,00:03:36,00:02:43,04:34:13
ironman-70.3-japan-20160612.csv,23,Stefanie Puszka,31,NT,AUS,00:31:31,---,---,00:04:17,---,DNF
ironman-70.3-japan-20160612.csv,24,Sakai Emi,---,---,JPN,00:33:54,02:27:33,01:35:35,00:04:36,00:03:04,04:44:42
ironman-70.3-japan-20160612.csv,25,Sandra Fantini,41,FR,FRA,---,---,---,---,---,DNS
ironman-70.3-japan-20160612.csv,26,Renee Baker,32,WA,AUS,00:27:50,02:27:57,01:45:43,00:03:36,00:03:03,04:48:09
