#File=ironman-70.3-jonkoping-20170709.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-jonkoping-20170709.csv,1,Johann Ackermann,33,---,DEU,---,---,---,---,---,DNS
ironman-70.3-jonkoping-20170709.csv,2,Bartosz Banach,31,---,POL,00:27:56,02:21:39,01:30:57,00:03:39,00:01:34,04:25:45
ironman-70.3-jonkoping-20170709.csv,3,Emil Dansk,21,---,SWE,00:25:05,02:33:07,01:33:47,00:03:54,00:02:20,04:38:13
ironman-70.3-jonkoping-20170709.csv,4,Rasmus Fitzner,29,---,DNK,00:27:55,02:26:20,01:31:35,00:04:08,00:01:38,04:31:36
ironman-70.3-jonkoping-20170709.csv,5,Erik Holmberg,29,---,SWE,00:26:18,02:12:37,01:25:23,00:03:12,00:01:14,04:08:44
ironman-70.3-jonkoping-20170709.csv,6,Tom Krier,24,APO,LUX,00:27:54,02:23:12,01:19:32,00:03:23,00:01:38,04:15:39
ironman-70.3-jonkoping-20170709.csv,7,Ritchie Nicholls,29,Derry,GBR,---,---,---,---,---,DNS
ironman-70.3-jonkoping-20170709.csv,8,Philipp Reiner,33,---,AUT,00:27:49,02:26:54,01:28:06,00:04:19,00:01:44,04:28:52
ironman-70.3-jonkoping-20170709.csv,9,Nils Svensson,32,---,SWE,---,---,---,---,---,DNS
ironman-70.3-jonkoping-20170709.csv,10,Josh Amberger,28,QLD,AUS,00:22:51,02:08:29,01:15:22,00:03:21,00:01:26,03:51:29
ironman-70.3-jonkoping-20170709.csv,11,Philippe Lamberty,29,Intl State,LUX,00:26:00,02:19:16,01:21:58,00:03:15,00:01:28,04:11:57
ironman-70.3-jonkoping-20170709.csv,12,Andreas Linden,27,---,SWE,---,---,---,---,---,DNS
ironman-70.3-jonkoping-20170709.csv,13,Adrian Haller,28,---,CHE,00:24:31,02:09:55,01:15:19,00:03:00,00:01:53,03:54:38
ironman-70.3-jonkoping-20170709.csv,14,Marcus Herbst,29,---,DEU,00:25:08,02:09:08,01:20:57,00:03:05,00:01:26,03:59:44
ironman-70.3-jonkoping-20170709.csv,15,Martin Olsson,27,---,SWE,00:30:28,02:22:22,01:25:32,00:03:21,00:01:26,04:23:09
ironman-70.3-jonkoping-20170709.csv,17,Alexander Schilling,28,---,DEU,---,---,---,---,---,DNS
