#File=ironman-70.3-kansas-20090614.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-kansas-20090614.csv,1,Tim Deboom,---,---,---,00:23:56,02:12:32,01:25:38,00:01:29,00:00:57,04:04:32
ironman-70.3-kansas-20090614.csv,2,Simon Thompson,31,CO,AUS,00:23:24,02:18:58,01:13:47,00:01:02,00:00:45,03:57:56
ironman-70.3-kansas-20090614.csv,3,Manuel Barreiro,39,FL,USA,00:26:56,02:23:23,01:28:50,00:01:38,00:01:03,04:21:50
ironman-70.3-kansas-20090614.csv,4,Andrew Hodges,25,AL,USA,00:24:51,02:17:27,01:15:07,00:01:16,00:00:55,03:59:36
ironman-70.3-kansas-20090614.csv,5,Kevin Lisska,29,SC,USA,---,---,---,---,---,DNS
ironman-70.3-kansas-20090614.csv,6,Benjamin Schloegel,31,MO,USA,00:30:28,02:25:44,01:22:02,00:01:30,00:01:21,04:21:05
ironman-70.3-kansas-20090614.csv,7,Kirk Nelson,29,UT,USA,00:26:58,02:15:12,01:19:39,00:01:49,00:00:55,04:04:33
ironman-70.3-kansas-20090614.csv,8,Patrick Evoe,31,CO,USA,00:28:18,02:15:03,01:16:39,00:01:28,00:00:57,04:02:25
ironman-70.3-kansas-20090614.csv,9,Tim O'Donnell,28,CO,USA,00:23:22,02:11:24,01:14:14,00:01:06,00:00:38,03:50:44
ironman-70.3-kansas-20090614.csv,10,Leon Griffin,28,CO,USA,---,---,---,---,---,DNS
ironman-70.3-kansas-20090614.csv,11,Nicholas Vandam,22,NY,USA,00:23:29,---,---,00:01:33,---,DNF
ironman-70.3-kansas-20090614.csv,12,Luke Bell,30,VIC,AUS,00:23:24,02:11:05,01:13:15,00:01:13,00:00:38,03:49:35
ironman-70.3-kansas-20090614.csv,13,Stephen Hackett,27,---,USA,00:23:22,02:11:16,01:18:56,00:01:05,00:00:46,03:55:25
ironman-70.3-kansas-20090614.csv,14,Tony White,24,TN,USA,00:24:58,02:15:50,01:20:05,00:01:24,00:00:40,04:02:57
ironman-70.3-kansas-20090614.csv,15,Brandon Marsh,34,TX,USA,00:23:27,02:13:44,01:16:33,00:01:17,00:00:45,03:55:46
ironman-70.3-kansas-20090614.csv,16,James Cotter,27,TX,USA,00:23:26,02:14:03,01:14:22,00:01:27,00:00:47,03:54:05
ironman-70.3-kansas-20090614.csv,17,Brent Poulsen,26,TX,USA,00:24:53,02:17:26,01:23:03,00:01:07,00:00:50,04:07:19
ironman-70.3-kansas-20090614.csv,18,Karl Bordine,34,CA,USA,00:29:21,02:16:43,01:38:08,00:01:44,00:00:46,04:26:42
