#File=ironman-70.3-kraichgau-20150607.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-kraichgau-20150607.csv,1,Sebastian Kienle,32,---,DEU,00:24:27,02:08:44,01:15:25,00:01:56,00:01:24,03:51:56
ironman-70.3-kraichgau-20150607.csv,2,Markus Thomschke,32,DE,DEU,00:26:29,02:17:21,01:19:56,00:01:03,00:01:30,04:06:19
ironman-70.3-kraichgau-20150607.csv,3,Michael Ruenz,29,DE,DEU,00:30:30,02:26:36,01:15:29,00:01:37,00:01:31,04:15:43
ironman-70.3-kraichgau-20150607.csv,4,Johannes Moldan,28,---,DEU,00:27:21,02:22:35,---,00:01:07,00:01:39,DNF
ironman-70.3-kraichgau-20150607.csv,6,Miquel Blanchart Tinto,32,---,ESP,00:25:54,02:28:14,01:17:36,00:01:16,00:01:31,04:14:31
ironman-70.3-kraichgau-20150607.csv,7,Fraser Cartmell,34,Intl State,GBR,00:24:15,02:19:13,01:19:10,00:01:31,00:01:27,04:05:36
ironman-70.3-kraichgau-20150607.csv,8,David Mcnamee,28,APO,GBR,00:24:20,02:19:01,01:14:00,00:01:36,00:01:27,04:00:24
ironman-70.3-kraichgau-20150607.csv,9,Jonathan Tryoen,30,---,FRA,00:24:16,02:24:35,01:24:54,00:17:09,00:01:43,04:32:37
ironman-70.3-kraichgau-20150607.csv,10,Stenn Goetstouwers,24,BE,BEL,00:24:21,02:19:14,01:31:05,00:01:16,00:01:48,04:17:44
ironman-70.3-kraichgau-20150607.csv,11,Müller Urs,32,---,CHE,---,---,---,---,---,DNS
ironman-70.3-kraichgau-20150607.csv,12,Ludovic Le Guellec,34,---,FRA,00:34:24,02:37:43,01:27:27,00:02:33,00:01:49,04:43:56
ironman-70.3-kraichgau-20150607.csv,13,Michael Louys,30,---,BEL,00:32:46,02:35:02,01:25:00,00:01:37,00:01:35,04:36:00
ironman-70.3-kraichgau-20150607.csv,14,Antony Costes,26,---,FRA,00:24:15,02:19:34,01:14:56,00:01:13,00:01:20,04:01:18
ironman-70.3-kraichgau-20150607.csv,15,Christian Hoerper,29,DE,DEU,---,---,---,---,---,DNS
ironman-70.3-kraichgau-20150607.csv,16,Christian Jais,37,---,DEU,00:28:59,---,---,00:01:50,---,DNF
ironman-70.3-kraichgau-20150607.csv,17,Wouter Monchy,30,---,BEL,00:24:22,02:29:35,01:21:02,00:01:29,00:01:30,04:17:58
ironman-70.3-kraichgau-20150607.csv,18,Mario Radevic,37,DE,DEU,00:31:19,02:37:30,01:36:21,00:01:46,00:02:02,04:48:58
ironman-70.3-kraichgau-20150607.csv,19,Pascal Ramali,30,DE,DEU,00:31:20,02:18:48,01:23:44,00:01:52,00:01:41,04:17:25
ironman-70.3-kraichgau-20150607.csv,20,Paul Reitmayr,31,AT,AUT,---,---,---,---,---,DNS
ironman-70.3-kraichgau-20150607.csv,21,Sylvain Rota,32,FR,FRA,---,---,---,---,---,DNS
ironman-70.3-kraichgau-20150607.csv,22,Jens Roth,28,DE,DEU,00:24:05,02:17:46,01:29:47,00:01:25,00:01:59,04:15:02
