#File=ironman-70.3-lake-placid-20170910.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-lake-placid-20170910.csv,1,Amy Farrell,40,NY,USA,00:32:30,02:45:05,01:29:56,00:05:00,00:01:42,04:54:13
ironman-70.3-lake-placid-20170910.csv,11,Jeff Stein,50,PA,USA,00:52:09,03:58:33,---,00:16:19,00:11:15,DNF
ironman-70.3-lake-placid-20170910.csv,12,Kathleen Rooy,53,NJ,USA,00:43:01,03:33:30,02:47:04,00:11:20,00:06:49,07:21:44
ironman-70.3-lake-placid-20170910.csv,13,James Armstrong,37,NJ,USA,00:43:00,03:33:30,02:47:04,00:11:20,00:06:50,07:21:44
ironman-70.3-lake-placid-20170910.csv,14,Thomas Koehler,49,NY,USA,00:35:55,03:07:21,01:54:49,00:09:03,00:05:22,05:52:30
ironman-70.3-lake-placid-20170910.csv,16,Katherine Auchinachie,52,NY,USA,00:46:29,04:01:04,02:38:58,00:11:24,00:07:14,07:45:09
ironman-70.3-lake-placid-20170910.csv,17,Diantha Velasquez,50,NY,USA,00:50:52,03:54:46,02:33:48,00:16:50,00:07:22,07:43:38
ironman-70.3-lake-placid-20170910.csv,18,Matt Gallo,26,NY,USA,00:39:18,03:51:42,02:22:24,00:12:06,00:03:36,07:09:06
ironman-70.3-lake-placid-20170910.csv,19,Ken Noel,36,NY,USA,00:46:32,03:25:20,01:57:42,00:08:36,00:05:03,06:23:13
ironman-70.3-lake-placid-20170910.csv,20,Jeffrey S Romley,39,NY,USA,00:34:21,03:25:40,02:18:42,00:10:15,00:06:00,06:34:58
ironman-70.3-lake-placid-20170910.csv,21,Casey Aston,48,FL,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,22,Colin Lake,46,MA,USA,00:35:41,03:46:12,02:13:07,00:08:15,00:03:43,06:46:58
ironman-70.3-lake-placid-20170910.csv,23,Michael Wunder,47,WI,USA,00:39:39,03:26:43,02:52:18,00:12:54,00:08:12,07:19:46
ironman-70.3-lake-placid-20170910.csv,24,Stephen Brown,57,PA,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,25,Scott Lethbridge,62,NY,USA,00:54:04,03:48:38,02:32:32,00:12:43,00:07:31,07:35:28
ironman-70.3-lake-placid-20170910.csv,26,Angie Carr,38,VA,USA,00:36:42,03:58:27,02:28:52,00:09:36,00:06:34,07:20:11
ironman-70.3-lake-placid-20170910.csv,28,Steve Frawley,45,NY,USA,00:48:47,03:25:37,02:01:34,00:10:06,00:03:58,06:30:02
ironman-70.3-lake-placid-20170910.csv,29,James Hickman,42,QC,CAN,00:40:24,03:19:31,02:33:02,00:11:32,00:06:51,06:51:20
ironman-70.3-lake-placid-20170910.csv,30,Christl Mueller,47,NY,USA,00:40:22,04:00:19,---,00:10:13,---,DNF
ironman-70.3-lake-placid-20170910.csv,32,Bill Rethage,54,PA,USA,00:50:00,03:55:52,02:16:01,00:09:44,00:04:48,07:16:25
ironman-70.3-lake-placid-20170910.csv,34,Angela Scarangella,54,CT,USA,00:42:11,03:07:00,01:57:18,00:10:29,00:05:04,06:02:02
ironman-70.3-lake-placid-20170910.csv,35,Seth Keiles,---,NY,USA,00:36:01,03:24:22,02:20:11,00:08:53,00:02:41,06:32:08
ironman-70.3-lake-placid-20170910.csv,40,Larry Hasson,33,ON,CAN,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,41,Arthur Mathisen,46,VT,USA,00:29:23,02:30:47,01:32:39,00:04:46,00:01:53,04:39:28
ironman-70.3-lake-placid-20170910.csv,42,Bernard Tourigny,54,QC,CAN,00:33:19,02:53:31,01:45:20,00:03:52,00:02:05,05:18:07
ironman-70.3-lake-placid-20170910.csv,43,Christian Bergeron,55,QC,CAN,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,44,Carinne Lavalliere,45,QC,CAN,00:42:47,03:12:12,02:12:08,00:05:42,00:03:34,06:16:23
ironman-70.3-lake-placid-20170910.csv,45,Cody Dolly,37,NY,USA,00:34:30,02:44:44,01:45:04,00:07:40,00:02:38,05:14:36
ironman-70.3-lake-placid-20170910.csv,46,Jonathan Bottoms,43,NY,USA,00:28:39,02:33:19,01:28:44,00:05:38,00:02:15,04:38:35
ironman-70.3-lake-placid-20170910.csv,47,Frederic Cote,41,QC,CAN,00:37:44,02:47:39,01:53:25,00:04:35,00:02:28,05:25:51
ironman-70.3-lake-placid-20170910.csv,48,George Erasmus,46,CO,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,49,Jeffrey Burdo,50,NY,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,50,Mac Hickox,71,ON,CAN,00:48:30,04:13:51,03:18:08,00:07:57,00:04:10,08:32:36
ironman-70.3-lake-placid-20170910.csv,51,Elizabeth Willkomm,38,NJ,USA,00:41:51,03:12:46,01:59:27,00:09:17,00:05:03,06:08:24
ironman-70.3-lake-placid-20170910.csv,52,Maggie Liljegren,41,NJ,USA,00:33:41,03:19:15,01:45:23,00:09:07,00:04:42,05:52:08
ironman-70.3-lake-placid-20170910.csv,53,Leslie Rosen,44,NY,USA,00:41:47,03:34:37,---,00:14:33,00:05:34,DNF
ironman-70.3-lake-placid-20170910.csv,54,Christopher Kechejian,33,TX,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,55,Nathan Figg,35,NY,USA,00:33:15,02:55:48,01:53:05,00:06:28,00:06:35,05:35:11
ironman-70.3-lake-placid-20170910.csv,56,Gregory Baiunco,44,NJ,USA,00:38:40,02:55:56,01:57:47,00:05:04,00:03:20,05:40:47
ironman-70.3-lake-placid-20170910.csv,57,Renato Dalboni,39,QC,CAN,00:28:38,---,---,00:05:40,---,DNF
ironman-70.3-lake-placid-20170910.csv,58,Jean-Alexandre Lambert,40,QC,CAN,00:31:12,03:07:09,01:56:10,00:06:00,00:03:39,05:44:10
ironman-70.3-lake-placid-20170910.csv,59,Kevin Capasso,49,NY,USA,00:39:21,02:44:14,01:42:02,00:09:15,00:03:30,05:18:22
ironman-70.3-lake-placid-20170910.csv,60,Riley Cushing,20,NJ,USA,00:39:38,03:43:13,02:18:12,00:06:19,00:04:33,06:51:55
ironman-70.3-lake-placid-20170910.csv,61,Kaitlyn French,21,PA,USA,00:59:02,---,---,00:07:54,---,DNF
ironman-70.3-lake-placid-20170910.csv,62,Kate Johansen,20,NJ,USA,00:36:34,03:50:25,02:49:55,00:09:32,00:04:05,07:30:31
ironman-70.3-lake-placid-20170910.csv,63,Natalie Love,26,CA,USA,00:45:38,03:37:01,03:14:11,00:13:25,00:10:42,08:00:57
ironman-70.3-lake-placid-20170910.csv,64,Kaileigh Moore,26,NY,USA,00:35:42,03:18:57,02:20:14,00:12:05,00:06:30,06:33:28
ironman-70.3-lake-placid-20170910.csv,65,Bianca Barbosa,32,Sao Paulo,BRA,00:40:14,03:09:53,01:59:55,00:05:54,00:03:03,05:58:59
ironman-70.3-lake-placid-20170910.csv,66,Amy Doll,31,MA,USA,00:38:05,03:32:26,02:10:08,00:08:39,00:04:13,06:33:31
ironman-70.3-lake-placid-20170910.csv,67,Colleen Dolnik,31,NY,ATA,00:47:09,04:35:19,03:38:52,00:08:32,00:05:13,09:15:05
ironman-70.3-lake-placid-20170910.csv,68,Sarah Evans,33,NY,USA,00:35:20,03:47:52,01:46:08,00:13:04,00:04:43,06:27:07
ironman-70.3-lake-placid-20170910.csv,69,Stephanie Hinse,31,QC,CAN,00:37:45,03:34:16,---,00:11:29,---,DNF
ironman-70.3-lake-placid-20170910.csv,70,Kate Loeffler,30,NY,USA,01:00:38,---,---,00:08:20,---,DNF
ironman-70.3-lake-placid-20170910.csv,71,Tiffany Lozano,29,DC,USA,00:49:13,03:52:40,02:13:04,00:10:54,00:08:17,07:14:08
ironman-70.3-lake-placid-20170910.csv,72,Danielle Luk,32,CT,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,73,Whitney Mcfadden,31,NY,USA,00:38:48,03:24:58,01:42:52,00:10:33,00:04:23,06:01:34
ironman-70.3-lake-placid-20170910.csv,74,Audra Otis,33,PA,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,75,Arielle Rosenberg,33,NY,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,76,Lilah Sabalones,34,NY,USA,00:44:39,03:49:22,02:24:07,00:07:15,00:04:31,07:09:54
ironman-70.3-lake-placid-20170910.csv,77,Traci Wagner,30,NY,USA,00:38:51,03:21:23,02:13:33,00:12:43,00:07:50,06:34:20
ironman-70.3-lake-placid-20170910.csv,78,Kittredge Zuk,34,NY,USA,00:37:58,03:16:01,01:57:04,00:10:11,00:05:15,06:06:29
ironman-70.3-lake-placid-20170910.csv,79,Mara Cella,36,NY,USA,00:44:54,03:27:30,02:11:05,00:08:09,00:03:41,06:35:19
ironman-70.3-lake-placid-20170910.csv,80,Veronique Dubuc,38,QC,CAN,00:47:28,03:26:26,02:49:09,00:08:25,00:05:08,07:16:36
ironman-70.3-lake-placid-20170910.csv,81,Bobbie Ennis,37,VA,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,82,Michelle Johnson,38,NJ,USA,00:52:52,04:10:04,02:12:33,00:10:46,00:04:03,07:30:18
ironman-70.3-lake-placid-20170910.csv,83,Wincheng Lin,37,NY,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,84,Josie Vitale,37,PA,USA,00:41:02,03:38:13,02:09:34,00:09:33,00:03:58,06:42:20
ironman-70.3-lake-placid-20170910.csv,85,Julie Woody,38,CT,USA,00:56:15,03:50:06,02:06:55,00:10:38,00:05:37,07:09:31
ironman-70.3-lake-placid-20170910.csv,86,Angela Bilich,40,ON,CAN,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,87,Jodie Casarico,41,VT,USA,00:45:25,03:08:23,01:54:10,00:18:20,00:07:58,06:14:16
ironman-70.3-lake-placid-20170910.csv,88,Sarah Chevalier,39,VT,USA,01:03:44,---,---,00:10:26,---,DNF
ironman-70.3-lake-placid-20170910.csv,89,Danielle Deitrick,41,PA,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,90,Stephanie Guay,42,QC,CAN,00:51:36,03:35:55,02:09:37,00:12:14,00:05:33,06:54:55
ironman-70.3-lake-placid-20170910.csv,91,Kate Morse,43,VA,USA,00:55:10,03:53:13,02:22:45,00:12:35,00:07:01,07:30:44
ironman-70.3-lake-placid-20170910.csv,92,Jennifer Nasto,43,NY,USA,00:53:47,03:39:21,01:55:03,00:25:46,00:05:31,06:59:28
ironman-70.3-lake-placid-20170910.csv,93,Kristine Odell,44,NY,USA,00:41:35,03:35:20,02:05:23,00:13:40,00:06:16,06:42:14
ironman-70.3-lake-placid-20170910.csv,94,Kelly Person,39,NY,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,95,Taryn Raylinsky,40,NY,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,96,Tammy Reder,43,MA,USA,00:58:59,---,---,00:16:25,---,DNF
ironman-70.3-lake-placid-20170910.csv,97,Jeanine Schroder,40,NY,USA,00:48:53,04:15:25,02:43:46,00:15:38,00:10:35,08:14:17
ironman-70.3-lake-placid-20170910.csv,98,Christine Turpin,44,MD,USA,00:45:03,03:24:22,02:06:16,00:11:22,00:05:56,06:32:59
ironman-70.3-lake-placid-20170910.csv,99,Bianca Beldini,44,NY,USA,00:35:31,03:38:07,02:46:04,00:12:43,00:05:58,07:18:23
ironman-70.3-lake-placid-20170910.csv,100,Jessie Bouchot,47,NY,SGP,00:46:17,04:08:00,02:26:46,00:14:04,00:05:43,07:40:50
ironman-70.3-lake-placid-20170910.csv,101,Patricia Gallagher-Crispi,47,CT,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,102,Liz Harris,48,IL,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,103,Monika Hill,46,PA,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,104,Tanis Howe,44,MA,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,105,Helene Lamothe,47,Québec,CAN,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,106,Celeste Marino,48,NJ,USA,00:41:41,03:36:13,02:17:13,00:13:14,00:06:04,06:54:25
ironman-70.3-lake-placid-20170910.csv,107,Jennifer Mason,48,NY,USA,00:44:40,03:55:03,02:24:16,00:15:27,00:04:46,07:24:12
ironman-70.3-lake-placid-20170910.csv,108,Marie-Josee Paradis,49,QC,CAN,00:54:46,03:55:15,02:38:37,00:21:27,00:08:17,07:58:22
ironman-70.3-lake-placid-20170910.csv,109,Suzanne Skibinski,46,NY,USA,00:39:13,03:05:28,02:03:58,00:11:07,00:03:16,06:03:02
ironman-70.3-lake-placid-20170910.csv,110,Marie-Pierre Stark-Flora,47,NY,USA,00:48:20,04:06:37,02:26:39,00:13:43,00:07:09,07:42:28
ironman-70.3-lake-placid-20170910.csv,111,Joanne Cole,54,CT,USA,00:43:04,03:49:38,02:32:10,00:14:18,00:07:43,07:26:53
ironman-70.3-lake-placid-20170910.csv,112,Lori Hearney,52,NY,USA,00:42:02,03:30:12,02:11:21,00:13:42,00:07:02,06:44:19
ironman-70.3-lake-placid-20170910.csv,113,Eve Millner,50,NY,USA,00:45:52,04:01:49,02:36:06,00:12:49,00:05:11,07:41:47
ironman-70.3-lake-placid-20170910.csv,114,Sheila Mulford,53,NY,USA,00:33:29,03:23:06,02:16:53,00:09:38,00:04:04,06:27:10
ironman-70.3-lake-placid-20170910.csv,115,Carolyn Plump,51,PA,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,116,Holly Quasem,51,CA,USA,---,---,---,---,---,DNS
ironman-70.3-lake-placid-20170910.csv,117,Tami Zepnick,51,NY,USA,---,---,---,---,---,DNS
