#File=ironman-70.3-lake-stevens-20140817.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-lake-stevens-20140817.csv,1,Terenzo Bozzone,29,AUK,USA,00:23:44,02:15:45,01:13:51,00:00:54,00:01:03,03:55:17
ironman-70.3-lake-stevens-20140817.csv,2,Paul Ambrose,30,CO,AUS,00:23:49,02:15:38,01:22:03,00:00:54,00:01:10,04:03:34
ironman-70.3-lake-stevens-20140817.csv,3,Ben Hoffman,30,CO,USA,00:24:05,02:15:21,01:13:52,00:00:51,00:01:09,03:55:18
ironman-70.3-lake-stevens-20140817.csv,4,Matt Reed,38,CA,USA,00:23:47,02:15:29,01:19:35,00:01:03,00:01:04,04:00:58
ironman-70.3-lake-stevens-20140817.csv,5,Clayton Fettell,28,NSW,AUS,00:23:14,02:16:12,01:26:19,00:00:55,00:01:16,04:07:56
ironman-70.3-lake-stevens-20140817.csv,6,Justin Birks,32,BC,CAN,00:28:39,02:31:06,02:06:34,00:01:02,00:01:36,05:08:57
ironman-70.3-lake-stevens-20140817.csv,7,Karl Bordine,39,CA,USA,00:26:43,02:21:28,01:25:59,00:01:20,00:01:15,04:16:45
ironman-70.3-lake-stevens-20140817.csv,9,Keith Butsko,27,CA,USA,00:26:04,02:33:31,01:19:10,00:01:12,00:01:19,04:21:16
ironman-70.3-lake-stevens-20140817.csv,10,James Cotter,32,TX,NZL,00:24:02,02:30:58,01:18:44,00:01:06,00:02:01,04:16:51
ironman-70.3-lake-stevens-20140817.csv,11,Derek Garcia,30,ID,USA,00:25:44,02:24:41,01:20:05,00:00:56,00:01:14,04:12:40
ironman-70.3-lake-stevens-20140817.csv,12,Yu Hsiao,24,CA,USA,00:27:54,02:21:14,01:22:22,00:01:09,00:01:23,04:14:02
ironman-70.3-lake-stevens-20140817.csv,16,Sergio Quezada Ruiz,46,JALISCO,MEX,00:25:48,02:35:00,01:24:54,00:01:09,00:01:53,04:28:44
ironman-70.3-lake-stevens-20140817.csv,17,Alex Reithmeier,31,NSW,AUS,00:23:51,02:37:14,01:21:21,00:00:58,00:01:45,04:25:09
ironman-70.3-lake-stevens-20140817.csv,18,Graeme Roche,29,WA,CAN,00:31:19,02:29:25,01:27:19,00:01:04,00:01:22,04:30:29
ironman-70.3-lake-stevens-20140817.csv,19,Josh Seifarth,25,BC,CAN,00:24:17,02:35:15,01:24:40,00:01:10,00:01:52,04:27:14
ironman-70.3-lake-stevens-20140817.csv,20,Anthony Toth,33,BC,CAN,00:27:39,02:45:35,01:27:06,00:01:19,00:01:33,04:43:12
ironman-70.3-lake-stevens-20140817.csv,21,Nathan Dressel,29,UT,USA,00:28:19,02:46:16,---,00:01:06,00:02:32,DNF
ironman-70.3-lake-stevens-20140817.csv,26,Melanie Mcquaid,41,BC,CAN,00:26:47,02:33:12,01:25:04,00:00:58,00:01:07,04:27:08
ironman-70.3-lake-stevens-20140817.csv,29,Liz Lyles,36,NV,USA,00:28:01,02:36:30,01:22:30,00:01:21,00:01:20,04:29:42
ironman-70.3-lake-stevens-20140817.csv,30,Kara Lapoint,27,CA,USA,00:30:51,02:50:23,01:35:54,00:01:29,00:01:47,05:00:24
ironman-70.3-lake-stevens-20140817.csv,31,Courtney Dinicola,24,CA,USA,00:30:37,02:49:25,01:31:19,00:02:00,00:01:51,04:55:12
ironman-70.3-lake-stevens-20140817.csv,32,Michelle Mighdoll,28,CA,USA,00:30:28,02:48:29,01:41:03,00:01:33,00:01:41,05:03:14
ironman-70.3-lake-stevens-20140817.csv,34,Elizabeth Noey,28,CA,USA,00:30:57,02:44:54,01:28:00,00:01:06,00:01:40,04:46:37
ironman-70.3-lake-stevens-20140817.csv,35,Jenni Plane,34,CA,USA,00:30:29,03:13:01,01:49:07,00:01:34,00:01:59,05:36:10
ironman-70.3-lake-stevens-20140817.csv,37,Jessica Smith,32,CA,USA,00:26:50,02:43:35,01:35:53,00:01:15,00:01:41,04:49:14
ironman-70.3-lake-stevens-20140817.csv,38,Erin Spitler,35,MT,USA,00:31:42,02:46:11,01:23:08,00:01:19,00:01:30,04:43:50
