#File=ironman-70.3-lanzarote-20140920.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-lanzarote-20140920.csv,1,Víctor Del Corral,36,---,ESP,00:26:19,02:21:34,01:14:09,00:01:15,00:01:03,04:04:22
ironman-70.3-lanzarote-20140920.csv,2,William Clarke,31,Leicestershire,GBR,00:22:14,02:25:10,01:14:50,00:01:01,00:00:58,04:04:16
ironman-70.3-lanzarote-20140920.csv,3,Romain Guillaume,31,FR,FRA,00:22:24,02:20:24,01:21:54,00:01:00,00:01:10,04:06:53
ironman-70.3-lanzarote-20140920.csv,4,Henrik Hyldelund,31,DK,DNK,00:23:27,02:32:43,01:23:14,00:01:14,00:01:24,04:22:04
ironman-70.3-lanzarote-20140920.csv,5,Marko Albert,37,Intl State,EST,00:22:01,02:26:09,01:18:09,00:01:04,00:00:54,04:08:18
ironman-70.3-lanzarote-20140920.csv,6,Lucy Gossage,36,---,GBR,00:26:30,02:50:07,01:30:49,00:01:15,00:01:20,04:50:04
ironman-70.3-lanzarote-20140920.csv,7,Helle Frederiksen,35,FL,DNK,00:22:56,02:38:08,01:26:44,00:01:03,00:01:06,04:29:58
ironman-70.3-lanzarote-20140920.csv,8,Nicole Woysch,39,Intl State,DEU,00:26:41,02:54:13,01:39:50,00:01:14,00:01:29,05:03:28
ironman-70.3-lanzarote-20140920.csv,9,Rasa Kavaliauskaite,36,---,LTU,---,---,---,---,---,DNS
ironman-70.3-lanzarote-20140920.csv,10,Francisco Fernandez-Cortes,28,---,ESP,00:23:57,03:03:07,01:37:20,00:01:13,00:01:15,05:06:54
ironman-70.3-lanzarote-20140920.csv,11,Herve Banti,---,---,MCO,00:23:37,02:23:45,01:20:16,00:01:11,00:01:16,04:10:08
ironman-70.3-lanzarote-20140920.csv,12,Nicolas Fernandez,32,Intl State,FRA,00:23:57,02:25:25,01:23:27,00:00:58,00:01:01,04:14:49
ironman-70.3-lanzarote-20140920.csv,13,Geert Janssens,28,---,BEL,00:24:02,02:30:40,01:23:28,00:01:11,00:01:17,04:20:39
ironman-70.3-lanzarote-20140920.csv,14,Kenneth Vandendriessche,25,---,BEL,00:26:27,02:25:48,01:25:34,00:01:24,00:01:00,04:20:15
ironman-70.3-lanzarote-20140920.csv,15,Pieter Heemeryck,26,BE,BEL,00:22:13,02:25:11,01:17:40,00:01:03,00:01:07,04:07:16
ironman-70.3-lanzarote-20140920.csv,16,Stenn Goetstouwers,24,BE,BEL,00:22:59,02:26:02,01:24:29,00:01:12,00:01:38,04:16:21
ironman-70.3-lanzarote-20140920.csv,17,Martin Kleinl,35,---,AUT,---,---,---,---,---,DNS
ironman-70.3-lanzarote-20140920.csv,18,Tim Meyer,26,---,DEU,00:24:15,02:24:49,01:19:59,00:01:13,00:01:24,04:11:42
ironman-70.3-lanzarote-20140920.csv,19,Evert Scheltinga,28,Intl State,NLD,00:22:15,02:27:18,01:19:06,00:01:08,00:00:51,04:10:40
ironman-70.3-lanzarote-20140920.csv,20,Jonathan Ciavattella,35,Intl State,ITA,00:22:21,---,---,00:01:20,---,DNF
ironman-70.3-lanzarote-20140920.csv,21,Axel Zeebroek,38,---,BEL,00:22:02,02:25:02,01:24:04,00:01:04,00:00:52,04:13:06
ironman-70.3-lanzarote-20140920.csv,26,Ellie Penketh,24,---,GBR,00:45:13,---,---,00:03:14,---,DNF
ironman-70.3-lanzarote-20140920.csv,27,Pauline Morier,24,FR,FRA,00:28:29,03:12:42,01:52:36,00:02:50,00:02:57,05:39:37
ironman-70.3-lanzarote-20140920.csv,28,Lorna Denny,---,---,GBR,00:50:36,04:17:21,---,00:04:53,---,DNF
ironman-70.3-lanzarote-20140920.csv,29,Marie-Hélène Monteyne,---,---,BEL,00:34:52,03:39:29,02:14:11,00:02:25,00:01:50,06:32:50
ironman-70.3-lanzarote-20140920.csv,30,Emilie Tabor,28,---,NLD,00:40:57,03:56:27,02:05:44,00:02:14,00:02:26,06:47:50
ironman-70.3-lanzarote-20140920.csv,31,Sarah Bonner,29,ON,CAN,00:32:26,03:00:31,01:42:54,00:01:40,00:01:11,05:18:43
ironman-70.3-lanzarote-20140920.csv,32,Eleanor Murphy,29,SW7 5QG,GBR,00:37:57,03:40:00,02:00:47,00:02:21,00:01:56,06:23:03
