#File=ironman-70.3-liuzhou-20170401.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-liuzhou-20170401.csv,1,Brad Kahlefeldt,37,NSW,AUS,00:19:50,02:13:55,01:25:29,00:02:45,00:02:49,04:04:48
ironman-70.3-liuzhou-20170401.csv,2,Tim Don,39,Intl State,GBR,00:19:39,02:00:14,01:12:44,00:02:50,00:02:17,03:37:44
ironman-70.3-liuzhou-20170401.csv,3,Justin Metzler,23,CO,USA,00:19:53,02:06:32,01:17:31,00:03:00,00:02:28,03:49:24
ironman-70.3-liuzhou-20170401.csv,4,Brad Williams,31,---,USA,00:21:57,02:04:24,01:19:39,00:03:53,00:02:18,03:52:11
ironman-70.3-liuzhou-20170401.csv,5,Jesse Thomas,37,OR,USA,00:20:45,02:02:49,01:11:34,00:03:12,00:02:39,03:40:59
ironman-70.3-liuzhou-20170401.csv,6,Frederik Croneborg,36,---,SWE,00:20:58,02:15:45,01:17:47,00:03:05,00:02:55,04:00:30
ironman-70.3-liuzhou-20170401.csv,7,Patrick Evoe,39,CO,USA,00:22:08,02:03:10,01:15:29,00:03:27,00:02:23,03:46:37
ironman-70.3-liuzhou-20170401.csv,8,Ritchie Nicholls,29,Derry,GBR,---,---,---,---,---,DNS
ironman-70.3-liuzhou-20170401.csv,9,Nick Baldwin,29,WA,SYC,---,---,---,---,---,DNS
ironman-70.3-liuzhou-20170401.csv,10,Jacky Boisset,36,---,FRA,00:27:46,02:26:10,01:23:41,00:04:28,00:02:55,04:25:00
ironman-70.3-liuzhou-20170401.csv,11,Jonathan Ciavattella,35,Intl State,ITA,---,---,---,---,---,DNS
ironman-70.3-liuzhou-20170401.csv,12,Sebastien Jouffret,35,---,FRA,---,---,---,---,---,DNS
ironman-70.3-liuzhou-20170401.csv,13,Ivan Kalashnikov,26,Intl State,RUS,00:19:44,02:08:13,01:14:12,00:03:20,00:02:36,03:48:05
ironman-70.3-liuzhou-20170401.csv,14,Lukasz Kalaszczynski,33,---,POL,00:22:33,02:13:44,01:12:55,00:03:21,00:02:19,03:54:52
ironman-70.3-liuzhou-20170401.csv,15,Alexander Polizzi,28,VIC,AUS,00:19:53,02:08:15,01:17:26,00:03:10,00:02:30,03:51:14
ironman-70.3-liuzhou-20170401.csv,16,Daniil Sapunov,34,Kiev,UKR,00:20:03,02:08:01,01:14:33,00:03:13,00:02:32,03:48:22
ironman-70.3-liuzhou-20170401.csv,18,Kaito Tohara,28,kanagawa,JPN,00:21:55,02:06:03,01:17:14,00:03:19,00:02:25,03:50:56
ironman-70.3-liuzhou-20170401.csv,19,Eric Watson,27,WA,BHR,00:19:42,02:16:47,01:14:58,00:03:24,00:02:53,03:57:44
