#File=ironman-70.3-luxembourg-20160618.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-luxembourg-20160618.csv,1,Frederik Van Lierde,37,---,BEL,00:19:39,02:11:19,01:18:22,00:01:10,00:02:05,03:52:35
ironman-70.3-luxembourg-20160618.csv,2,Timo Bracht,41,---,DEU,00:19:40,---,---,00:01:17,---,DNF
ironman-70.3-luxembourg-20160618.csv,3,Boris Stein,31,---,DEU,00:19:42,02:06:17,01:17:16,00:01:12,00:02:01,03:46:28
ironman-70.3-luxembourg-20160618.csv,4,Bas Diederen,36,---,NLD,00:19:41,02:11:27,01:15:58,00:01:07,00:01:54,03:50:07
ironman-70.3-luxembourg-20160618.csv,5,Johann Ackermann,32,---,DEU,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,6,Lucky Berlage,43,Intl State,BEL,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,7,Rob Bobbaers,29,BE,BEL,00:21:01,02:24:52,01:35:36,00:01:18,00:03:17,04:26:04
ironman-70.3-luxembourg-20160618.csv,8,Omar Brons,23,NL,NLD,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,9,Milan Brons,21,NL,NLD,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,10,Joris Buyl,31,BE,BEL,00:21:45,02:22:48,---,00:01:30,---,DNF
ironman-70.3-luxembourg-20160618.csv,11,Martijn Dekker,30,Intl State,NLD,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,12,Patrick Dirksmeier,32,DE,DEU,00:19:31,02:11:31,01:17:29,00:01:11,00:02:19,03:52:01
ironman-70.3-luxembourg-20160618.csv,14,Olivier Godart,41,DXB,LUX,00:19:41,02:16:05,01:25:33,00:01:07,00:02:05,04:04:31
ironman-70.3-luxembourg-20160618.csv,15,Tobias Hibbe,26,DE,DEU,00:19:40,02:29:42,---,00:01:10,00:01:56,DNF
ironman-70.3-luxembourg-20160618.csv,16,Philipp Koutny,33,CH,CHE,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,17,Tom Krier,24,Luxembourg,LUX,00:20:08,02:28:57,01:23:59,00:01:17,00:02:21,04:16:42
ironman-70.3-luxembourg-20160618.csv,18,Manuel Küng,29,CH,CHE,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,19,Philippe Lamberty,28,Intl State,LUX,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,20,Thomas Leboucher,35,FR,FRA,00:19:36,02:11:13,01:17:32,00:01:17,00:02:07,03:51:45
ironman-70.3-luxembourg-20160618.csv,21,Markus Liebelt,26,Intl State,DEU,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,22,Audric Lucini,24,FR,NCL,00:19:40,02:11:33,01:20:21,00:01:06,00:01:54,03:54:34
ironman-70.3-luxembourg-20160618.csv,23,Johannes Moldan,28,---,DEU,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,24,Gilian Oriet,32,---,CHE,---,---,---,---,---,DNS
ironman-70.3-luxembourg-20160618.csv,25,Evert Scheltinga,28,Intl State,NLD,00:19:39,02:10:28,01:17:59,00:01:05,00:01:55,03:51:06
ironman-70.3-luxembourg-20160618.csv,26,Youri Severin,32,Intl State,NLD,00:19:27,02:13:33,01:23:17,00:01:12,00:02:06,03:59:35
ironman-70.3-luxembourg-20160618.csv,27,Erik-Simon Strijk,31,NL,NLD,00:19:46,02:22:22,---,00:01:22,00:02:58,DNF
ironman-70.3-luxembourg-20160618.csv,28,Michal Volejnik,28,APO,CZE,00:20:57,02:29:13,01:27:19,00:01:27,00:02:48,04:21:44
ironman-70.3-luxembourg-20160618.csv,30,Stuart Hayes,37,---,GBR,00:19:42,02:11:27,01:19:27,00:01:09,00:01:56,03:53:41
ironman-70.3-luxembourg-20160618.csv,31,Lukas Wojt,34,DE,DEU,---,---,---,---,---,DNS
