#File=ironman-70.3-mallorca-20160507.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-mallorca-20160507.csv,1,Andreas Dreitz,27,---,DEU,00:24:13,02:17:39,01:16:48,00:03:07,00:02:27,04:04:14
ironman-70.3-mallorca-20160507.csv,2,Timo Bracht,40,---,DEU,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,3,Alessandro Degasperi,35,Intl State,ITA,00:24:21,02:28:35,01:16:23,00:02:40,00:02:25,04:14:24
ironman-70.3-mallorca-20160507.csv,4,Tim Don,38,Intl State,GBR,00:23:16,---,---,00:02:48,---,DNF
ironman-70.3-mallorca-20160507.csv,5,Bart Aernouts,31,---,BEL,00:26:51,02:19:58,01:14:49,00:03:08,00:02:05,04:06:51
ironman-70.3-mallorca-20160507.csv,6,Bertrand Billard,28,---,FRA,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,7,Victor Del Corral,35,---,ESP,00:26:56,02:25:32,01:15:46,00:03:06,00:02:31,04:13:51
ironman-70.3-mallorca-20160507.csv,8,Miguel Angel Fidalgo Rossello,27,---,ESP,00:23:27,02:24:03,01:18:02,00:02:44,00:01:56,04:10:12
ironman-70.3-mallorca-20160507.csv,9,Joan Nadal Clar,35,---,ESP,00:26:01,02:24:37,01:22:30,00:03:35,00:02:33,04:19:16
ironman-70.3-mallorca-20160507.csv,10,Antoine Jolicoeur Desroches,22,QC,CAN,00:23:25,02:42:27,01:23:03,00:03:27,00:02:07,04:34:29
ironman-70.3-mallorca-20160507.csv,11,Timo Moeschk,37,---,DEU,00:37:15,---,---,---,---,DNF
ironman-70.3-mallorca-20160507.csv,12,Gilian Oriet,31,---,CHE,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,13,Ludovic Le Guellec,34,---,FRA,00:31:26,04:36:24,---,00:04:21,00:09:18,DNF
ironman-70.3-mallorca-20160507.csv,14,Erik-Simon Strijk,30,---,NLD,00:26:04,02:31:28,01:19:03,00:03:13,00:02:18,04:22:06
ironman-70.3-mallorca-20160507.csv,15,Johannes Moldan,28,---,DEU,00:25:59,02:21:08,01:23:12,00:03:02,00:01:59,04:15:20
ironman-70.3-mallorca-20160507.csv,17,Richard Westover,29,---,GBR,00:28:58,02:53:24,01:36:56,00:03:59,00:03:58,05:07:15
ironman-70.3-mallorca-20160507.csv,18,Brennan Townshend,---,Intl State,GBR,00:30:57,02:34:49,01:18:19,00:03:20,00:02:35,04:30:00
ironman-70.3-mallorca-20160507.csv,19,Hannes Bonami,29,---,BEL,00:31:46,02:40:22,---,00:03:09,00:02:55,DNF
ironman-70.3-mallorca-20160507.csv,20,Pieter Heemeryck,26,---,BEL,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,21,Oliver Simon,36,---,GBR,00:25:18,02:36:17,01:35:05,00:03:02,00:03:07,04:42:49
ironman-70.3-mallorca-20160507.csv,22,Michael Louys,29,---,BEL,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,23,Stuart Hayes,37,---,GBR,00:23:21,02:34:36,01:24:41,00:03:02,00:02:41,04:28:21
ironman-70.3-mallorca-20160507.csv,24,Tomas Mika,29,Intl State,CZE,00:26:54,02:34:01,01:21:41,00:03:27,00:02:35,04:28:38
ironman-70.3-mallorca-20160507.csv,25,Fredrik Bäckson,29,---,SWE,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,26,Erik Holmberg,27,---,SWE,00:26:05,02:34:11,01:20:43,00:03:29,00:02:00,04:26:28
ironman-70.3-mallorca-20160507.csv,27,Mark Threlfall,28,Intl State,GBR,00:23:19,02:26:25,01:24:58,00:02:59,00:02:09,04:19:50
ironman-70.3-mallorca-20160507.csv,28,Urs Mueller,32,---,CHE,00:29:26,02:36:27,01:28:46,00:04:09,00:02:15,04:41:03
ironman-70.3-mallorca-20160507.csv,29,Santiago Abad De Agueda,42,---,ESP,00:30:32,02:41:45,01:27:27,00:03:44,00:03:09,04:46:37
ironman-70.3-mallorca-20160507.csv,30,Thomas Steger,24,---,AUT,00:24:28,02:19:13,01:19:53,00:03:23,00:02:13,04:09:10
ironman-70.3-mallorca-20160507.csv,31,David Cottle,37,---,TTO,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,32,Stenn Goetstouwers,24,---,BEL,00:24:27,02:33:18,---,00:03:02,00:02:17,DNF
ironman-70.3-mallorca-20160507.csv,34,Geert Lauryssen,33,---,BEL,00:30:23,---,---,00:03:22,---,DNF
ironman-70.3-mallorca-20160507.csv,35,Denis Chevrot,27,---,FRA,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,37,Henrik Hyldelund,31,DK,DNK,00:23:19,02:20:36,01:21:22,00:03:06,00:02:13,04:10:36
ironman-70.3-mallorca-20160507.csv,38,Kacper Adam,23,Poland,POL,00:24:25,02:32:53,01:26:37,00:03:34,00:02:47,04:30:16
ironman-70.3-mallorca-20160507.csv,39,Paulo Roberto Maciel Da Silva,25,DF,BRA,00:23:25,02:30:26,01:23:57,00:02:55,00:03:07,04:23:50
ironman-70.3-mallorca-20160507.csv,40,Kit Walker,26,Dorset,GBR,00:26:02,02:31:37,01:23:54,00:03:18,00:02:57,04:27:48
ironman-70.3-mallorca-20160507.csv,41,Vinicius Canhedo,32,FL,BRA,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,42,Tobias Heining,27,---,DEU,00:24:41,02:35:37,01:23:31,00:03:23,00:02:36,04:29:48
ironman-70.3-mallorca-20160507.csv,43,Craig Twigg,44,Other,GBR,00:26:04,---,---,00:03:41,---,DNF
ironman-70.3-mallorca-20160507.csv,44,Olivier Esser,34,---,BEL,00:26:57,02:35:53,01:28:05,00:03:06,00:02:43,04:36:44
ironman-70.3-mallorca-20160507.csv,45,Paul Matthews,33,TX,AUS,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,47,Marcus Fernandes,29,DF,BRA,00:23:01,02:25:55,01:20:36,00:03:00,00:02:37,04:15:09
ironman-70.3-mallorca-20160507.csv,48,Xavier Torrades,32,---,ESP,00:24:37,02:34:58,01:20:44,00:03:00,00:02:33,04:25:52
ironman-70.3-mallorca-20160507.csv,50,Thiago Vinhal,32,Intl State,BRA,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,51,Christian Brader,36,---,DEU,00:26:58,02:33:37,01:19:35,00:03:43,00:02:33,04:26:26
ironman-70.3-mallorca-20160507.csv,52,Hywel Davies,41,---,GBR,00:29:32,02:43:51,01:21:30,00:05:01,00:03:27,04:43:21
ironman-70.3-mallorca-20160507.csv,53,Josep Torres Riera,23,---,ESP,---,---,---,---,---,DNS
ironman-70.3-mallorca-20160507.csv,54,Carlos Lopez Diaz,32,---,ESP,00:23:26,02:29:17,01:21:00,00:02:56,00:02:08,04:18:47
ironman-70.3-mallorca-20160507.csv,55,Daniel Herlbauer,27,---,AUT,00:26:53,02:34:16,01:30:31,00:03:08,00:02:24,04:37:12
ironman-70.3-mallorca-20160507.csv,56,Andreas Lindén,26,---,SWE,---,---,---,---,---,DNS
