#ironman-70.3-miami-20121028.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-miami-20121028.csv,1,Matt Reed,40,CA,USA,00:23:14,02:06:30,01:23:59,00:01:31,00:01:00,03:56:14
ironman-70.3-miami-20121028.csv,2,Jan Van Berkel,---,---,CHE,00:23:09,02:04:12,01:13:48,00:01:37,00:01:06,03:43:52
ironman-70.3-miami-20121028.csv,3,Andres Castillo Latorre,---,---,COL,00:22:42,02:08:18,01:16:17,00:01:49,00:01:13,03:50:19
ironman-70.3-miami-20121028.csv,4,Oscar Galindez,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-miami-20121028.csv,5,Zach Ruble,---,IN,USA,00:26:25,---,---,00:01:52,---,DNF
ironman-70.3-miami-20121028.csv,6,Luke Mckenzie,---,---,AUS,---,---,---,---,---,DNS
ironman-70.3-miami-20121028.csv,7,Massimo Cigana,---,---,ITA,00:26:44,02:03:56,01:13:27,00:01:53,00:01:11,03:47:11
ironman-70.3-miami-20121028.csv,8,Brandon Jessop,37,CO,USA,---,---,---,---,---,DNS
ironman-70.3-miami-20121028.csv,9,Swen Sundberg,42,DE,DEU,---,---,---,---,---,DNS
ironman-70.3-miami-20121028.csv,10,Olly Piggin,40,BC,CAN,---,---,---,---,---,DNS
ironman-70.3-miami-20121028.csv,11,Lewis Elliot,36,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-miami-20121028.csv,12,Horst Reichel,---,---,DEU,00:23:37,02:03:55,01:13:46,00:01:53,00:01:03,03:44:14
ironman-70.3-miami-20121028.csv,13,Dorian Wagner,---,---,DEU,00:23:40,02:48:49,---,00:01:52,---,DNF
ironman-70.3-miami-20121028.csv,14,Felipe Guedes,---,---,BRA,00:25:55,02:16:29,01:35:02,00:01:43,00:01:31,04:20:40
ironman-70.3-miami-20121028.csv,15,David Bardi,---,---,FRA,00:26:21,02:08:22,01:24:02,00:01:51,00:01:17,04:01:53
ironman-70.3-miami-20121028.csv,16,Jean Francois Perron,---,QC,CAN,---,---,---,---,---,DNS
ironman-70.3-miami-20121028.csv,17,Nikolaus Wihlidal,---,---,AUT,---,---,---,---,---,DNS
