#File=ironman-70.3-miami-20131027.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-miami-20131027.csv,1,Terenzo Bozzone,28,AUK,---,00:24:09,02:03:33,01:11:16,00:01:35,00:00:44,03:41:17
ironman-70.3-miami-20131027.csv,2,Matt Reed,37,CA,USA,00:24:02,02:05:22,01:23:46,00:01:34,00:00:42,03:55:26
ironman-70.3-miami-20131027.csv,3,Luke Mckenzie,32,QLD,AUS,---,---,---,---,---,DNS
ironman-70.3-miami-20131027.csv,4,Ben Hoffman,30,CO,USA,---,---,---,---,---,DNS
ironman-70.3-miami-20131027.csv,5,Viktor Zyemtsev,40,FL,UKR,---,---,---,---,---,DNS
ironman-70.3-miami-20131027.csv,6,Kevin Collington,29,FL,USA,---,---,---,---,---,DNS
ironman-70.3-miami-20131027.csv,7,Manuel Huerta,29,PR,---,---,---,---,---,---,DNS
ironman-70.3-miami-20131027.csv,8,Ludovic Le Guellec,31,---,FRA,00:31:14,02:22:19,01:31:35,00:02:03,00:00:55,04:28:06
ironman-70.3-miami-20131027.csv,9,Jonathan Alzate Ramirez,25,valle del cauca,COL,00:26:54,---,---,00:01:38,---,DNF
ironman-70.3-miami-20131027.csv,10,Andres Castillo Latorre,31,---,COL,---,---,---,---,---,DNS
ironman-70.3-miami-20131027.csv,11,Trevor Delsaut,28,---,FRA,---,---,---,---,---,DNS
ironman-70.3-miami-20131027.csv,12,Guilherme Manocchio,31,Intl State,BRA,00:24:22,02:08:21,01:17:32,00:01:50,00:01:10,03:53:15
ironman-70.3-miami-20131027.csv,13,Rinalds Sluckis,32,---,LVA,---,---,---,---,---,DQ
ironman-70.3-miami-20131027.csv,14,Arturo Garza,36,Estado de Mexico,MEX,00:24:13,02:05:07,01:20:09,00:01:40,00:00:58,03:52:07
ironman-70.3-miami-20131027.csv,15,Simone Calamai,---,---,ITA,00:30:45,02:18:37,01:28:39,00:01:55,00:01:01,04:20:57
