#File=ironman-70.3-mont-tremblant-20130623.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-mont-tremblant-20130623.csv,1,Romain Guillaume,28,---,FRA,00:24:31,02:09:48,01:18:15,00:02:36,00:00:48,03:55:58
ironman-70.3-mont-tremblant-20130623.csv,2,Terenzo Bozzone,28,AUK,NZL,00:24:21,02:10:56,01:14:34,00:02:34,00:00:47,03:53:12
ironman-70.3-mont-tremblant-20130623.csv,3,Brent Mcmahon,32,BC,CAN,00:24:19,02:10:57,01:15:22,00:02:35,00:00:44,03:53:57
ironman-70.3-mont-tremblant-20130623.csv,4,Trevor Wurtele,34,BC,CAN,00:26:19,02:13:38,01:13:52,00:02:51,00:00:55,03:57:35
ironman-70.3-mont-tremblant-20130623.csv,5,Patrick Evoe,36,CO,USA,00:28:05,02:18:18,01:22:26,00:03:17,00:00:50,04:12:56
ironman-70.3-mont-tremblant-20130623.csv,6,Leon Griffin,32,CO,AUS,00:26:16,02:18:10,01:17:44,00:02:42,00:00:57,04:05:49
ironman-70.3-mont-tremblant-20130623.csv,7,Stephen Kilshaw,28,BC,CAN,00:28:00,02:25:34,---,00:03:40,00:01:02,DNF
ironman-70.3-mont-tremblant-20130623.csv,8,Martin Jensen,29,Other,DNK,00:24:26,02:12:58,01:17:09,00:02:49,00:01:06,03:58:28
ironman-70.3-mont-tremblant-20130623.csv,9,Ryan Cain,32,ON,CAN,00:28:05,02:20:31,01:18:29,00:03:20,00:00:55,04:11:20
ironman-70.3-mont-tremblant-20130623.csv,10,Christopher Baird,24,CA,USA,00:29:09,02:18:08,01:13:46,00:02:50,00:00:58,04:04:51
ironman-70.3-mont-tremblant-20130623.csv,11,Sean Bechtel,29,ON,CAN,00:24:29,02:10:46,01:20:17,00:02:49,00:00:47,03:59:08
ironman-70.3-mont-tremblant-20130623.csv,12,Ethan Brown,28,MA,USA,---,---,---,---,---,DNS
ironman-70.3-mont-tremblant-20130623.csv,13,Grant Burwash,27,AB,CAN,00:26:14,02:23:24,01:16:53,00:02:44,00:00:51,04:10:06
ironman-70.3-mont-tremblant-20130623.csv,14,Chris Bagg,34,OR,USA,00:26:20,02:17:59,01:21:23,00:02:52,00:00:57,04:09:31
ironman-70.3-mont-tremblant-20130623.csv,15,Tom Davison,23,CAN,NZL,00:24:25,02:10:43,01:25:59,00:02:47,00:00:45,04:04:39
ironman-70.3-mont-tremblant-20130623.csv,16,Adam Jones,30,QC,CAN,00:30:46,02:29:03,01:26:11,00:03:22,00:01:17,04:30:39
