#ironman-70.3-mont-tremblant-20160626.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-mont-tremblant-20160626.csv,1,Lionel Sanders,28,ON,CAN,00:26:17,02:02:29,01:15:06,00:02:42,00:00:57,03:47:31
ironman-70.3-mont-tremblant-20160626.csv,2,Taylor Reid,25,ON,CAN,00:24:58,02:10:55,01:20:32,00:02:46,00:00:56,04:00:07
ironman-70.3-mont-tremblant-20160626.csv,5,Cody Beals,26,ON,CAN,00:25:03,02:08:54,01:19:59,00:02:48,00:00:49,03:57:33
ironman-70.3-mont-tremblant-20160626.csv,6,Paul Matthews,33,CO,AUS,00:23:04,02:14:54,01:20:11,00:02:41,00:00:52,04:01:42
ironman-70.3-mont-tremblant-20160626.csv,7,Tj Tollakson,36,IA,USA,00:23:09,02:10:04,---,00:03:29,00:01:22,DNF
ironman-70.3-mont-tremblant-20160626.csv,8,Trevor Wurtele,37,BC,CAN,00:24:58,02:08:26,01:15:24,00:02:47,00:00:49,03:52:24
ironman-70.3-mont-tremblant-20160626.csv,11,Chris Leiferman,30,CO,USA,00:25:00,02:07:12,01:17:33,00:02:48,00:00:52,03:53:25
ironman-70.3-mont-tremblant-20160626.csv,12,Jarrod Shoemaker,34,FL,USA,00:23:00,02:19:35,01:17:46,00:02:47,00:00:54,04:04:02
ironman-70.3-mont-tremblant-20160626.csv,13,Ian Boggs,24,IN,USA,00:26:34,---,---,00:04:03,---,DNF
ironman-70.3-mont-tremblant-20160626.csv,14,Andrew Bolton,24,ON,CAN,00:26:56,02:26:18,01:54:30,00:03:03,00:01:10,04:51:57
ironman-70.3-mont-tremblant-20160626.csv,15,Barrett Brandon,34,TX,USA,00:22:57,---,---,00:03:03,---,DNF
ironman-70.3-mont-tremblant-20160626.csv,16,Sacha Cavelier,27,QC,CAN,00:27:36,02:23:28,01:34:58,00:03:37,00:01:06,04:30:45
ironman-70.3-mont-tremblant-20160626.csv,17,Timothy Clarke,33,NY,USA,---,---,---,---,---,DQ
ironman-70.3-mont-tremblant-20160626.csv,18,Matthew Curbeau,30,MA,USA,00:28:16,02:15:24,01:30:19,00:03:15,00:01:08,04:18:22
