#File=ironman-70.3-monterrey-20160320.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-monterrey-20160320.csv,1,Tim Don,38,Intl State,GBR,00:22:49,02:04:37,01:12:46,00:01:30,00:01:11,03:42:53
ironman-70.3-monterrey-20160320.csv,2,Francisco Serrano,35,Intl State,MEX,00:24:10,02:07:04,01:15:34,00:01:21,00:01:22,03:49:31
ironman-70.3-monterrey-20160320.csv,3,Richie Cunningham,42,CO,AUS,00:23:51,02:06:26,01:16:34,00:01:25,00:01:11,03:49:27
ironman-70.3-monterrey-20160320.csv,4,Ben Hoffman,32,CO,USA,00:24:08,02:03:26,01:16:13,00:01:28,00:01:12,03:46:27
ironman-70.3-monterrey-20160320.csv,5,Trevor Wurtele,36,BC,CAN,00:24:13,02:03:22,01:13:46,00:01:26,00:01:06,03:43:53
ironman-70.3-monterrey-20160320.csv,6,Chris Mcdonald,37,CO,AUS,00:25:36,02:11:59,01:17:46,00:01:37,00:01:21,03:58:19
ironman-70.3-monterrey-20160320.csv,7,Matt Chrabot,32,CO,USA,00:22:32,02:04:57,01:14:25,00:01:29,00:01:14,03:44:37
ironman-70.3-monterrey-20160320.csv,9,Cody Beals,26,ON,CAN,00:24:41,02:07:22,01:14:04,00:01:35,00:01:08,03:48:50
ironman-70.3-monterrey-20160320.csv,10,Drew Scott,25,CO,USA,00:22:54,02:04:27,01:20:54,00:01:42,00:01:17,03:51:14
ironman-70.3-monterrey-20160320.csv,11,Sylvain Sudrie,34,---,FRA,00:22:36,02:04:26,01:15:03,00:01:35,00:01:11,03:44:51
ironman-70.3-monterrey-20160320.csv,12,Robbie Wade,33,CO,IRL,00:24:38,02:11:51,01:20:48,00:01:26,00:01:25,04:00:08
ironman-70.3-monterrey-20160320.csv,14,Alan Michael Carrillo,22,Intl State,MEX,00:26:35,02:17:59,01:20:39,00:01:35,00:01:28,04:08:16
ironman-70.3-monterrey-20160320.csv,15,Alistair Eeckman,21,CA,USA,00:26:31,02:19:17,01:21:23,00:02:02,00:01:23,04:10:36
ironman-70.3-monterrey-20160320.csv,16,Ernesto Fernandez,28,Intl State,PAN,00:29:08,02:29:13,01:38:24,00:01:58,00:01:43,04:40:26
ironman-70.3-monterrey-20160320.csv,17,Arturo Garza,38,Estado de Mexico,MEX,00:23:54,02:10:08,01:19:17,00:01:33,00:01:07,03:55:59
ironman-70.3-monterrey-20160320.csv,18,Tim Hancock,32,FL,GBR,00:26:39,02:18:48,01:22:40,00:02:21,00:01:19,04:11:47
ironman-70.3-monterrey-20160320.csv,19,Stuart Hayes,36,---,GBR,00:22:53,02:07:28,01:23:25,00:01:24,00:01:29,03:56:39
ironman-70.3-monterrey-20160320.csv,21,Raul Tejada,27,GTM,GTM,00:24:38,02:09:13,01:13:52,00:01:45,00:01:10,03:50:38
ironman-70.3-monterrey-20160320.csv,23,Kevin Collington,31,FL,USA,00:22:47,02:05:05,01:17:20,00:01:26,00:01:10,03:47:48
ironman-70.3-monterrey-20160320.csv,24,Vinicio Ibarra,24,Intl State,MEX,00:22:50,02:14:04,01:18:27,00:01:24,00:01:26,03:58:11
ironman-70.3-monterrey-20160320.csv,25,Rodrigo Acevedo,30,CO,COL,00:26:32,02:08:03,---,00:01:29,00:01:19,DNF
ironman-70.3-monterrey-20160320.csv,26,Magali Tisseyre,34,QC,CAN,---,---,---,---,---,DNS
