#File=ironman-70.3-muncie-20150711.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-muncie-20150711.csv,1,Nina Kraft,46,FL,DEU,00:28:23,02:36:29,01:30:43,00:02:27,00:01:55,04:39:57
ironman-70.3-muncie-20150711.csv,11,Mary Callahan,20,IL,USA,00:41:19,03:37:22,01:36:26,00:05:17,00:03:21,06:03:45
ironman-70.3-muncie-20150711.csv,12,Mike Wong,32,IL,USA,00:52:28,02:46:53,01:45:47,00:04:12,00:02:52,05:32:12
ironman-70.3-muncie-20150711.csv,13,Jean Draper,42,IL,USA,00:49:18,03:03:43,02:22:10,00:05:02,00:05:02,06:25:15
ironman-70.3-muncie-20150711.csv,16,Laura Sophiea,59,GA,USA,00:33:48,02:29:33,01:48:38,00:03:15,00:01:40,04:56:54
ironman-70.3-muncie-20150711.csv,17,Cathy Tibbetts,60,NM,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,18,Steven Maves,55,IN,USA,00:33:48,02:27:26,01:28:32,00:03:19,00:01:46,04:34:51
ironman-70.3-muncie-20150711.csv,19,Gerald Steinhoff,61,IN,USA,00:40:55,02:32:20,01:51:19,00:03:37,00:02:45,05:10:56
ironman-70.3-muncie-20150711.csv,20,Robert Taylor,53,SC,USA,00:35:36,02:26:29,01:36:46,00:03:16,00:02:13,04:44:20
ironman-70.3-muncie-20150711.csv,21,Gene Crusie,45,IN,USA,00:31:06,02:40:05,02:04:45,00:03:09,00:01:49,05:20:54
ironman-70.3-muncie-20150711.csv,22,Duncan Seay,49,CA,NZL,00:38:44,02:51:04,01:36:33,00:03:54,00:05:51,05:16:06
ironman-70.3-muncie-20150711.csv,23,Todd Shellenberger,48,IN,USA,00:28:04,02:16:58,01:37:51,00:03:07,00:01:18,04:27:18
ironman-70.3-muncie-20150711.csv,24,Brian Stern,48,OH,USA,00:35:04,02:28:12,01:26:38,00:03:14,00:01:37,04:34:45
ironman-70.3-muncie-20150711.csv,25,James Stromberg,44,MI,USA,00:30:35,02:22:48,01:45:08,00:02:56,00:02:11,04:43:38
ironman-70.3-muncie-20150711.csv,26,Cathleen Bethea,44,IA,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,27,Miriam Cole,47,IL,USA,00:38:36,02:25:02,01:43:22,00:03:27,00:02:05,04:52:32
ironman-70.3-muncie-20150711.csv,28,Kimberly Tabor,47,FL,USA,00:49:05,02:38:59,01:59:37,00:03:38,00:03:06,05:34:25
ironman-70.3-muncie-20150711.csv,29,Jim Bethea,42,IA,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,30,Tim Davis,44,FL,USA,00:32:01,02:24:02,01:47:28,00:02:48,00:01:48,04:48:07
ironman-70.3-muncie-20150711.csv,31,Bill Kessler,41,IN,USA,00:34:10,02:25:11,01:29:54,00:02:26,00:01:43,04:33:24
ironman-70.3-muncie-20150711.csv,32,Chris Martin,43,KY,USA,00:28:55,02:19:04,01:32:14,00:03:05,00:01:42,04:25:00
ironman-70.3-muncie-20150711.csv,33,Blaine Reed,43,IL,USA,00:39:19,02:35:11,01:37:55,00:03:23,00:02:24,04:58:12
ironman-70.3-muncie-20150711.csv,34,Lars Mayer,38,---,DEU,00:32:00,---,---,00:02:59,---,DNF
ironman-70.3-muncie-20150711.csv,35,Jd Thalman,37,OH,USA,00:31:27,02:21:04,01:36:11,00:03:36,00:01:43,04:34:01
ironman-70.3-muncie-20150711.csv,36,Jorge Urrutia,35,NY,ESP,00:36:53,02:35:26,01:48:44,00:03:58,00:02:03,05:07:04
ironman-70.3-muncie-20150711.csv,37,Amanda Wendorff,35,CO,USA,00:28:51,02:17:25,---,00:02:31,00:01:28,DNF
ironman-70.3-muncie-20150711.csv,38,Kelly Yeomans,35,WI,USA,00:37:48,02:27:28,01:42:03,00:03:13,00:01:59,04:52:31
ironman-70.3-muncie-20150711.csv,39,Ryan Giuliano,30,IL,USA,00:29:28,02:08:29,01:17:07,00:02:12,00:01:18,03:58:34
ironman-70.3-muncie-20150711.csv,40,Brandon Ordway,33,MN,USA,00:30:30,02:20:55,01:22:53,00:02:24,00:01:46,04:18:28
ironman-70.3-muncie-20150711.csv,41,Cole Walton,32,TX,USA,00:38:22,02:23:30,01:46:28,00:02:57,00:02:45,04:54:02
ironman-70.3-muncie-20150711.csv,42,Meghan Faulkenberry,27,WA,USA,00:31:23,02:26:16,01:32:29,00:02:44,00:01:19,04:34:11
ironman-70.3-muncie-20150711.csv,43,Jacqui Giuliano,29,IL,USA,00:36:27,02:31:02,01:26:00,00:02:53,00:01:33,04:37:55
ironman-70.3-muncie-20150711.csv,44,Carly Guggemos,24,MI,USA,00:31:20,02:35:51,01:55:00,00:03:03,00:01:58,05:07:12
ironman-70.3-muncie-20150711.csv,45,Jennifer Hayes,32,IL,USA,00:36:20,02:48:13,01:46:21,00:03:05,00:02:49,05:16:48
ironman-70.3-muncie-20150711.csv,46,Michael Chronert,21,FL,USA,00:29:22,02:16:49,01:30:28,00:03:45,00:02:28,04:22:52
ironman-70.3-muncie-20150711.csv,47,Michael Vulanich,29,CA,USA,00:31:41,02:13:23,01:19:42,00:02:57,00:01:59,04:09:42
ironman-70.3-muncie-20150711.csv,48,Kevin Fitzgerald,56,NC,USA,00:35:47,02:25:19,01:27:53,00:03:49,00:01:37,04:34:25
ironman-70.3-muncie-20150711.csv,49,Steve Oehrle,55,IN,USA,00:38:38,02:26:58,01:41:07,00:03:42,00:02:34,04:52:59
ironman-70.3-muncie-20150711.csv,50,Pablo Piquerez-Caviglia,58,GA,USA,00:33:41,02:45:26,02:12:32,00:03:57,00:02:34,05:38:10
ironman-70.3-muncie-20150711.csv,51,Monte Hitchcock,65,IN,USA,00:35:48,02:46:44,01:54:28,00:03:35,00:02:46,05:23:21
ironman-70.3-muncie-20150711.csv,52,Mount Davis,71,KY,USA,00:40:47,02:47:44,02:41:12,00:05:06,00:03:45,06:18:34
ironman-70.3-muncie-20150711.csv,53,George Hudson,72,MI,USA,00:45:42,02:43:03,02:12:54,00:06:03,00:04:25,05:52:07
ironman-70.3-muncie-20150711.csv,54,Julie Bedford,49,MI,USA,00:37:26,02:38:27,01:52:05,00:03:52,00:02:23,05:14:13
ironman-70.3-muncie-20150711.csv,55,Lisa Martin,52,MI,USA,00:38:37,02:41:28,01:54:20,00:03:38,00:02:12,05:20:15
ironman-70.3-muncie-20150711.csv,56,Kim Michael-Lee,51,IL,USA,00:36:40,02:39:52,01:59:24,00:03:15,00:01:53,05:21:04
ironman-70.3-muncie-20150711.csv,57,Robin Ringenary,50,KY,USA,00:38:10,02:35:52,01:57:18,00:03:01,00:02:38,05:16:59
ironman-70.3-muncie-20150711.csv,58,John Aker,50,IN,USA,00:37:47,02:35:46,02:03:05,00:03:14,00:02:17,05:22:09
ironman-70.3-muncie-20150711.csv,59,Greg Alverson,53,OH,USA,00:32:44,02:32:46,01:48:23,00:03:34,00:01:58,04:59:25
ironman-70.3-muncie-20150711.csv,60,Brad Applegate,52,IN,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,61,Cole Casey,49,OH,USA,00:37:44,02:39:37,02:09:33,00:05:12,00:03:48,05:35:54
ironman-70.3-muncie-20150711.csv,62,John Hurbis,51,MI,USA,00:34:51,02:48:11,02:30:01,00:04:00,00:03:25,06:00:28
ironman-70.3-muncie-20150711.csv,63,Paul Lafontaine,49,MI,USA,00:32:57,02:33:08,01:44:17,00:03:21,00:02:07,04:55:50
ironman-70.3-muncie-20150711.csv,64,Garry Mestel,52,IN,USA,00:34:13,02:51:47,01:47:13,00:03:15,00:04:06,05:20:34
ironman-70.3-muncie-20150711.csv,65,Frank Picchione,51,NY,USA,00:39:58,02:35:35,01:41:44,00:02:54,00:02:35,05:02:46
ironman-70.3-muncie-20150711.csv,66,Scott Slaughter,52,WI,USA,00:38:51,02:43:24,01:57:02,00:04:00,00:02:01,05:25:18
ironman-70.3-muncie-20150711.csv,67,Brian Condron,45,IL,USA,00:31:15,02:37:21,01:46:44,00:03:02,00:02:00,05:00:22
ironman-70.3-muncie-20150711.csv,68,James Gassenheimer,48,FL,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,69,Joseph Kaiser,48,MI,USA,00:38:37,02:29:20,01:33:25,00:03:04,00:03:00,04:47:26
ironman-70.3-muncie-20150711.csv,70,Ken Koontz,48,GA,USA,00:30:33,02:31:05,01:48:08,00:03:29,00:02:23,04:55:38
ironman-70.3-muncie-20150711.csv,71,Brett Porter,46,IL,USA,00:30:49,02:25:16,01:42:05,00:03:36,00:02:06,04:43:52
ironman-70.3-muncie-20150711.csv,72,Phil Smeigh,48,IN,USA,00:31:20,02:30:41,01:53:59,00:03:44,00:03:28,05:03:12
ironman-70.3-muncie-20150711.csv,73,Daniel Trujillo,45,AR,ARG,00:41:29,02:36:36,01:36:05,00:03:16,00:01:18,04:58:44
ironman-70.3-muncie-20150711.csv,74,Marc Young,47,KY,USA,00:28:52,02:33:51,01:52:53,00:03:18,00:03:50,05:02:44
ironman-70.3-muncie-20150711.csv,75,Kristen David,47,IL,USA,00:43:32,02:52:17,02:24:14,00:04:47,00:04:55,06:09:45
ironman-70.3-muncie-20150711.csv,76,Diane Peterson,47,IL,USA,00:36:58,02:37:27,01:46:24,00:03:34,00:02:16,05:06:39
ironman-70.3-muncie-20150711.csv,77,Tanya Philp,45,ON,CAN,00:34:29,02:29:13,01:42:52,00:03:48,00:02:29,04:52:51
ironman-70.3-muncie-20150711.csv,78,Jason Dale,42,TN,USA,00:41:33,03:02:41,02:29:51,00:04:08,00:03:24,06:21:37
ironman-70.3-muncie-20150711.csv,79,Jason Kilborn,43,IL,USA,00:37:38,02:34:42,01:48:30,00:03:59,00:01:42,05:06:31
ironman-70.3-muncie-20150711.csv,80,Douglas Kimes,40,CO,USA,00:43:07,02:30:22,01:54:53,00:04:05,00:02:15,05:14:42
ironman-70.3-muncie-20150711.csv,81,Robert Maar,42,IN,USA,00:35:07,02:27:55,02:05:04,00:02:58,00:02:26,05:13:30
ironman-70.3-muncie-20150711.csv,82,Mark Maclachlan,42,GA,USA,00:32:20,02:12:39,---,00:03:52,00:01:29,DNF
ironman-70.3-muncie-20150711.csv,83,Jonas Mccluskey,42,MI,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,84,Al Modglin,41,GA,USA,00:35:35,02:31:32,02:17:49,00:03:11,00:01:22,05:29:29
ironman-70.3-muncie-20150711.csv,85,Diego Pasqualini,44,BO,ITA,00:38:22,02:38:59,01:49:34,00:03:05,00:02:17,05:12:17
ironman-70.3-muncie-20150711.csv,86,Michael Reimann,43,IL,USA,00:33:27,02:44:54,02:00:39,00:03:25,00:02:57,05:25:22
ironman-70.3-muncie-20150711.csv,87,Vaughn Rightley,44,IN,USA,00:32:35,02:23:19,01:29:42,00:02:51,00:02:42,04:31:09
ironman-70.3-muncie-20150711.csv,88,Michael Ross,43,KY,USA,00:32:04,02:20:59,01:33:47,00:03:05,00:01:47,04:31:42
ironman-70.3-muncie-20150711.csv,89,Rich Vollmer,41,KY,USA,00:37:25,02:38:04,01:51:20,00:03:21,00:02:53,05:13:03
ironman-70.3-muncie-20150711.csv,90,Matthew Wade,43,IL,USA,00:35:10,02:20:16,01:47:49,00:04:17,00:02:14,04:49:46
ironman-70.3-muncie-20150711.csv,91,Deric Wheeler,43,WI,USA,00:34:14,02:34:34,02:14:06,00:04:53,00:03:03,05:30:50
ironman-70.3-muncie-20150711.csv,92,Mike Wolfgram,40,WI,USA,00:32:32,02:15:57,01:40:37,00:02:28,00:02:34,04:34:08
ironman-70.3-muncie-20150711.csv,93,Kurt Woodward,41,IL,USA,00:35:28,02:24:38,01:47:51,00:03:12,00:02:22,04:53:31
ironman-70.3-muncie-20150711.csv,94,Sarah Borell,43,NY,USA,00:30:43,02:35:28,01:48:43,00:03:31,00:04:01,05:02:26
ironman-70.3-muncie-20150711.csv,95,Angie Carpenter,40,OH,USA,00:37:31,02:43:26,02:07:47,00:03:36,00:03:11,05:35:31
ironman-70.3-muncie-20150711.csv,96,Shawna Eikenberry,41,IN,USA,00:31:58,02:36:24,02:02:33,00:04:47,00:02:39,05:18:21
ironman-70.3-muncie-20150711.csv,97,Kelly Phuah,42,IL,AUS,00:31:40,02:31:50,01:37:27,00:02:31,00:01:24,04:44:52
ironman-70.3-muncie-20150711.csv,98,Stacy Sims,41,GA,USA,00:34:09,02:41:42,02:01:35,00:03:10,00:01:25,05:22:01
ironman-70.3-muncie-20150711.csv,99,Michael Baldinger,39,IL,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,100,Chris Cooper,36,MO,USA,00:37:24,02:16:15,02:03:15,00:03:31,00:02:13,05:02:38
ironman-70.3-muncie-20150711.csv,101,Timothy Hinton,38,TN,USA,00:31:42,02:24:04,01:36:58,00:02:53,00:01:57,04:37:34
ironman-70.3-muncie-20150711.csv,102,Billie Jamison,35,IN,USA,00:29:50,02:20:12,01:47:28,00:02:41,00:01:56,04:42:07
ironman-70.3-muncie-20150711.csv,103,Adam Leed,38,PA,USA,00:32:08,02:27:17,01:45:39,00:02:56,00:02:10,04:50:10
ironman-70.3-muncie-20150711.csv,104,William Olson,38,MI,USA,00:32:20,02:22:13,01:38:40,00:02:49,00:01:59,04:38:01
ironman-70.3-muncie-20150711.csv,105,Timothy Reimink,35,FL,USA,00:33:56,02:16:09,01:22:15,00:02:18,00:01:56,04:16:34
ironman-70.3-muncie-20150711.csv,106,Aaron Rhame,38,IN,USA,00:37:27,02:27:42,01:47:08,00:03:32,00:01:49,04:57:38
ironman-70.3-muncie-20150711.csv,107,Jessica Roeschel,35,TX,USA,00:45:04,02:43:52,01:48:24,00:04:31,00:03:45,05:25:36
ironman-70.3-muncie-20150711.csv,108,Lisa Tecklenburg,34,OH,USA,00:37:40,02:29:23,01:40:25,00:03:30,00:02:15,04:53:13
ironman-70.3-muncie-20150711.csv,109,David Abel,30,AL,USA,---,---,---,---,---,DQ
ironman-70.3-muncie-20150711.csv,110,John Atchison,30,IL,USA,00:38:01,02:46:07,01:47:14,00:02:48,00:01:55,05:16:05
ironman-70.3-muncie-20150711.csv,111,Jeff Baker,34,MO,USA,00:33:52,02:21:11,01:38:08,00:02:49,00:01:48,04:37:48
ironman-70.3-muncie-20150711.csv,112,Carter Bower,29,PA,USA,00:26:02,02:27:01,01:35:16,00:03:12,00:02:11,04:33:42
ironman-70.3-muncie-20150711.csv,113,Jeff Dill,32,PA,USA,00:25:06,02:24:17,01:51:26,00:03:28,00:01:59,04:46:16
ironman-70.3-muncie-20150711.csv,114,Alfonso George,29,FL,USA,00:39:41,02:34:48,01:36:18,00:03:42,00:02:35,04:57:04
ironman-70.3-muncie-20150711.csv,115,Ulric Huang,34,IL,USA,00:39:55,02:30:24,01:41:01,00:04:08,00:03:35,04:59:03
ironman-70.3-muncie-20150711.csv,116,Todd Koleszar,33,TX,USA,00:34:54,02:30:31,01:54:57,00:04:10,00:03:26,05:07:58
ironman-70.3-muncie-20150711.csv,117,Matthew Saba,30,IN,USA,00:33:49,02:20:19,01:44:30,00:02:43,00:01:23,04:42:44
ironman-70.3-muncie-20150711.csv,118,Jerry Sancinito,33,MA,USA,00:32:12,02:26:10,01:41:32,00:03:23,00:01:45,04:45:02
ironman-70.3-muncie-20150711.csv,119,Andi Cribari,22,OH,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,120,Kimberly Gabriel,22,FL,USA,00:30:08,03:00:00,01:52:35,00:04:01,00:02:06,05:28:50
ironman-70.3-muncie-20150711.csv,121,Calley Bridges,25,OH,USA,00:31:58,02:42:01,01:48:18,00:03:12,00:02:25,05:07:54
ironman-70.3-muncie-20150711.csv,122,Megan Brunn,26,OH,USA,00:28:21,02:34:02,---,00:03:58,00:06:48,DNF
ironman-70.3-muncie-20150711.csv,123,Cara Gaines,32,KY,USA,00:33:32,02:25:59,01:33:22,00:02:34,00:01:42,04:37:09
ironman-70.3-muncie-20150711.csv,124,Kimberly Humphries,31,TN,USA,00:33:15,02:41:52,01:49:58,00:03:29,00:02:16,05:10:50
ironman-70.3-muncie-20150711.csv,125,Alexander Heinz,27,OH,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,126,Ryan Hunt,29,MI,USA,00:34:30,02:18:12,01:34:27,00:02:53,00:01:56,04:31:58
ironman-70.3-muncie-20150711.csv,127,Michael Suer,28,IN,USA,00:29:09,02:25:56,01:34:07,00:03:10,00:01:47,04:34:09
ironman-70.3-muncie-20150711.csv,128,Wanda Karia,61,KY,USA,00:38:34,02:51:53,02:36:54,00:03:32,00:04:03,06:14:56
ironman-70.3-muncie-20150711.csv,129,Sandra Jackson,68,MI,USA,00:43:19,03:11:16,02:46:00,00:04:13,00:05:02,06:49:50
ironman-70.3-muncie-20150711.csv,130,Ed Breda,55,IL,USA,00:31:22,02:34:58,01:43:25,00:03:03,00:02:03,04:54:51
ironman-70.3-muncie-20150711.csv,131,Blake Briggs,56,IN,USA,00:38:47,02:39:09,01:36:38,00:02:30,00:01:47,04:58:51
ironman-70.3-muncie-20150711.csv,132,Barry Faust,58,PA,USA,00:39:30,03:09:11,02:42:01,00:04:23,00:03:15,06:38:20
ironman-70.3-muncie-20150711.csv,133,Kyle Lanham,58,IN,USA,00:38:27,03:00:51,02:36:11,00:06:47,00:12:25,06:34:41
ironman-70.3-muncie-20150711.csv,134,Ross Sexter,56,IN,USA,00:37:27,02:42:27,02:42:59,00:05:58,00:03:20,06:12:11
ironman-70.3-muncie-20150711.csv,135,Douglas Stadel,55,MI,USA,00:45:03,03:34:36,02:22:27,00:06:09,00:05:30,06:53:45
ironman-70.3-muncie-20150711.csv,136,Mark Sturwold,59,IL,USA,00:39:00,02:58:01,02:24:56,00:06:28,00:04:40,06:13:05
ironman-70.3-muncie-20150711.csv,137,Dan Ward,54,IA,USA,00:41:36,02:41:10,02:27:52,00:04:45,00:03:07,05:58:30
ironman-70.3-muncie-20150711.csv,138,Robert Welsh,55,OH,USA,00:45:39,02:41:47,02:06:08,00:06:52,00:03:22,05:43:48
ironman-70.3-muncie-20150711.csv,139,Sam Boyd,62,TN,USA,00:39:16,02:43:24,02:00:52,00:05:57,00:05:26,05:34:55
ironman-70.3-muncie-20150711.csv,140,David Westerholm,66,IL,USA,00:51:54,03:14:59,02:30:45,00:07:35,00:08:53,06:54:06
ironman-70.3-muncie-20150711.csv,141,Beth Goldsmith,51,IN,USA,00:37:39,02:55:45,02:33:34,00:04:51,00:06:00,06:17:49
ironman-70.3-muncie-20150711.csv,142,Kendra Hitchcock,53,IN,USA,00:38:26,03:01:45,02:21:31,00:04:27,00:04:15,06:10:24
ironman-70.3-muncie-20150711.csv,143,Doug Elliott,52,---,USA,00:40:30,02:36:12,01:58:44,00:05:41,00:03:23,05:24:30
ironman-70.3-muncie-20150711.csv,144,Sean Mcgrory,54,OH,USA,00:41:12,02:30:32,02:00:20,00:05:24,00:04:53,05:22:21
ironman-70.3-muncie-20150711.csv,145,Bryan Rowe,51,WA,USA,00:32:05,02:37:06,01:42:04,00:03:38,00:02:53,04:57:46
ironman-70.3-muncie-20150711.csv,146,John Sakelaris,50,IN,USA,00:33:12,02:30:31,01:41:29,00:03:08,00:01:49,04:50:09
ironman-70.3-muncie-20150711.csv,147,Steve Sherling,52,KY,USA,00:36:09,02:44:52,01:47:45,00:03:35,00:03:04,05:15:25
ironman-70.3-muncie-20150711.csv,148,Bob Smith,49,MI,USA,00:37:54,02:34:51,02:33:38,00:04:59,00:04:19,05:55:41
ironman-70.3-muncie-20150711.csv,149,John Torhan,51,PA,USA,00:40:09,02:31:28,02:20:32,00:03:54,00:03:23,05:39:26
ironman-70.3-muncie-20150711.csv,150,John Crawley,46,IN,USA,00:37:29,02:32:23,01:55:11,00:03:18,00:02:51,05:11:12
ironman-70.3-muncie-20150711.csv,151,Brian Green,46,OH,USA,00:36:44,02:33:32,01:42:24,00:04:04,00:03:24,05:00:08
ironman-70.3-muncie-20150711.csv,152,Rick Lukin,47,OH,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,153,Antonio Navarro,44,IN,ESP,00:30:25,02:39:07,01:41:53,00:02:51,00:03:14,04:57:30
ironman-70.3-muncie-20150711.csv,154,Jay Priest,49,IN,USA,00:37:59,02:30:09,01:42:10,00:03:27,00:02:09,04:55:54
ironman-70.3-muncie-20150711.csv,155,Tim Thompson,47,IL,USA,00:36:28,02:29:26,01:37:41,00:03:45,00:01:38,04:48:58
ironman-70.3-muncie-20150711.csv,156,Beau Bokelman,41,CO,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,157,Keith Borkowicz,44,IL,USA,00:42:45,02:44:07,02:01:21,00:05:11,00:05:20,05:38:44
ironman-70.3-muncie-20150711.csv,158,Tom Carpenter,43,IN,USA,00:34:05,02:40:10,02:01:14,00:03:47,00:02:28,05:21:44
ironman-70.3-muncie-20150711.csv,159,Hyrum Laturner,42,IN,USA,00:34:39,02:17:34,01:44:20,00:03:00,00:01:53,04:41:26
ironman-70.3-muncie-20150711.csv,160,Jason Mcdaniels,41,IN,USA,00:38:23,02:36:41,01:36:36,00:04:26,00:02:20,04:58:26
ironman-70.3-muncie-20150711.csv,161,Eric Mckelvey,41,OH,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,162,Brian Pautsch,39,IL,USA,---,---,---,---,---,DNS
ironman-70.3-muncie-20150711.csv,163,Michael Schumacher,42,IN,USA,00:42:29,02:30:38,01:53:10,00:03:57,00:02:59,05:13:13
ironman-70.3-muncie-20150711.csv,164,Jon Smail,44,IL,USA,00:39:20,02:30:59,02:16:15,00:04:11,00:02:40,05:33:25
ironman-70.3-muncie-20150711.csv,165,Mark Stagge,41,IN,USA,00:30:26,02:31:38,01:36:57,00:03:22,00:02:05,04:44:28
