#ironman-70.3-muskoka-20140907.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-muskoka-20140907.csv,1,Chris Balestrini,24,ON,CAN,00:31:19,02:36:34,01:22:23,00:03:01,00:00:38,04:33:55
ironman-70.3-muskoka-20140907.csv,2,Alex Vanderlinden,26,ON,CAN,00:26:36,02:36:19,01:34:39,00:02:39,00:00:46,04:40:59
ironman-70.3-muskoka-20140907.csv,3,Keith Kotar,25,TX,USA,00:30:31,02:47:54,01:20:11,00:03:05,00:00:55,04:42:36
ironman-70.3-muskoka-20140907.csv,4,Cody Beals,26,ON,CAN,00:25:11,02:20:13,01:18:35,00:02:36,00:00:37,04:07:12
ironman-70.3-muskoka-20140907.csv,5,Edward Cyr,27,ON,CAN,00:26:55,02:37:23,01:33:57,00:02:35,00:00:45,04:41:35
ironman-70.3-muskoka-20140907.csv,6,Tom Eickelberg,27,PA,USA,00:24:25,02:37:21,01:23:12,00:03:08,00:00:46,04:28:52
ironman-70.3-muskoka-20140907.csv,7,Andrew Yoder,27,PA,USA,---,---,---,---,---,DNS
ironman-70.3-muskoka-20140907.csv,8,Grant Burwash,30,AB,CAN,00:26:37,02:39:24,01:27:05,00:02:37,00:00:43,04:36:26
ironman-70.3-muskoka-20140907.csv,9,Kyle Pawlaczyk,33,VA,USA,00:27:29,02:27:44,01:22:23,00:03:29,00:00:35,04:21:40
ironman-70.3-muskoka-20140907.csv,10,Markus Mlinar,36,AT,AUT,---,---,---,---,---,DNS
ironman-70.3-muskoka-20140907.csv,11,Simon Malo,40,QC,CAN,---,---,---,---,---,DNS
ironman-70.3-muskoka-20140907.csv,12,Andy Potts,39,CO,USA,---,---,---,---,---,DNS
ironman-70.3-muskoka-20140907.csv,13,Richie Cunningham,43,CO,AUS,00:24:21,02:20:55,01:17:25,00:02:50,00:00:35,04:06:06
ironman-70.3-muskoka-20140907.csv,14,David Kahn,32,NY,USA,00:23:16,02:26:43,01:21:01,00:02:39,00:00:55,04:14:34
ironman-70.3-muskoka-20140907.csv,15,Frederic Bouchard,41,QC,CAN,00:27:24,02:37:13,01:28:13,00:02:47,00:00:54,04:36:31
ironman-70.3-muskoka-20140907.csv,24,Caroline St-Pierre,28,QC,CAN,00:26:50,02:50:39,01:31:13,00:02:38,00:00:52,04:52:12
ironman-70.3-muskoka-20140907.csv,25,Jennifer Lentzke,30,AZ,CAN,00:34:58,03:03:18,01:34:13,00:04:38,00:01:04,05:18:11
ironman-70.3-muskoka-20140907.csv,26,Michelle Mighdoll,30,CA,USA,---,---,---,---,---,DNS
ironman-70.3-muskoka-20140907.csv,27,Alicia Kaye,32,FL,USA,00:25:09,02:38:47,01:29:13,00:02:50,00:01:00,04:36:59
ironman-70.3-muskoka-20140907.csv,28,Anna Cleaver,34,---,NZL,---,---,---,---,---,DNS
ironman-70.3-muskoka-20140907.csv,29,Sarah Cameto,35,CA,USA,00:26:59,02:50:12,---,00:03:13,00:01:02,DNF
ironman-70.3-muskoka-20140907.csv,30,Katya Meyers,36,CA,USA,---,---,---,---,---,DNS
ironman-70.3-muskoka-20140907.csv,31,Erin Spitler,37,MT,USA,00:30:29,02:47:53,01:22:34,00:02:54,00:00:47,04:44:37
ironman-70.3-muskoka-20140907.csv,32,Mandy Mclane,37,CO,USA,00:26:52,02:39:42,01:28:01,00:02:42,00:00:59,04:38:16
ironman-70.3-muskoka-20140907.csv,33,Janelle Morrison,38,BC,CAN,00:30:26,02:51:20,01:32:57,00:03:28,00:01:34,04:59:45
ironman-70.3-muskoka-20140907.csv,35,Suzanne Zelazo,40,ON,CAN,00:28:17,02:39:28,01:41:06,00:03:19,00:00:55,04:53:05
ironman-70.3-muskoka-20140907.csv,36,Sue Huse,42,MT,CAN,00:31:52,02:44:30,01:26:30,00:03:09,00:00:56,04:46:57
ironman-70.3-muskoka-20140907.csv,37,Jennie Hansen,31,NY,USA,00:30:32,02:47:28,01:24:21,00:03:26,00:01:16,04:47:03
ironman-70.3-muskoka-20140907.csv,47,Jason Profetto,32,ON,CAN,---,---,---,---,---,DNS
ironman-70.3-muskoka-20140907.csv,48,Marc Morcos,32,ON,CAN,00:38:04,03:19:06,01:51:42,00:06:10,00:03:09,05:58:11
ironman-70.3-muskoka-20140907.csv,49,Nate Walsh,32,ON,CAN,00:38:10,02:52:41,01:37:56,00:06:09,00:02:11,05:17:07
ironman-70.3-muskoka-20140907.csv,51,Christopher Wyenberg,31,ON,CAN,00:38:48,03:53:36,02:11:03,00:06:32,00:02:40,06:52:39
ironman-70.3-muskoka-20140907.csv,52,Tim Otten,32,ON,CAN,00:40:40,02:53:28,02:02:24,00:05:47,00:03:06,05:45:25
ironman-70.3-muskoka-20140907.csv,53,Steve Elliott,32,ON,CAN,00:41:43,02:53:06,01:41:06,00:04:11,00:01:48,05:21:54
ironman-70.3-muskoka-20140907.csv,54,Chad Barber,31,ON,CAN,00:50:54,03:17:32,02:08:04,00:05:49,00:01:07,06:23:26
ironman-70.3-muskoka-20140907.csv,55,Justin George,32,QC,CAN,00:29:42,03:07:22,02:16:22,00:04:40,00:01:25,05:59:31
