#File=ironman-70.3-muskoka-20170709.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-muskoka-20170709.csv,1,Kurtis Adams,29,IL,USA,00:38:44,02:55:57,01:48:14,00:03:10,00:01:44,05:27:49
ironman-70.3-muskoka-20170709.csv,2,Nicholas Stockero,30,MI,USA,00:38:27,02:57:19,01:49:41,00:03:38,00:02:20,05:31:25
ironman-70.3-muskoka-20170709.csv,3,Gabriel Bolduc,30,QC,CAN,00:42:26,03:16:00,02:06:10,00:04:12,00:01:37,06:10:25
ironman-70.3-muskoka-20170709.csv,4,Ryan Brown,30,NL,CAN,00:31:43,02:42:54,01:36:44,00:02:27,00:01:46,04:55:34
ironman-70.3-muskoka-20170709.csv,5,Taylor Weber,31,ON,CAN,00:32:34,02:49:46,01:39:11,00:02:47,00:02:26,05:06:44
ironman-70.3-muskoka-20170709.csv,6,Kiley Austin-Young,30,PA,USA,00:31:06,02:34:25,01:22:56,00:02:14,00:01:14,04:31:55
ironman-70.3-muskoka-20170709.csv,7,Bo-Yun Liu,31,NY,CHN,00:47:58,---,---,00:03:39,---,DNF
ironman-70.3-muskoka-20170709.csv,8,Brandon Throop,30,ON,CAN,00:39:17,02:54:48,01:36:25,00:03:04,00:03:08,05:16:42
ironman-70.3-muskoka-20170709.csv,9,Benoit Lamothe-Michaud,32,Quebec,CAN,00:37:15,02:50:28,01:42:45,00:03:32,00:02:10,05:16:10
ironman-70.3-muskoka-20170709.csv,10,Timothy Collins,34,ON,CAN,00:36:53,02:52:10,01:41:31,00:02:29,00:01:55,05:14:58
ironman-70.3-muskoka-20170709.csv,11,Jon Morton,34,ON,CAN,00:31:39,02:47:07,01:39:29,00:02:46,00:02:44,05:03:45
ironman-70.3-muskoka-20170709.csv,12,Theo Richardson,34,NY,CAN,---,---,---,---,---,DNS
ironman-70.3-muskoka-20170709.csv,13,Duncan Ross,34,ON,CAN,00:34:52,02:34:28,01:19:24,00:02:30,00:01:50,04:33:04
ironman-70.3-muskoka-20170709.csv,14,Edith Pepin,30,QC,CAN,---,---,---,---,---,DNS
ironman-70.3-muskoka-20170709.csv,15,Courtney Mcelroy-Yeider,29,MA,USA,00:42:03,03:09:08,01:38:47,00:02:48,00:01:40,05:34:26
ironman-70.3-muskoka-20170709.csv,16,Beth Stephens,31,ON,CAN,00:42:33,02:56:31,01:44:46,00:03:27,00:02:38,05:29:55
