#File=ironman-70.3-new-orleans-20090405.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-new-orleans-20090405.csv,1,Chris Mccormack,---,---,AUS,00:25:46,02:05:04,01:21:00,00:01:17,00:01:26,03:54:33
ironman-70.3-new-orleans-20090405.csv,2,Chris Lieto,44,CA,USA,00:25:57,02:02:18,---,00:01:24,00:01:37,DNF
ironman-70.3-new-orleans-20090405.csv,3,Brian Fleischmann,38,CO,USA,00:24:52,02:12:59,01:19:48,00:01:23,00:01:53,04:00:55
ironman-70.3-new-orleans-20090405.csv,4,Chris Mcdonald,38,CO,AUS,00:27:18,02:12:53,01:25:58,00:01:31,00:01:44,04:09:24
ironman-70.3-new-orleans-20090405.csv,5,Tj Tollakson,36,IA,USA,00:25:50,02:06:20,01:37:18,00:01:27,00:01:45,04:12:40
ironman-70.3-new-orleans-20090405.csv,6,Darren Treadaway,---,---,GBR,00:29:37,02:20:33,01:25:20,00:01:31,00:01:45,04:18:46
ironman-70.3-new-orleans-20090405.csv,7,Joe Umphenour,47,CO,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,8,Luc Van Lierde,47,---,BEL,00:24:21,02:10:14,01:18:32,00:01:34,00:02:32,03:57:13
ironman-70.3-new-orleans-20090405.csv,9,Tim O'Donnell,35,CO,USA,00:24:53,02:11:37,01:15:45,00:01:28,00:01:25,03:55:08
ironman-70.3-new-orleans-20090405.csv,10,Brent Mcmahon,35,BC,CAN,00:25:27,02:06:19,01:17:14,00:01:45,00:01:23,03:52:08
ironman-70.3-new-orleans-20090405.csv,11,Brandon Marsh,41,TX,USA,00:25:17,02:09:41,01:22:08,00:01:26,00:01:41,04:00:13
ironman-70.3-new-orleans-20090405.csv,12,Brian Jenkins,35,---,IRL,00:29:54,02:23:56,01:49:24,00:01:54,00:01:58,04:47:06
ironman-70.3-new-orleans-20090405.csv,13,Sean Bechtel,32,ON,CAN,00:25:21,02:11:02,01:38:35,00:01:36,00:01:38,04:18:12
ironman-70.3-new-orleans-20090405.csv,14,Jacob Deitz,30,WA,USA,00:35:48,02:48:43,---,00:01:50,---,DNF
ironman-70.3-new-orleans-20090405.csv,15,Dennis Devriendt,---,---,BEL,00:25:46,02:10:37,01:23:52,00:01:26,00:01:22,04:03:03
ironman-70.3-new-orleans-20090405.csv,16,Romain Guillaume,31,FR,FRA,00:25:49,02:09:57,01:28:27,00:01:38,00:01:44,04:07:35
ironman-70.3-new-orleans-20090405.csv,17,Wolfgang Guembel,37,ON,CAN,00:25:34,02:14:58,01:23:38,00:01:39,00:01:18,04:07:07
ironman-70.3-new-orleans-20090405.csv,18,Chris Gebhardt,42,NJ,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,19,Sven Folmer,38,FL,USA,00:36:14,02:36:00,01:58:35,00:02:15,00:01:54,05:14:58
ironman-70.3-new-orleans-20090405.csv,20,Herve Faure,40,Intl State,FRA,00:28:16,02:12:01,01:21:00,00:01:29,00:01:27,04:04:13
ironman-70.3-new-orleans-20090405.csv,21,Justin Henkel,40,WI,USA,00:32:19,02:14:00,01:24:15,00:01:35,00:02:11,04:14:20
ironman-70.3-new-orleans-20090405.csv,22,Ben Hoffman,33,CO,USA,00:27:17,02:06:43,01:20:47,00:01:36,00:01:19,03:57:42
ironman-70.3-new-orleans-20090405.csv,23,Adam O'Meara,34,BC,CAN,00:29:08,02:21:15,01:21:51,00:02:09,00:02:13,04:16:36
ironman-70.3-new-orleans-20090405.csv,24,Chris Singley,39,FL,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,25,Tim Snow,40,MA,USA,00:29:14,02:20:49,01:22:56,00:01:59,00:01:44,04:16:42
ironman-70.3-new-orleans-20090405.csv,26,Heath Thurston,38,UT,USA,00:26:28,02:16:19,01:31:38,00:01:49,00:01:52,04:18:06
ironman-70.3-new-orleans-20090405.csv,27,Chris Tremonte,36,WA,USA,00:26:23,02:32:03,01:31:26,00:01:48,00:01:49,04:33:29
ironman-70.3-new-orleans-20090405.csv,28,Craig Twigg,44,leicestershire,GBR,00:26:55,02:12:02,01:33:03,00:01:31,00:01:32,04:15:03
ironman-70.3-new-orleans-20090405.csv,29,Rafael Wyss,33,---,CHE,00:31:24,02:21:25,01:28:59,00:01:49,00:02:20,04:25:57
ironman-70.3-new-orleans-20090405.csv,30,David Silver,---,PA,USA,00:25:11,02:27:22,01:27:36,00:01:56,00:01:39,04:23:44
ironman-70.3-new-orleans-20090405.csv,31,Justin Park,36,GA,USA,00:27:08,02:12:27,01:20:58,00:01:35,00:01:33,04:03:41
ironman-70.3-new-orleans-20090405.csv,51,Joanna Zeiger,46,CO,USA,00:26:35,02:23:02,01:29:37,00:01:39,00:01:32,04:22:25
ironman-70.3-new-orleans-20090405.csv,52,Natscha Badmann,---,---,CHE,00:30:55,02:15:52,01:27:50,00:01:47,00:01:26,04:17:50
ironman-70.3-new-orleans-20090405.csv,53,Yvonne Van Vlerken,---,---,NLD,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,54,Lisa Bentley,47,---,CAN,00:29:17,02:26:29,01:29:43,00:01:45,00:01:43,04:28:57
ironman-70.3-new-orleans-20090405.csv,55,Desiree Berry,39,TX,USA,00:29:55,02:28:02,01:46:16,00:01:47,00:01:49,04:47:49
ironman-70.3-new-orleans-20090405.csv,56,Kate Major,38,CA,USA,00:29:18,02:26:17,01:29:06,00:01:54,00:01:27,04:28:02
ironman-70.3-new-orleans-20090405.csv,57,Heather Gollnick,---,FL,USA,00:29:26,02:26:19,01:33:03,00:01:52,00:01:58,04:32:38
ironman-70.3-new-orleans-20090405.csv,58,Linsey Corbin,35,OR,USA,00:29:34,02:20:26,01:32:57,00:01:47,00:01:44,04:26:28
ironman-70.3-new-orleans-20090405.csv,60,Caroline Smith,---,LA,USA,00:29:38,02:30:34,01:40:54,00:01:47,00:01:51,04:44:44
ironman-70.3-new-orleans-20090405.csv,61,Magali Tisseyre,34,CA,CAN,00:29:19,02:23:02,01:28:31,00:01:56,00:01:42,04:24:30
ironman-70.3-new-orleans-20090405.csv,62,Caitlin Snow,34,MA,USA,00:29:31,02:27:32,01:21:58,00:02:07,00:01:43,04:22:51
ironman-70.3-new-orleans-20090405.csv,63,Amy Simonetta,44,---,USA,00:36:25,02:38:16,01:43:41,00:02:04,00:02:08,05:02:34
ironman-70.3-new-orleans-20090405.csv,64,Catriona Morrison,---,---,GBR,00:29:24,02:23:11,01:22:41,00:01:40,00:01:47,04:18:43
ironman-70.3-new-orleans-20090405.csv,65,Jessica Jones,38,OK,USA,00:29:37,02:24:54,01:34:01,00:01:23,00:01:39,04:31:34
ironman-70.3-new-orleans-20090405.csv,66,Jenny Mcdonagh,34,SC,USA,00:29:48,02:34:38,01:41:26,00:01:48,00:01:49,04:49:29
ironman-70.3-new-orleans-20090405.csv,67,Amy Marsh,38,TX,USA,00:26:45,02:49:08,01:38:54,00:01:39,00:01:48,04:58:14
ironman-70.3-new-orleans-20090405.csv,68,Helen Libby,39,FL,USA,00:33:08,02:34:48,01:40:42,00:01:51,00:02:02,04:52:31
ironman-70.3-new-orleans-20090405.csv,69,Amy Kloner,39,AZ,USA,00:33:24,02:27:48,01:35:32,00:02:05,00:01:52,04:40:41
ironman-70.3-new-orleans-20090405.csv,70,Lauren Jensen,48,WI,USA,00:29:37,02:31:48,01:44:42,00:01:48,00:02:03,04:49:58
ironman-70.3-new-orleans-20090405.csv,71,Jessica Jacobs,39,WA,USA,00:32:56,02:26:18,01:33:20,00:02:00,00:02:06,04:36:40
ironman-70.3-new-orleans-20090405.csv,72,Nicole Guembel,35,ON,CAN,00:32:52,02:24:03,01:45:09,00:02:00,00:02:13,04:46:17
ironman-70.3-new-orleans-20090405.csv,73,Jennifer Garrison,37,IL,USA,00:30:48,02:34:07,01:50:33,00:01:32,00:01:48,04:58:48
ironman-70.3-new-orleans-20090405.csv,74,Danielle Sullivan,39,NY,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,75,Jolene Wilkinson,---,---,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,76,Nina Kraft,47,FL,DEU,00:26:44,02:27:55,01:25:22,00:01:49,00:01:27,04:23:17
ironman-70.3-new-orleans-20090405.csv,77,Anne Basso,32,FR,USA,00:29:48,02:30:48,01:40:56,00:01:58,00:01:44,04:45:14
ironman-70.3-new-orleans-20090405.csv,78,Kjell Schioberg,38,WA,---,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,79,Leah Daugherty,31,FL,USA,00:29:39,02:39:55,01:41:49,00:01:55,00:01:51,04:55:09
ironman-70.3-new-orleans-20090405.csv,80,Amanda Stevens,---,CO,USA,00:26:47,02:26:03,01:39:40,00:01:38,00:01:27,04:35:35
ironman-70.3-new-orleans-20090405.csv,99,Aaron Scheidies,34,WA,USA,00:28:53,02:53:44,01:44:38,00:02:26,00:02:47,05:12:28
ironman-70.3-new-orleans-20090405.csv,100,Jeff Glasbrenner,43,AR,USA,00:37:10,02:48:03,02:08:28,00:02:16,00:03:23,05:39:20
ironman-70.3-new-orleans-20090405.csv,101,Nicholas Acosta,38,LA,USA,01:02:37,02:57:29,02:02:27,00:04:55,00:04:15,06:11:43
ironman-70.3-new-orleans-20090405.csv,102,Nathan Allen,38,LA,USA,00:46:35,02:56:56,02:12:32,00:05:34,00:05:53,06:07:30
ironman-70.3-new-orleans-20090405.csv,103,Juan Carlos Amrhein,39,---,CRI,00:39:42,03:06:30,02:27:08,00:03:30,00:02:52,06:19:42
ironman-70.3-new-orleans-20090405.csv,104,Daniele Andreini,36,VA,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,105,Vasco Antunes Pereira,39,DC,USA,00:41:09,02:41:56,02:00:30,00:04:00,00:03:30,05:31:05
ironman-70.3-new-orleans-20090405.csv,106,Ephraim Atwal,38,NY,USA,00:46:45,03:34:56,03:13:42,00:10:17,00:12:18,07:57:58
ironman-70.3-new-orleans-20090405.csv,107,James Bales,36,CO,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,108,Rodrigo Ballivian,38,CL,CHL,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,109,Richard Bardwell Iv,38,CT,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,110,Bruce Barkerding,36,LA,USA,00:41:04,02:43:45,02:28:16,00:04:01,00:07:27,06:04:33
ironman-70.3-new-orleans-20090405.csv,111,Erick Barquero,36,San Jose - ,CRI,00:42:33,02:47:52,02:00:04,00:05:09,00:05:03,05:40:41
ironman-70.3-new-orleans-20090405.csv,112,Rob Barrere,38,LA,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,113,William Bearden,38,LA,USA,01:14:03,03:41:38,03:03:57,00:10:31,00:26:28,08:36:37
ironman-70.3-new-orleans-20090405.csv,114,Josh Benjamin,39,MA,USA,00:41:29,02:58:51,01:55:23,00:04:28,00:04:50,05:45:01
ironman-70.3-new-orleans-20090405.csv,115,Derek Benson,39,LA,USA,00:45:24,03:03:11,02:56:39,00:03:16,00:06:06,06:54:36
ironman-70.3-new-orleans-20090405.csv,116,Denver Benton,37,LA,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,117,Josh Berdami,39,MS,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,118,David Biven,39,TX,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,119,Terry Blesso,39,CA,USA,00:36:51,02:53:17,01:50:58,00:03:38,00:05:06,05:29:50
ironman-70.3-new-orleans-20090405.csv,120,Robin Bonin,37,LA,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,121,Chad Boudreaux,37,LA,USA,00:39:07,02:37:14,01:52:30,00:02:25,00:01:59,05:13:15
ironman-70.3-new-orleans-20090405.csv,122,Chas Bourgeois,37,LA,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,123,Scott Bowen,37,NE,USA,00:38:26,02:48:39,02:02:48,00:02:30,00:02:47,05:35:10
ironman-70.3-new-orleans-20090405.csv,124,Phillip Bradley,37,AL,USA,00:35:04,02:47:02,02:00:35,00:04:02,00:03:23,05:30:06
ironman-70.3-new-orleans-20090405.csv,125,Casey Brawders,39,LA,USA,00:36:44,02:56:04,02:22:26,00:05:37,00:04:48,06:05:39
ironman-70.3-new-orleans-20090405.csv,126,Courtney Brown,36,LA,USA,00:32:58,02:36:14,02:03:41,00:02:33,00:02:49,05:18:15
ironman-70.3-new-orleans-20090405.csv,127,Shannon Brugh,38,LA,USA,00:35:26,02:36:39,02:01:39,00:03:11,00:02:47,05:19:42
ironman-70.3-new-orleans-20090405.csv,128,Chad Brumfield,39,LA,USA,00:38:18,03:11:12,02:08:02,00:05:16,00:02:37,06:05:25
ironman-70.3-new-orleans-20090405.csv,129,Kyle Buese,37,LA,USA,00:55:18,03:17:28,02:42:25,00:08:26,00:12:11,07:15:48
ironman-70.3-new-orleans-20090405.csv,130,Mark Bulot,38,LA,USA,00:42:18,02:48:24,02:09:19,00:03:55,00:02:58,05:46:54
ironman-70.3-new-orleans-20090405.csv,131,Peter Burchett,36,CA,USA,00:45:25,02:57:34,02:21:56,00:03:45,00:02:51,06:11:31
ironman-70.3-new-orleans-20090405.csv,132,Micah Burns,36,---,USA,00:43:24,02:18:28,01:51:21,00:03:20,00:02:16,04:58:49
ironman-70.3-new-orleans-20090405.csv,133,Hank Campbell,37,FL,USA,00:29:38,02:24:32,01:30:24,00:01:59,00:01:31,04:28:04
ironman-70.3-new-orleans-20090405.csv,134,Pepe Canto,37,---,MEX,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,135,Chris Carlisle,37,NV,USA,00:41:54,03:23:56,02:44:27,00:04:14,00:04:06,06:58:37
ironman-70.3-new-orleans-20090405.csv,136,Mark Christman,37,FL,USA,00:43:16,03:30:24,03:10:19,00:05:06,00:12:21,07:41:26
ironman-70.3-new-orleans-20090405.csv,137,Ryan Cleary,38,GA,USA,00:41:51,03:04:46,03:07:24,00:05:19,00:11:00,07:10:20
ironman-70.3-new-orleans-20090405.csv,138,Bradley Cobb,37,LA,USA,---,---,---,---,---,DNS
ironman-70.3-new-orleans-20090405.csv,139,Daniel Collier,37,AL,USA,00:43:27,04:37:41,02:37:36,00:03:22,00:05:11,08:07:17
