#File=ironman-70.3-oceanside-20100327.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-oceanside-20100327.csv,1,Matt Reed,34,CA,USA,00:22:49,02:19:23,01:15:49,00:02:13,00:01:03,04:01:17
ironman-70.3-oceanside-20100327.csv,2,Richie Cunningham,36,CO,USA,00:22:47,02:21:30,01:15:37,00:01:58,00:01:10,04:03:02
ironman-70.3-oceanside-20100327.csv,3,Torsten Abel,36,AZ,USA,00:23:26,---,---,00:02:10,---,DNF
ironman-70.3-oceanside-20100327.csv,4,Michael Lovato,36,CO,USA,00:24:36,02:21:08,01:19:08,00:02:20,00:01:16,04:08:28
ironman-70.3-oceanside-20100327.csv,5,Timothy Deboom,39,CO,USA,00:23:30,02:22:57,01:19:54,00:02:30,00:01:25,04:10:16
ironman-70.3-oceanside-20100327.csv,6,Michael Raelert,29,DE,DEU,00:22:38,02:15:31,01:17:15,00:01:59,00:01:04,03:58:27
ironman-70.3-oceanside-20100327.csv,7,Jordan Rapp,29,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,8,Andy Potts,33,CO,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,9,Paul Amey,36,---,GBR,00:24:31,---,---,00:02:21,03:23:56,DNF
ironman-70.3-oceanside-20100327.csv,10,Jonas Colting,36,---,SWE,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,11,Mike Neill,38,BC,CAN,00:26:00,02:25:13,01:19:44,00:02:28,00:01:31,04:14:56
ironman-70.3-oceanside-20100327.csv,12,Chris Casey,39,NY,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,13,Karl Bordine,35,CA,USA,00:28:58,02:19:54,01:26:51,00:04:33,00:01:25,04:21:41
ironman-70.3-oceanside-20100327.csv,14,Juan_Carlos Ramirez,36,---,USA,00:28:54,02:30:49,01:21:39,00:02:48,00:01:36,04:25:46
ironman-70.3-oceanside-20100327.csv,15,Tim Snow,34,MA,USA,00:28:00,02:34:13,01:18:33,00:03:06,00:01:32,04:25:24
ironman-70.3-oceanside-20100327.csv,16,Rasmus Henning,34,---,DNK,00:22:50,02:21:32,01:14:10,00:02:27,00:01:08,04:02:07
ironman-70.3-oceanside-20100327.csv,17,Jonathan Hotchkiss,31,---,GBR,00:26:04,02:24:36,01:25:36,00:02:26,00:01:23,04:20:05
ironman-70.3-oceanside-20100327.csv,18,Tim O'Donnell,29,CO,USA,00:22:47,02:20:36,01:16:57,00:01:56,00:01:05,04:03:21
ironman-70.3-oceanside-20100327.csv,19,Trevor Wurtele,30,BC,CAN,00:26:06,02:24:51,01:19:12,00:02:47,00:01:28,04:14:24
ironman-70.3-oceanside-20100327.csv,20,Adam Jensen,29,MT,USA,00:28:46,02:22:47,01:20:25,00:02:22,00:01:22,04:15:42
ironman-70.3-oceanside-20100327.csv,21,Jim Lubinski,31,CA,USA,00:28:59,02:30:38,01:18:01,00:02:46,00:01:04,04:21:28
ironman-70.3-oceanside-20100327.csv,22,Hervé Banti,33,Intl State,MCO,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,23,Matt Shryock,23,MT,USA,00:31:03,02:27:44,01:24:05,00:02:32,00:01:20,04:26:44
ironman-70.3-oceanside-20100327.csv,24,Kyle Leto,23,CO,USA,00:22:37,02:22:06,01:19:17,00:02:08,00:01:08,04:07:16
ironman-70.3-oceanside-20100327.csv,25,Jeff Symonds,24,BC,CAN,00:24:32,02:23:42,01:13:46,00:02:21,00:01:20,04:05:41
ironman-70.3-oceanside-20100327.csv,26,Sean Frost,25,---,GBR,00:29:39,02:31:55,01:21:28,00:02:27,00:01:17,04:26:46
ironman-70.3-oceanside-20100327.csv,27,Brendan Halpin,25,MT,USA,00:29:03,02:28:01,01:19:22,00:02:55,00:01:39,04:21:00
ironman-70.3-oceanside-20100327.csv,28,John Dahlz,25,CA,USA,00:22:51,02:50:13,01:55:33,00:02:06,00:07:34,05:18:17
ironman-70.3-oceanside-20100327.csv,29,Ben Hoffman,26,CO,USA,00:25:15,02:19:29,01:18:01,00:03:01,00:01:29,04:07:15
ironman-70.3-oceanside-20100327.csv,30,Nicholas Thompson,27,CA,USA,00:28:23,02:22:13,01:19:08,00:02:26,00:01:19,04:13:29
ironman-70.3-oceanside-20100327.csv,31,Andres Castillo Latorre,27,---,COL,00:24:27,02:28:14,01:21:28,00:02:31,00:01:29,04:18:09
ironman-70.3-oceanside-20100327.csv,32,Michael Weiss,29,---,USA,00:26:04,02:15:34,01:28:56,00:02:42,00:01:23,04:14:39
ironman-70.3-oceanside-20100327.csv,33,Alex Mcdonald,29,CA,USA,00:26:40,02:24:18,01:25:35,00:02:28,00:01:34,04:20:35
ironman-70.3-oceanside-20100327.csv,34,Alan Archard,28,CA,USA,00:26:08,02:46:12,---,00:02:23,---,DNF
ironman-70.3-oceanside-20100327.csv,35,Anthony Toth,20,BC,CAN,00:27:12,02:30:05,01:27:42,00:02:55,00:01:16,04:29:10
ironman-70.3-oceanside-20100327.csv,36,Ian Mikelson,29,CA,USA,00:25:02,02:25:01,01:21:36,00:02:33,00:01:16,04:15:28
ironman-70.3-oceanside-20100327.csv,37,Lars Finanger,30,TX,USA,00:25:28,02:23:22,01:27:06,00:02:51,00:01:31,04:20:18
ironman-70.3-oceanside-20100327.csv,38,Greg Kopecky,25,CO,USA,00:26:01,02:34:00,01:26:16,00:02:47,00:01:31,04:30:35
ironman-70.3-oceanside-20100327.csv,39,Andrew Yoder,20,PA,USA,00:23:27,02:16:38,---,00:02:13,00:01:25,DNF
ironman-70.3-oceanside-20100327.csv,41,Mirinda Carfrae,29,CO,USA,00:26:15,02:33:14,01:17:34,00:02:19,00:01:07,04:20:29
ironman-70.3-oceanside-20100327.csv,42,Michellie Jones,40,---,USA,00:26:15,02:35:05,01:26:42,00:02:22,00:01:25,04:31:49
ironman-70.3-oceanside-20100327.csv,43,Samantha Mcglone,30,CA,USA,00:26:17,02:33:04,01:23:37,00:02:37,00:01:08,04:26:43
ironman-70.3-oceanside-20100327.csv,44,Joanna Zeiger,39,CO,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,45,Sam Warriner,38,---,NZL,00:26:39,02:36:37,01:24:59,00:02:34,00:05:30,04:36:19
ironman-70.3-oceanside-20100327.csv,46,Amanda Lovato,37,CO,USA,00:28:58,02:38:02,01:29:37,00:02:24,00:01:21,04:40:22
ironman-70.3-oceanside-20100327.csv,47,Pip Taylor,30,---,AUS,00:24:25,---,---,00:02:34,---,DNF
ironman-70.3-oceanside-20100327.csv,48,Malaika Homo,31,UT,USA,00:25:47,02:42:25,01:39:38,00:02:33,00:01:22,04:51:45
ironman-70.3-oceanside-20100327.csv,49,Emily Cocks,33,CA,USA,00:26:20,02:50:58,01:33:00,00:02:50,00:01:32,04:54:40
ironman-70.3-oceanside-20100327.csv,50,Kelly Williamson,32,CO,USA,00:24:55,02:39:56,01:21:44,00:02:45,00:01:15,04:30:35
ironman-70.3-oceanside-20100327.csv,51,Kate Major,32,CA,USA,00:27:04,02:35:45,01:23:37,00:02:36,00:01:13,04:30:15
ironman-70.3-oceanside-20100327.csv,52,Charisa Wernick,34,CA,USA,00:28:55,02:45:49,01:30:58,00:03:04,00:01:31,04:50:17
ironman-70.3-oceanside-20100327.csv,53,Rachel Challis,34,CA,USA,00:27:48,02:42:39,01:34:39,00:02:53,00:01:20,04:49:19
ironman-70.3-oceanside-20100327.csv,54,Lyne Bessette,0,MA,USA,00:34:10,02:35:34,---,00:03:07,00:02:00,DNF
ironman-70.3-oceanside-20100327.csv,55,Rochelle Hair,35,CA,USA,00:32:47,02:46:24,01:27:53,00:03:02,00:01:41,04:51:47
ironman-70.3-oceanside-20100327.csv,56,Christine Fletcher,36,BC,CAN,00:29:02,02:41:23,01:32:27,00:03:04,00:01:32,04:47:28
ironman-70.3-oceanside-20100327.csv,57,Beatrix Blattmann,36,AZ,USA,00:29:05,02:53:02,01:46:19,00:03:30,00:01:34,05:13:30
ironman-70.3-oceanside-20100327.csv,58,Heather Wurtele,30,BC,CAN,00:26:21,02:32:51,---,00:02:44,00:04:53,DNF
ironman-70.3-oceanside-20100327.csv,59,Katya Meyers,29,CA,USA,00:34:34,02:43:07,01:36:40,00:02:57,00:01:37,04:58:55
ironman-70.3-oceanside-20100327.csv,60,Lesley Paterson,29,CA,USA,00:27:45,02:34:10,01:18:28,00:02:47,00:01:21,04:24:31
ironman-70.3-oceanside-20100327.csv,61,Terra Castro,29,VA,USA,00:27:49,02:43:46,01:31:03,00:02:44,00:01:38,04:47:00
ironman-70.3-oceanside-20100327.csv,62,Jennifer Luebke,23,OR,USA,00:27:09,02:52:02,01:42:24,00:03:45,00:01:41,05:07:01
ironman-70.3-oceanside-20100327.csv,63,Mackenzie Madison,23,OR,USA,00:32:41,02:38:48,01:25:00,00:03:48,00:01:46,04:42:03
ironman-70.3-oceanside-20100327.csv,64,Kate Pallardy,24,NY,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,65,Angela Naeth,28,BC,CAN,00:29:00,02:32:29,01:27:48,00:02:38,00:01:46,04:33:41
ironman-70.3-oceanside-20100327.csv,66,Caitlin Snow,28,---,USA,00:27:06,02:44:55,01:20:50,00:03:50,00:01:40,04:38:21
ironman-70.3-oceanside-20100327.csv,67,Heather Heaviland,---,WI,USA,00:32:42,02:43:43,01:30:35,00:02:46,00:01:35,04:51:21
ironman-70.3-oceanside-20100327.csv,68,Leanda Cave,32,FL,GBR,00:24:09,02:34:39,01:27:29,00:02:20,00:01:19,04:29:56
ironman-70.3-oceanside-20100327.csv,71,Karen Aydelott,64,CA,USA,00:36:45,03:14:47,03:14:53,00:05:50,00:05:33,07:17:48
ironman-70.3-oceanside-20100327.csv,72,Brandon Erickson,28,CA,USA,00:47:00,03:02:49,02:10:58,00:03:50,00:03:05,06:07:42
ironman-70.3-oceanside-20100327.csv,73,Daniel Quinlan,35,MA,USA,00:38:00,03:11:58,02:22:33,00:05:47,00:02:27,06:20:45
ironman-70.3-oceanside-20100327.csv,74,Trevor Katelnikoff,38,AB,CAN,00:29:43,02:31:21,01:40:03,00:03:46,00:01:57,04:46:50
ironman-70.3-oceanside-20100327.csv,75,Greg Penner,40,---,USA,00:27:46,02:38:14,01:34:01,00:03:23,00:01:51,04:45:15
ironman-70.3-oceanside-20100327.csv,76,Paul Gompers,46,MA,USA,00:27:52,02:27:20,01:27:01,00:04:25,00:01:40,04:28:18
ironman-70.3-oceanside-20100327.csv,77,Randy Christofferson,52,DE,USA,00:33:19,02:43:57,01:58:30,00:04:03,00:02:15,05:22:04
ironman-70.3-oceanside-20100327.csv,78,Hitoshi Ueda,48,AZ,USA,00:43:19,02:50:16,02:12:27,00:06:04,00:03:15,05:55:21
ironman-70.3-oceanside-20100327.csv,79,Marco Tolento,24,CA,USA,00:37:50,03:52:48,03:18:07,00:04:17,00:04:45,07:57:47
ironman-70.3-oceanside-20100327.csv,80,Stephen Sampson,25,CA,USA,00:32:39,02:58:40,02:02:45,00:03:20,00:03:21,05:40:45
ironman-70.3-oceanside-20100327.csv,81,Chris Branson,24,CA,USA,00:33:26,02:41:09,02:19:10,00:04:13,00:03:23,05:41:21
ironman-70.3-oceanside-20100327.csv,82,Travis King,24,CA,USA,00:26:42,02:57:00,01:50:34,00:03:51,00:02:31,05:20:38
ironman-70.3-oceanside-20100327.csv,83,Alan Shi,24,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,84,Roald Nilsen,24,CA,USA,00:34:47,03:11:20,01:49:29,00:04:39,00:02:15,05:42:30
ironman-70.3-oceanside-20100327.csv,85,Chris Yu,24,CA,USA,00:39:07,02:44:20,01:40:41,00:03:59,00:02:01,05:10:08
ironman-70.3-oceanside-20100327.csv,86,Jeffrey Lombard,24,CA,USA,00:35:55,02:39:53,01:34:34,00:03:17,00:01:49,04:55:28
ironman-70.3-oceanside-20100327.csv,87,Thomas Lopez,25,CA,USA,00:27:05,02:27:02,01:32:21,00:03:00,00:01:45,04:31:13
ironman-70.3-oceanside-20100327.csv,88,Scott Haeusler,24,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,89,Patrick Wheeler,25,MA,USA,00:28:11,02:36:39,01:19:51,00:03:25,00:01:54,04:30:00
ironman-70.3-oceanside-20100327.csv,90,Matthew Schubert,25,CA,USA,00:31:28,02:55:22,02:00:04,00:04:19,00:02:27,05:33:40
ironman-70.3-oceanside-20100327.csv,91,Alfredo Vargas,24,CA,USA,00:32:33,03:00:02,01:47:51,00:05:58,00:03:27,05:29:51
ironman-70.3-oceanside-20100327.csv,92,Michael Wathen,25,CA,USA,00:47:32,03:32:07,02:25:12,00:07:07,00:04:04,06:56:02
ironman-70.3-oceanside-20100327.csv,93,Alan Carter,25,CO,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,94,Scott Tonder,24,TX,USA,00:30:17,02:37:34,01:19:41,00:03:58,00:01:27,04:32:57
ironman-70.3-oceanside-20100327.csv,95,Jonathan Shelton,24,CA,USA,00:46:04,03:46:24,02:36:25,00:08:47,00:11:22,07:29:02
ironman-70.3-oceanside-20100327.csv,96,Tim Valenti,24,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,97,Christopher Leach,24,CA,USA,00:38:18,02:58:11,01:37:16,00:04:57,00:03:52,05:22:34
ironman-70.3-oceanside-20100327.csv,98,Eric James,25,CA,USA,00:39:30,02:49:48,01:55:53,00:05:41,00:04:46,05:35:38
ironman-70.3-oceanside-20100327.csv,99,Julian Ganguli,24,CA,USA,00:29:14,02:42:07,01:43:33,00:02:53,00:01:53,04:59:40
ironman-70.3-oceanside-20100327.csv,100,Curtis Williamson,24,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,101,Erick Jaime,24,CA,USA,00:44:19,03:16:00,02:06:57,00:04:01,00:05:18,06:16:35
ironman-70.3-oceanside-20100327.csv,102,Ryan Johnson,25,VA,USA,00:31:02,02:31:46,01:35:48,00:02:34,00:01:19,04:42:29
ironman-70.3-oceanside-20100327.csv,103,Jared Battles,24,CA,USA,00:49:47,03:23:13,02:36:25,00:06:28,00:05:00,07:00:53
ironman-70.3-oceanside-20100327.csv,104,Ivor Collins,24,CA,USA,00:34:21,02:58:34,01:56:53,00:06:54,00:03:06,05:39:48
ironman-70.3-oceanside-20100327.csv,105,Roland Kersten,24,CA,USA,00:37:39,02:55:47,01:44:01,00:06:39,00:03:31,05:27:37
ironman-70.3-oceanside-20100327.csv,106,Orlando Rivera,24,NY,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,107,Brandon Mcdaniel,24,TX,USA,00:37:14,03:00:05,02:08:00,00:05:11,00:05:10,05:55:40
ironman-70.3-oceanside-20100327.csv,108,James Haore,25,---,IRL,00:31:50,02:59:07,01:43:29,00:02:57,00:01:43,05:19:06
ironman-70.3-oceanside-20100327.csv,109,Scott Chesrown,25,IN,USA,00:36:02,03:07:57,02:06:27,00:03:47,00:03:12,05:57:25
ironman-70.3-oceanside-20100327.csv,110,Nathan Dressel,25,UT,USA,00:32:03,02:43:19,01:36:29,00:03:53,00:02:57,04:58:41
ironman-70.3-oceanside-20100327.csv,111,Jeremy Stromsoe,25,CA,USA,00:31:01,02:45:58,01:52:34,00:03:21,00:01:42,05:14:36
ironman-70.3-oceanside-20100327.csv,112,Zachary Papas,25,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,113,Thomas Blackledge,25,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,114,Ian Pope,25,CA,USA,00:39:56,02:48:42,02:03:51,00:05:09,00:01:59,05:39:37
ironman-70.3-oceanside-20100327.csv,115,Joseph Sikoscow,25,NY,USA,00:41:57,03:02:16,01:52:05,00:04:58,00:02:24,05:43:40
ironman-70.3-oceanside-20100327.csv,116,Jeffrey Peterson,26,CA,USA,00:28:34,02:28:22,01:18:28,00:02:43,00:01:14,04:19:21
ironman-70.3-oceanside-20100327.csv,117,David Elvira,25,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,118,Kyle Peter,25,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,119,Benjamin Brown,25,CA,USA,00:45:24,03:37:45,02:01:55,00:11:45,00:07:27,06:44:16
ironman-70.3-oceanside-20100327.csv,120,Austin Thompson,26,CA,USA,00:48:24,03:41:54,02:12:38,00:11:08,00:06:26,07:00:30
ironman-70.3-oceanside-20100327.csv,121,Bryce Little,25,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,122,Chris Arntz,26,CA,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20100327.csv,123,David Winger,25,CA,USA,00:29:37,03:12:29,02:06:10,00:05:32,00:03:54,05:57:42
ironman-70.3-oceanside-20100327.csv,124,Brandon Fong,25,CA,USA,00:43:05,02:56:34,01:51:53,00:05:38,00:02:43,05:39:53
ironman-70.3-oceanside-20100327.csv,125,Jon Christopher,26,CA,USA,00:37:55,03:04:39,02:27:48,00:03:53,00:02:59,06:17:14
ironman-70.3-oceanside-20100327.csv,126,Andrew Callaway,25,CA,USA,00:31:50,02:58:38,01:46:30,00:03:12,00:01:55,05:22:05
ironman-70.3-oceanside-20100327.csv,127,Jordan Bancroft,26,CA,USA,00:30:06,02:36:55,01:37:26,00:02:40,00:01:30,04:48:37
