#ironman-70.3-oceanside-20120331.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-oceanside-20120331.csv,1,Matt Reed,40,CA,USA,00:24:17,02:15:50,01:16:34,00:02:36,00:01:21,04:00:38
ironman-70.3-oceanside-20120331.csv,2,Richie Cunningham,43,CO,USA,00:24:15,02:13:41,01:13:58,00:02:06,00:01:11,03:55:11
ironman-70.3-oceanside-20120331.csv,3,Chris Mcdonald,38,CO,USA,00:26:10,02:13:40,01:17:45,00:02:04,00:01:09,04:00:48
ironman-70.3-oceanside-20120331.csv,4,Tim Van Berkel,32,NSW,AUS,---,---,---,---,---,DNS
ironman-70.3-oceanside-20120331.csv,5,Paul Ambrose,32,NSW,AUS,00:24:12,02:13:39,01:18:32,00:02:08,00:01:10,03:59:41
ironman-70.3-oceanside-20120331.csv,6,Michael Lovato,42,CO,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20120331.csv,7,Christopher Legh,43,CO,USA,---,---,---,---,---,DNS
ironman-70.3-oceanside-20120331.csv,8,Ben Hoffman,33,CO,USA,00:24:42,02:15:29,01:17:36,00:02:16,00:01:26,04:01:29
ironman-70.3-oceanside-20120331.csv,9,Leon Griffin,36,CO,AUS,00:25:37,02:12:07,01:15:54,00:02:14,00:01:11,03:57:03
ironman-70.3-oceanside-20120331.csv,10,Matt Lieto,38,OR,USA,00:25:33,02:11:57,01:21:17,00:02:33,00:01:17,04:02:37
ironman-70.3-oceanside-20120331.csv,11,Jesse Thomas,36,OR,USA,00:25:34,02:12:27,01:13:53,00:02:05,00:01:23,03:55:22
ironman-70.3-oceanside-20120331.csv,12,Mikel Elgezabal,36,---,ESP,00:26:25,02:16:12,01:18:01,00:02:41,00:01:35,04:04:54
ironman-70.3-oceanside-20120331.csv,13,Jason Smith,37,CA,USA,00:26:41,02:29:43,01:30:02,00:02:34,00:01:23,04:30:23
ironman-70.3-oceanside-20120331.csv,14,Christian Kemp,35,NV,USA,00:24:17,02:13:38,01:25:11,00:02:08,00:01:10,04:06:24
ironman-70.3-oceanside-20120331.csv,15,Stephen Kilshaw,31,BC,CAN,00:26:37,02:15:56,01:15:59,00:02:47,00:01:14,04:02:33
ironman-70.3-oceanside-20120331.csv,16,Jeff Symonds,30,BC,CAN,00:25:33,---,---,00:02:10,---,DNF
ironman-70.3-oceanside-20120331.csv,17,Eric Clarkson,34,CA,USA,00:25:34,02:24:32,01:22:18,00:02:36,00:02:00,04:17:00
