#File=ironman-70.3-ohio-20170730.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-ohio-20170730.csv,11,Darren Clarke,44,KY,USA,00:49:50,03:13:09,02:47:13,00:07:47,00:06:26,07:04:25
ironman-70.3-ohio-20170730.csv,14,Paula Jones,52,OH,USA,01:02:38,03:25:22,01:56:51,00:05:32,00:04:33,06:34:56
ironman-70.3-ohio-20170730.csv,15,Ari Pressman,47,PA,USA,00:40:12,02:28:09,02:12:49,00:04:11,00:02:55,05:28:16
ironman-70.3-ohio-20170730.csv,16,Shannon Hall,42,OH,USA,01:31:08,03:59:39,---,00:03:59,00:03:29,DNF
ironman-70.3-ohio-20170730.csv,17,Arthur Le Levreur,32,OH,FRA,00:44:45,02:59:36,02:50:22,00:08:35,00:05:51,06:49:09
ironman-70.3-ohio-20170730.csv,18,Lionell Phillips,50,IN,USA,01:14:32,03:24:11,---,00:07:26,00:05:50,DNF
ironman-70.3-ohio-20170730.csv,19,Trey Tompkins,30,OH,USA,01:18:07,---,---,---,---,DNF
ironman-70.3-ohio-20170730.csv,20,Amber Tran,41,OH,USA,00:47:44,03:22:53,02:52:31,00:05:47,00:03:42,07:12:37
ironman-70.3-ohio-20170730.csv,31,Dennis Avendano,43,TX,PHL,00:36:15,02:34:23,01:54:16,00:03:12,00:02:26,05:10:32
ironman-70.3-ohio-20170730.csv,32,Timothy Hinton,40,TN,USA,00:32:55,02:22:21,01:37:37,00:02:41,00:01:45,04:37:19
ironman-70.3-ohio-20170730.csv,33,Christopher Mark,41,ON,CAN,---,---,---,---,---,DNS
ironman-70.3-ohio-20170730.csv,34,Francois Chavet,36,---,FRA,00:33:02,02:20:36,01:33:02,00:02:45,00:03:26,04:32:51
ironman-70.3-ohio-20170730.csv,35,Jonathan Feddock,36,KY,USA,00:29:18,02:22:08,01:26:26,00:02:23,00:01:50,04:22:05
ironman-70.3-ohio-20170730.csv,36,Jason Jones,38,FL,USA,00:33:15,02:16:45,01:34:39,00:02:52,00:02:07,04:29:38
ironman-70.3-ohio-20170730.csv,37,Jd Thalman,39,OH,USA,00:30:57,02:23:09,01:33:24,00:02:59,00:02:09,04:32:38
ironman-70.3-ohio-20170730.csv,38,Caitlin Harty,25,OH,USA,00:34:30,03:02:16,02:15:45,00:03:07,00:03:16,05:58:54
ironman-70.3-ohio-20170730.csv,39,Michele Niermann,49,NJ,USA,---,---,---,---,---,DNS
ironman-70.3-ohio-20170730.csv,40,Vicki Updike,49,TN,USA,00:33:14,02:23:46,02:04:21,00:02:25,00:01:56,05:05:42
ironman-70.3-ohio-20170730.csv,41,Lesley Burke,51,TX,USA,00:37:37,02:43:54,01:48:45,00:04:23,00:02:23,05:17:02
ironman-70.3-ohio-20170730.csv,42,Charles Altman,62,PA,USA,00:38:54,02:34:28,01:58:58,00:05:12,00:02:56,05:20:28
ironman-70.3-ohio-20170730.csv,43,Steve Nabity,61,NE,USA,00:35:52,02:28:54,01:54:43,00:03:52,00:03:00,05:06:21
ironman-70.3-ohio-20170730.csv,44,Robert Heins,78,NY,USA,---,---,---,---,---,DNS
ironman-70.3-ohio-20170730.csv,45,Kurt Gogolin,56,IN,USA,00:38:13,02:33:26,01:40:53,00:03:38,00:02:08,04:58:18
ironman-70.3-ohio-20170730.csv,46,John Crino,52,MD,USA,00:33:48,02:19:13,01:37:40,00:02:38,00:02:01,04:35:20
ironman-70.3-ohio-20170730.csv,47,Ron Galard,52,MI,USA,00:41:50,02:29:01,02:00:46,00:03:45,00:02:40,05:18:02
ironman-70.3-ohio-20170730.csv,48,Ken Mclaughlin,52,MI,USA,00:42:25,02:25:26,01:39:49,00:03:14,00:01:47,04:52:41
ironman-70.3-ohio-20170730.csv,49,Michael Ryan,52,MD,USA,00:37:13,02:26:11,01:55:55,00:02:23,00:02:17,05:03:59
ironman-70.3-ohio-20170730.csv,50,Phil Smeigh,50,IN,USA,00:32:59,02:35:19,01:58:02,00:03:22,00:02:35,05:12:17
ironman-70.3-ohio-20170730.csv,51,Robert Toth,51,VA,USA,00:35:20,02:26:59,01:49:51,00:04:29,00:02:15,04:58:54
ironman-70.3-ohio-20170730.csv,52,Edward Slovenkay,46,OH,USA,00:31:34,02:22:39,01:36:55,00:02:47,00:02:25,04:36:20
ironman-70.3-ohio-20170730.csv,53,Shannon Florea,40,KY,USA,00:32:53,02:28:05,01:40:54,00:03:15,00:02:22,04:47:29
ironman-70.3-ohio-20170730.csv,54,Curtis Anderson,31,OH,USA,00:30:42,02:12:35,01:36:27,00:02:32,00:02:02,04:24:18
ironman-70.3-ohio-20170730.csv,55,Joseph Gross,32,OH,USA,00:38:08,02:35:33,02:00:16,00:02:23,00:02:04,05:18:24
ironman-70.3-ohio-20170730.csv,56,Michael Vulanich,31,CA,USA,00:30:06,02:12:33,01:19:47,00:02:03,00:01:39,04:06:08
ironman-70.3-ohio-20170730.csv,57,Katherine Wayman,32,OH,USA,00:38:45,02:57:43,02:08:05,00:04:04,00:02:10,05:50:47
