#File=ironman-70.3-otepaa-20170805.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-otepaa-20170805.csv,1,Viktor Zyemtsev,44,FL,UKR,00:26:02,02:14:11,01:17:30,00:01:32,00:01:26,04:00:41
ironman-70.3-otepaa-20170805.csv,3,Esben Hovgaard,34,---,DNK,---,---,---,---,---,DNS
ironman-70.3-otepaa-20170805.csv,5,Markus Thomschke,33,---,DEU,00:26:04,02:11:36,01:22:24,00:02:00,00:02:00,04:04:04
ironman-70.3-otepaa-20170805.csv,7,Johannes Moldan,29,---,DEU,00:27:10,02:04:13,01:23:27,00:02:03,00:01:34,03:58:27
ironman-70.3-otepaa-20170805.csv,8,Sebastien Jouffret,35,---,FRA,00:30:06,02:19:47,01:26:48,00:01:44,00:01:41,04:20:06
ironman-70.3-otepaa-20170805.csv,9,Thomas Hellriegel,46,---,DEU,---,---,---,---,---,DNS
ironman-70.3-otepaa-20170805.csv,12,Filip Przymusinski,34,---,POL,00:25:59,02:23:50,01:27:40,00:01:53,00:02:00,04:21:22
ironman-70.3-otepaa-20170805.csv,13,Julian Beuchert,25,---,DEU,00:26:04,02:25:36,01:26:44,00:01:46,00:01:51,04:22:01
ironman-70.3-otepaa-20170805.csv,23,Maja Stage Nielsen,29,---,DNK,00:33:10,02:30:34,01:29:55,00:01:55,00:01:43,04:37:17
ironman-70.3-otepaa-20170805.csv,24,Annah Watkinson,36,---,ZAF,00:30:11,02:36:02,01:28:13,00:01:53,00:01:57,04:38:16
ironman-70.3-otepaa-20170805.csv,25,Helle Frederiksen,36,---,DNK,00:25:59,02:24:19,01:30:07,00:01:48,00:01:48,04:24:01
ironman-70.3-otepaa-20170805.csv,31,Kateryna Parubocha,28,TX,UKR,00:39:37,02:58:40,02:11:14,00:03:01,00:03:07,05:55:39
ironman-70.3-otepaa-20170805.csv,36,Mikkel Mortensen,24,---,DNK,---,---,---,---,---,DNS
ironman-70.3-otepaa-20170805.csv,37,Riho Rokk,29,Tartumaa,EST,00:40:45,02:29:09,01:33:35,00:02:29,00:02:07,04:48:05
ironman-70.3-otepaa-20170805.csv,38,Tautvydas Barstys,31,Suvalkija,LTU,---,---,---,---,---,DNF
