#ironman-70.3-palmas-20060820.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-palmas-20060820.csv,1,Oscar Galindez,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,2,Eduardo Sturla,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,3,Anderson Lira Dias,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,4,Ivan Albano Junior,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,5,Ricardo De Jesus Lima Ramirez,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,6,Henrique Siqueira De Oliveira,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,7,Kenny De Sousa Alves,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,8,Flavio Guimarães,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,9,Alexandre Manzan,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,10,Paulo Sergio Rosa Costa,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,11,Juan Bautista Mutti,---,---,ARG,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,12,Marcus Ornellas,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,13,Guilherme Manocchio,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,14,Antonio Manssur Filho,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,15,Andre Paranhos,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,41,Fernanda Keller,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,42,Rita Correia,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,43,Aglaé Menezes,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,44,Cintia Cani Gama,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,45,Barbara De Oliveira Bomfim,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,46,Bruna Beraba Villarim,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,48,Flavia Pedreira Rocha,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,100,Eliziário Dos Santos,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,101,Fernando Toigo,58,Distrito Federal,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,102,Antônio Carlos Machado Faria,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,103,Renato Faustino Dos Santos,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,104,Antonio Morgan,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,105,Armando P S Bassani,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,106,Paulo Vieira De Souza,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,107,Julio Leal Bandeira Neves,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,108,Christiano Vasconcellos Moreira,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,109,Eduardo Antao,42,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,110,Michel Dacar,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,111,Cintia Vieira Marques,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,112,Leonardo Moreira Mota,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,113,Emerson Imbronizio,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,114,Timothy Howard Sartison,---,---,CAN,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,115,Eric Striegler,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,116,Franco Gerodetti,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,117,Pedro Paulo Guerra De Medeiros,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,118,Odilon Santos Neto,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,119,Carlos Alberto Viana,56,SAO PAULO,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,120,Ronald Moris Masijah,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,121,Carlos Alberto Chianello,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,122,Cesar Tomaz De Almeida Vieira,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,123,Luiz Henrique Palma,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,124,Dalton Normando Cabral,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,125,Rodrigo Meirelles,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,126,Mario Augusto Costa,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,127,Renato Cabral Dos Santos,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,128,Richard Craig Krupa,---,---,USA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,129,Heitor Portella Póvoas Filho,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,130,Rodrigo Bortone,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,131,Aldo Ferreira Neto,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,132,Carlos Emílio De Andrade,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,133,Luis Vicente Damato,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,134,Leonardo Salemi,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,135,Anim Swart,51,---,CAN,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,136,Misael De Alencar Bezerra,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,137,Giovanni Montinni Sandoval,---,---,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20060820.csv,138,Sergio Cristian Almarza,---,---,CHL,---,---,---,---,---,DNS
