#File=ironman-70.3-palmas-20150405.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-palmas-20150405.csv,1,Tim Don,37,Intl State,GBR,00:24:25,02:01:15,01:13:20,00:01:37,00:01:10,03:41:47
ironman-70.3-palmas-20150405.csv,2,Tim O'Donnell,34,CO,USA,00:24:20,01:59:03,01:16:20,00:01:36,00:01:21,03:42:40
ironman-70.3-palmas-20150405.csv,3,Igor Amorelli,30,Santa Catarina,BRA,00:24:24,02:01:03,01:19:22,00:01:52,00:01:12,03:47:53
ironman-70.3-palmas-20150405.csv,4,Santiago Ascenço,34,Goiás,BRA,00:25:46,01:59:58,01:19:40,00:01:34,00:01:13,03:48:11
ironman-70.3-palmas-20150405.csv,5,Guilherme Manocchio,32,Intl State,BRA,00:25:34,02:02:35,01:20:57,00:01:59,00:01:40,03:52:45
ironman-70.3-palmas-20150405.csv,6,Jeremy Jurkiewicz,26,---,FRA,00:25:20,02:02:57,01:18:44,00:01:49,00:02:00,03:50:50
ironman-70.3-palmas-20150405.csv,7,Luiz Francisco Paiva Ferreira,33,Intl State,BRA,00:24:17,02:04:09,01:27:09,00:01:42,00:01:40,03:58:57
ironman-70.3-palmas-20150405.csv,8,Pieter Heemeryck,25,---,BEL,00:25:29,02:03:38,02:09:40,00:01:58,00:01:47,04:42:32
ironman-70.3-palmas-20150405.csv,9,Edivanio Monteiro,22,SP,BRA,00:25:41,02:13:54,---,00:01:54,00:01:37,DNF
ironman-70.3-palmas-20150405.csv,10,Flavio Da Silva Queiroga,24,SP,BRA,00:25:39,02:03:40,01:17:27,00:01:54,00:01:33,03:50:13
ironman-70.3-palmas-20150405.csv,11,Fabio Carvalho,35,Intl State,BRA,00:25:25,02:03:38,01:17:08,00:02:07,00:01:30,03:49:48
ironman-70.3-palmas-20150405.csv,12,Felipe Manente,26,Intl State,BRA,00:29:37,---,---,---,---,DNF
ironman-70.3-palmas-20150405.csv,13,Francisco Viana Neto,29,Paraná,BRA,00:31:13,02:09:42,01:30:47,00:01:45,00:01:43,04:15:10
ironman-70.3-palmas-20150405.csv,14,Frank Silvestrin Souza,32,Intl State,BRA,00:25:21,02:03:34,01:19:57,00:02:12,00:01:35,03:52:39
ironman-70.3-palmas-20150405.csv,15,Gustavo Perreira,33,Intl State,BRA,00:28:44,02:07:32,01:36:10,00:01:49,00:02:01,04:16:16
ironman-70.3-palmas-20150405.csv,16,Guto Antunes,37,SP,BRA,00:29:39,02:48:56,---,00:02:26,00:51:02,DNF
ironman-70.3-palmas-20150405.csv,17,Henrique Oliveira,30,DF,BRA,00:25:15,02:02:55,01:30:37,00:01:55,00:01:15,04:01:57
ironman-70.3-palmas-20150405.csv,18,Jonathan Shearon,35,AZ,USA,---,---,---,---,---,DNS
ironman-70.3-palmas-20150405.csv,19,Justin Metzler,21,CO,USA,00:25:35,02:03:33,01:24:29,00:01:54,00:01:39,03:57:10
ironman-70.3-palmas-20150405.csv,20,Karol Dzalaj,34,Intl State,SVK,---,---,---,---,---,DNS
ironman-70.3-palmas-20150405.csv,21,Marcel Bischof,29,DE,DEU,00:29:44,02:09:08,---,00:02:18,00:01:48,DNF
ironman-70.3-palmas-20150405.csv,22,Mario De Elias,30,Buenos Aires,ARG,00:26:06,02:03:13,01:17:11,00:01:41,00:01:21,03:49:32
ironman-70.3-palmas-20150405.csv,23,Matic Modic,28,Intl State,SVN,00:28:55,02:05:37,01:20:00,00:02:16,00:01:32,03:58:20
ironman-70.3-palmas-20150405.csv,25,Patrik Nilsson,23,---,SWE,---,---,---,---,---,DNS
ironman-70.3-palmas-20150405.csv,26,Raul Furtado,35,Intl State,BRA,---,---,---,---,---,DNS
ironman-70.3-palmas-20150405.csv,27,Richie Cunningham,41,CO,AUS,00:25:57,02:03:24,01:27:09,00:01:45,00:01:20,03:59:35
ironman-70.3-palmas-20150405.csv,28,Roberto Rivera Cabrera,29,---,CHL,00:25:36,02:03:44,01:21:50,00:01:58,00:01:54,03:55:02
ironman-70.3-palmas-20150405.csv,29,Rodrigo Sepulveda,23,---,CHL,00:25:45,02:14:57,01:44:50,00:02:00,00:01:50,04:29:22
ironman-70.3-palmas-20150405.csv,31,Thiago Vinhal,31,Intl State,BRA,00:26:05,02:51:11,01:36:09,00:02:51,00:05:50,05:02:06
ironman-70.3-palmas-20150405.csv,32,Tyler Butterfield,32,CO,BMU,00:25:28,01:59:54,01:17:08,00:01:45,00:01:33,03:45:48
ironman-70.3-palmas-20150405.csv,33,Adriano Sacchetto,27,MINAS GERAIS,BRA,00:25:32,02:09:27,01:30:02,00:01:47,00:01:28,04:08:16
ironman-70.3-palmas-20150405.csv,34,Almir Martins,22,SP,BRA,00:24:15,02:03:50,01:24:59,00:02:04,00:02:02,03:57:10
ironman-70.3-palmas-20150405.csv,35,Bruno Pais,33,Intl State,PRT,00:25:27,02:03:12,01:18:52,00:01:30,00:01:22,03:50:23
ironman-70.3-palmas-20150405.csv,36,Caio Ferreira,22,DF,BRA,00:29:00,02:22:18,02:06:03,00:02:31,00:01:52,05:01:44
ironman-70.3-palmas-20150405.csv,37,Daniel Fontana,39,Milano,ITA,00:25:31,02:02:50,---,00:01:44,00:01:29,DNF
ironman-70.3-palmas-20150405.csv,38,Iuri Vinuto,20,SP,BRA,00:24:21,02:10:47,01:17:25,00:01:42,00:01:42,03:55:57
ironman-70.3-palmas-20150405.csv,51,Carolina Furriela,24,Intl State,BRA,00:27:57,02:26:53,01:30:50,00:02:08,00:01:55,04:29:43
ironman-70.3-palmas-20150405.csv,52,Haley Chura,29,MT,USA,00:25:24,02:18:48,01:33:01,00:02:29,00:01:38,04:21:20
ironman-70.3-palmas-20150405.csv,53,Valentina Carvallo,29,Intl State,CHL,00:27:54,02:31:08,01:26:01,00:01:58,00:01:13,04:28:14
ironman-70.3-palmas-20150405.csv,54,Sofie Goos,34,---,BEL,00:29:32,02:15:41,01:28:27,00:01:47,00:01:48,04:17:15
ironman-70.3-palmas-20150405.csv,55,Ariane Monticeli,32,Intl State,BRA,00:29:31,02:22:30,01:31:56,00:02:18,00:01:31,04:27:46
ironman-70.3-palmas-20150405.csv,56,Rachel Joyce,36,CO,GBR,00:27:38,02:30:09,01:27:10,00:02:30,00:01:49,04:29:16
ironman-70.3-palmas-20150405.csv,57,Ricarda Lisk,34,---,DEU,00:27:54,02:21:45,01:32:49,00:02:19,00:01:26,04:26:13
ironman-70.3-palmas-20150405.csv,58,Kristin Moeller,31,---,DEU,00:34:23,02:17:48,01:26:59,00:02:05,00:01:32,04:22:47
ironman-70.3-palmas-20150405.csv,59,Kirsty Jahn,31,CO,CAN,00:30:57,02:27:12,01:30:03,00:02:07,00:01:41,04:32:00
ironman-70.3-palmas-20150405.csv,61,Angela Naeth,33,BC,CAN,---,---,---,---,---,DNS
ironman-70.3-palmas-20150405.csv,62,Bruna Mahn,28,São Paulo,BRA,00:29:26,02:28:44,01:34:46,00:01:59,00:01:27,04:36:22
ironman-70.3-palmas-20150405.csv,63,Helle Frederiksen,33,---,DNK,00:25:27,02:10:52,01:24:24,00:01:55,00:01:38,04:04:16
