#File=ironman-70.3-panama-20130203.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-panama-20130203.csv,1,Bevan Docherty,35,CA,NZL,00:20:18,02:20:25,01:15:48,00:02:06,00:01:28,04:00:05
ironman-70.3-panama-20130203.csv,2,Richie Cunningham,39,CO,AUS,00:21:23,02:19:37,01:18:36,00:02:05,00:01:28,04:03:09
ironman-70.3-panama-20130203.csv,3,Andy Potts,36,CO,USA,---,---,---,---,---,DNS
ironman-70.3-panama-20130203.csv,4,Dirk Bockel,36,FL,LUX,00:20:16,02:20:39,01:18:58,00:02:11,00:01:30,04:03:34
ironman-70.3-panama-20130203.csv,5,Paul Ambrose,28,CO,GBR,00:21:03,02:20:03,---,00:01:53,00:01:48,DNF
ironman-70.3-panama-20130203.csv,6,Paul Matthews,29,TX,AUS,00:20:06,02:21:27,---,00:02:05,00:01:37,DNF
ironman-70.3-panama-20130203.csv,7,Romain Guillaume,28,---,FRA,00:20:50,02:20:11,01:19:08,00:02:09,00:01:49,04:04:07
ironman-70.3-panama-20130203.csv,8,Trevor Wurtele,33,BC,CAN,00:23:45,02:21:46,01:16:41,00:02:50,00:01:33,04:06:35
ironman-70.3-panama-20130203.csv,9,Balazs Csoke,29,TX,HUN,00:20:26,02:35:01,01:19:18,00:02:15,00:01:59,04:18:59
ironman-70.3-panama-20130203.csv,10,Fraser Cartmell,30,Intl State,GBR,00:20:27,02:25:54,01:21:50,00:02:03,00:01:43,04:11:57
ironman-70.3-panama-20130203.csv,11,Oscar Galindez,41,Intl State,ARG,00:22:07,02:15:52,01:16:35,00:02:22,00:01:35,03:58:31
ironman-70.3-panama-20130203.csv,12,Alessandro Degasperi,32,Intl State,ITA,00:21:29,02:25:16,01:18:18,00:02:10,00:01:37,04:08:50
ironman-70.3-panama-20130203.csv,13,Justin Daerr,31,CO,USA,00:22:29,02:29:31,01:22:07,00:02:30,00:01:57,04:18:34
ironman-70.3-panama-20130203.csv,14,Mike Hermanson,25,KY,USA,00:22:45,02:36:12,01:29:14,00:03:02,00:01:53,04:33:06
ironman-70.3-panama-20130203.csv,15,Carlos Javier Quinchara Forero,24,Intl State,COL,00:19:55,02:25:43,---,00:02:28,00:01:51,DNF
ironman-70.3-panama-20130203.csv,16,Andres Darricau,36,Intl State,ARG,00:23:11,02:40:37,---,00:02:52,---,DNF
ironman-70.3-panama-20130203.csv,17,Mauro Cavanha Conceigco,28,Intl State,BRA,00:21:31,02:29:17,01:25:43,00:02:27,00:01:35,04:20:33
ironman-70.3-panama-20130203.csv,18,Manuel Huerta,---,---,PRI,00:20:05,---,---,00:02:08,---,DNF
ironman-70.3-panama-20130203.csv,19,Andres Castillo Latorre,30,---,COL,00:21:26,02:33:42,01:22:07,00:02:34,00:01:52,04:21:41
ironman-70.3-panama-20130203.csv,20,Frank Silvestrin Souza,30,Intl State,BRA,00:21:06,02:34:27,01:37:58,00:02:21,00:01:55,04:37:47
ironman-70.3-panama-20130203.csv,21,Brett Carter,31,---,AUS,00:20:22,02:29:46,01:26:34,00:02:15,00:01:44,04:20:41
ironman-70.3-panama-20130203.csv,22,Igor Amorelli,28,Santa Catarina,BRA,00:20:02,02:20:56,01:19:44,00:02:12,00:01:35,04:04:29
ironman-70.3-panama-20130203.csv,23,Leonardo Chacon,28,cartago,CRI,---,---,---,---,---,DNS
ironman-70.3-panama-20130203.csv,24,Ciro Violin,32,Intl State,BRA,00:21:34,02:29:04,01:37:11,00:02:48,00:02:08,04:32:45
