#File=ironman-70.3-pays-d-aix-20140518.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-pays-d-aix-20140518.csv,2,Albert Moreno Molins,23,---,ESP,00:25:16,02:18:28,01:11:15,00:02:45,00:02:00,03:59:44
ironman-70.3-pays-d-aix-20140518.csv,3,Frederik Van Lierde,34,---,BEL,00:23:44,02:15:40,01:16:21,00:02:38,00:01:56,04:00:19
ironman-70.3-pays-d-aix-20140518.csv,4,Bertrand Billard,26,---,FRA,00:23:47,02:14:11,01:15:47,00:02:48,00:01:54,03:58:27
ironman-70.3-pays-d-aix-20140518.csv,5,Jeremy Jurkiewicz,25,---,FRA,00:22:54,02:15:15,01:16:07,00:02:38,00:02:20,03:59:14
ironman-70.3-pays-d-aix-20140518.csv,6,Hervé Faure,---,---,FRA,---,---,---,---,---,DNS
ironman-70.3-pays-d-aix-20140518.csv,8,Nicolas Fernandez,30,Intl State,FRA,00:25:12,02:18:43,01:18:33,00:02:33,00:02:01,04:07:02
ironman-70.3-pays-d-aix-20140518.csv,9,Markus Mlinar,34,---,AUT,00:26:34,02:29:45,01:22:19,00:03:03,00:02:19,04:24:00
ironman-70.3-pays-d-aix-20140518.csv,10,Luca De Paolis,39,Italia,ITA,---,---,---,---,---,DNS
ironman-70.3-pays-d-aix-20140518.csv,11,Audric Lucini,21,FR,FRA,---,---,---,---,---,DNS
ironman-70.3-pays-d-aix-20140518.csv,12,Damien Decas,24,Intl State,FRA,---,---,---,---,---,DNS
ironman-70.3-pays-d-aix-20140518.csv,13,Victor Debil-Caux,31,Other,FRA,00:25:41,02:17:54,01:16:12,00:02:57,00:01:53,04:04:37
ironman-70.3-pays-d-aix-20140518.csv,14,Sylvain Rota,30,FR,FRA,00:25:21,02:30:42,01:14:24,00:02:42,00:02:22,04:15:31
ironman-70.3-pays-d-aix-20140518.csv,15,Pierre Dorez,33,---,FRA,---,---,---,---,---,DNS
ironman-70.3-pays-d-aix-20140518.csv,16,Aleksei Brylev,---,---,RUS,00:25:14,02:28:41,01:22:31,00:02:56,00:02:18,04:21:40
ironman-70.3-pays-d-aix-20140518.csv,17,Cool Hannes,28,BE,BEL,00:25:20,02:17:59,01:14:47,00:03:16,00:02:08,04:03:30
ironman-70.3-pays-d-aix-20140518.csv,18,Rinus Holvoet,24,---,BEL,00:24:21,02:26:23,01:19:19,00:03:52,00:02:25,04:16:20
ironman-70.3-pays-d-aix-20140518.csv,19,Nicolas Houyoux,26,---,BEL,00:29:32,02:35:27,01:26:32,00:03:25,00:02:25,04:37:21
ironman-70.3-pays-d-aix-20140518.csv,20,Georgii Kaurov,20,Intl State,RUS,00:22:49,02:36:16,01:25:33,00:03:22,00:03:16,04:31:16
ironman-70.3-pays-d-aix-20140518.csv,21,Frédéric Limousin,33,---,FRA,00:25:19,02:27:01,01:25:37,00:02:59,00:02:31,04:23:27
ironman-70.3-pays-d-aix-20140518.csv,22,Simone Mantolini,31,Intl State,ITA,00:27:18,02:28:33,01:22:10,00:03:47,00:02:19,04:24:07
ironman-70.3-pays-d-aix-20140518.csv,24,Boris Stein,29,---,DEU,00:26:18,02:14:50,01:16:00,00:02:46,00:02:03,04:01:57
ironman-70.3-pays-d-aix-20140518.csv,25,Kenneth Vandendriessche,22,BE,BEL,00:27:03,02:17:34,01:12:18,00:03:14,00:01:56,04:02:05
ironman-70.3-pays-d-aix-20140518.csv,26,Peter Wilby,30,---,GBR,00:26:01,02:35:21,01:21:52,00:03:15,00:02:12,04:28:41
ironman-70.3-pays-d-aix-20140518.csv,27,George Bjalkemo,33,SE,SWE,---,---,---,---,---,DNS
ironman-70.3-pays-d-aix-20140518.csv,28,Maksim Kalinin,28,Saint-Petersburg,RUS,---,---,---,---,---,DNS
ironman-70.3-pays-d-aix-20140518.csv,29,Manuel Küng,26,---,CHE,00:22:53,02:20:22,01:22:15,00:02:40,00:02:06,04:10:16
ironman-70.3-pays-d-aix-20140518.csv,30,Martin Lacasse,40,QC,CAN,00:25:39,02:34:22,01:20:44,00:03:06,00:02:19,04:26:10
ironman-70.3-pays-d-aix-20140518.csv,31,Anthony Pannier,30,---,FRA,00:23:46,02:15:28,01:20:44,00:02:51,00:02:02,04:04:51
ironman-70.3-pays-d-aix-20140518.csv,32,Sanne Swolfs,27,BE,BEL,00:27:15,02:37:22,01:21:27,00:03:12,00:02:24,04:31:40
ironman-70.3-pays-d-aix-20140518.csv,33,Remmert Wielanga,36,---,NLD,00:32:56,---,---,00:06:14,---,DNF
ironman-70.3-pays-d-aix-20140518.csv,41,Susie Cheetham,28,Intl State,GBR,00:26:43,02:38:14,01:23:00,00:03:10,00:02:19,04:33:26
ironman-70.3-pays-d-aix-20140518.csv,42,Gina Crawford,33,Canterbury,NZL,00:25:21,02:35:59,01:23:08,00:03:15,00:02:47,04:30:30
ironman-70.3-pays-d-aix-20140518.csv,43,Jeanne Collonge,---,---,FRA,00:27:15,02:35:29,01:18:49,00:03:09,00:02:29,04:27:11
ironman-70.3-pays-d-aix-20140518.csv,44,Tine Deckers,35,---,BEL,00:27:17,02:31:10,01:24:53,00:02:57,00:02:21,04:28:38
ironman-70.3-pays-d-aix-20140518.csv,45,Alexandra Tondeur,27,---,BEL,00:27:19,02:40:01,01:31:52,00:03:05,00:02:35,04:44:52
ironman-70.3-pays-d-aix-20140518.csv,46,Nicole Woysch,37,---,DEU,00:32:55,---,---,00:17:11,---,DNF
ironman-70.3-pays-d-aix-20140518.csv,47,Emma Bilham,27,---,CHE,00:25:31,02:44:27,01:26:41,00:03:06,00:02:19,04:42:04
ironman-70.3-pays-d-aix-20140518.csv,48,Annie Gervais,38,QC,CAN,00:30:21,02:46:29,01:24:56,00:03:31,00:02:24,04:47:41
ironman-70.3-pays-d-aix-20140518.csv,49,Rasa Kavaliauskaite,34,---,LTU,00:35:26,03:00:43,01:56:39,00:05:02,00:03:38,05:41:28
ironman-70.3-pays-d-aix-20140518.csv,50,Lewis Lewis,---,---,GBR,00:27:32,02:35:20,01:25:00,00:03:12,00:02:06,04:33:10
ironman-70.3-pays-d-aix-20140518.csv,61,Roberta Abdanur,21,Mi,BRA,---,---,---,---,---,DNS
