#File=ironman-70.3-philippines-20100822.csv
race,bib,name,age,state,country,swimTime,bikeTime,runTime,t1Time,t2time,overallTime
ironman-70.3-philippines-20100822.csv,1,Terenzo Bozzone,25,AUK,NZL,00:25:03,02:09:24,01:28:28,00:01:36,00:01:23,04:05:54
ironman-70.3-philippines-20100822.csv,2,Cameron Brown,38,AUK,NZL,00:27:26,03:01:26,---,00:02:05,---,DNF
ironman-70.3-philippines-20100822.csv,3,Pete Jacobs,28,QLD,AUS,00:24:52,02:09:29,01:21:15,00:01:41,00:01:24,03:58:41
ironman-70.3-philippines-20100822.csv,4,Justin Cole,27,---,AUS,---,---,---,---,---,DNS
ironman-70.3-philippines-20100822.csv,5,Frederik Croneborg,29,---,SWE,00:27:14,02:14:29,01:29:04,00:02:00,00:01:49,04:14:36
ironman-70.3-philippines-20100822.csv,6,Erich Felbabel,32,---,HKG,00:31:14,02:16:46,01:40:23,00:01:47,00:02:26,04:32:36
ironman-70.3-philippines-20100822.csv,7,Paul Amey,37,---,GBR,---,---,---,---,---,DNS
ironman-70.3-philippines-20100822.csv,8,Leon Griffin,30,CO,AUS,00:26:15,02:08:26,01:39:27,00:01:40,00:01:42,04:17:30
ironman-70.3-philippines-20100822.csv,9,Haley Cooper- Scott,---,---,USA,00:32:05,02:41:32,---,00:02:20,---,DNF
ironman-70.3-philippines-20100822.csv,10,Magali Tisseyre,28,QC,CAN,00:27:12,02:22:10,01:33:49,00:01:54,00:01:56,04:27:01
ironman-70.3-philippines-20100822.csv,11,Michellie Jones,40,---,USA,00:27:04,02:22:24,01:36:02,00:01:50,00:02:03,04:29:23
ironman-70.3-philippines-20100822.csv,12,Rachael Paxton,---,---,AUS,00:29:56,02:26:00,01:42:42,00:01:50,00:02:10,04:42:38
ironman-70.3-philippines-20100822.csv,13,Noy Jopson,35,Intl State,PHL,00:31:04,02:24:23,01:55:00,00:02:13,00:01:52,04:54:32
ironman-70.3-philippines-20100822.csv,14,Ferdinand Louis Mila Catabian Ii,32,"Calamba, Laguna",PHL,00:30:09,02:26:30,01:53:08,00:02:31,00:04:00,04:56:18
ironman-70.3-philippines-20100822.csv,15,Neil Catiil,23,---,PHL,00:29:46,02:25:03,01:38:24,00:01:51,00:02:06,04:37:10
ironman-70.3-philippines-20100822.csv,16,Noel Salvador,30,Manila,PHL,00:31:51,02:23:50,02:08:13,00:02:11,00:02:15,05:08:20
ironman-70.3-philippines-20100822.csv,17,Mark Candelaria,---,---,PHL,00:32:03,02:25:00,01:57:33,00:02:04,00:02:15,04:58:55
ironman-70.3-philippines-20100822.csv,18,Gerrie Calinawan,25,cebu,PHL,---,---,---,---,---,DNS
ironman-70.3-philippines-20100822.csv,19,Elmo Clarabal,29,Manila,PHL,00:43:08,02:22:41,01:48:46,00:02:21,00:02:24,04:59:20
ironman-70.3-philippines-20100822.csv,20,John Gilbuena,44,---,PHL,00:54:14,03:21:36,03:31:35,00:08:43,00:07:36,08:03:44
ironman-70.3-philippines-20100822.csv,21,Leo Oracion,36,---,PHL,00:33:48,02:39:16,02:20:31,00:02:15,00:02:55,05:38:45
ironman-70.3-philippines-20100822.csv,22,Franklin Penalosa,33,---,PHL,00:38:49,02:23:46,01:49:04,00:02:41,00:02:17,04:56:37
ironman-70.3-philippines-20100822.csv,23,Arland Macasieb,34,NJ,PHL,00:29:30,02:25:58,01:43:36,00:02:25,00:02:39,04:44:08
ironman-70.3-philippines-20100822.csv,24,Monica Torres,---,---,PHL,00:38:13,02:31:23,01:46:51,00:01:57,00:01:55,05:00:19
ironman-70.3-philippines-20100822.csv,25,Ani Karina De Leon,---,---,PHL,00:31:52,02:30:20,01:55:30,00:02:04,00:02:10,05:01:56
ironman-70.3-philippines-20100822.csv,26,Lea Coline Langit,---,---,PHL,00:28:10,02:39:42,---,00:01:56,00:03:31,DNF
ironman-70.3-philippines-20100822.csv,27,Alessandra Araullo-Gonzalez,29,---,PHL,00:31:55,02:31:56,01:56:16,00:02:32,00:02:38,05:05:17
ironman-70.3-philippines-20100822.csv,28,Andres Buitrago,24,---,USA,---,---,---,---,---,DNS
ironman-70.3-philippines-20100822.csv,29,Javier Daez,---,---,PHL,00:43:57,02:42:19,03:08:02,00:03:20,00:03:58,06:41:36
ironman-70.3-philippines-20100822.csv,30,Cris Dimaano,---,---,PHL,00:37:38,02:26:45,02:04:16,00:01:50,00:02:01,05:12:30
ironman-70.3-philippines-20100822.csv,31,Kevin Dumol,---,---,PHL,00:42:32,02:36:34,02:25:17,00:03:20,00:04:58,05:52:41
ironman-70.3-philippines-20100822.csv,32,Preddy Grant,---,---,AUS,00:28:45,02:24:33,01:42:21,00:02:36,00:02:23,04:40:38
ironman-70.3-philippines-20100822.csv,33,Benjamin Gubatina,22,CA,PHL,00:42:15,02:34:52,02:14:55,00:02:52,00:03:05,05:37:59
ironman-70.3-philippines-20100822.csv,34,Josef Guillen,---,---,PHL,00:36:20,02:48:32,03:15:03,00:03:13,00:05:13,06:48:21
ironman-70.3-philippines-20100822.csv,35,Mark Hosana,---,---,PHL,00:30:42,02:32:54,02:21:27,00:02:39,00:01:49,05:29:31
ironman-70.3-philippines-20100822.csv,36,Jasper Laguitao,22,---,PHL,00:31:47,02:52:28,02:44:29,00:03:51,00:05:49,06:18:24
ironman-70.3-philippines-20100822.csv,37,Diego Navarro,21,IL,PHL,00:42:12,02:58:32,03:51:23,00:03:26,00:08:38,07:44:11
ironman-70.3-philippines-20100822.csv,38,Emmanuel Rodil,---,---,PHL,00:35:14,02:39:48,02:07:10,00:01:50,00:02:33,05:26:35
ironman-70.3-philippines-20100822.csv,39,Ralph Sios-E,---,---,PHL,00:40:02,02:23:55,02:11:56,00:02:26,00:03:55,05:22:14
ironman-70.3-philippines-20100822.csv,40,Raymund Velasco,---,---,PHL,00:45:09,03:28:15,01:58:28,00:04:54,00:02:52,06:19:38
ironman-70.3-philippines-20100822.csv,41,Choo Ling Er,22,---,SGP,00:36:47,02:36:41,02:24:18,00:03:15,00:02:55,05:43:56
ironman-70.3-philippines-20100822.csv,42,Mimi Lucas,---,---,PHL,00:34:48,02:41:25,02:33:59,00:03:22,00:05:11,05:58:45
ironman-70.3-philippines-20100822.csv,43,Caroline Orcena,23,---,PHL,00:43:00,03:33:18,03:15:54,00:04:33,00:06:26,07:43:11
ironman-70.3-philippines-20100822.csv,44,Eric Cooke,24,ID,MNP,---,---,---,---,---,DNS
ironman-70.3-philippines-20100822.csv,45,"Benjamin Ra A, Jr",24,---,PHL,00:35:20,02:21:33,02:01:33,00:02:41,00:02:10,05:03:17
ironman-70.3-philippines-20100822.csv,46,Timothy Agulto,---,---,PHL,01:00:09,02:54:13,02:48:50,00:06:12,00:07:21,06:56:45
ironman-70.3-philippines-20100822.csv,47,Ralph Arche,---,---,PHL,00:34:26,02:36:41,02:34:36,00:02:09,00:03:09,05:51:01
ironman-70.3-philippines-20100822.csv,48,Mark Arroyo,---,---,PHL,00:43:03,02:56:21,02:33:06,00:07:19,00:04:54,06:24:43
ironman-70.3-philippines-20100822.csv,49,Simon Ashworth,29,---,GBR,00:35:45,02:34:46,---,00:03:21,00:02:47,DNF
ironman-70.3-philippines-20100822.csv,50,Harley Bangayan,22,Army Asia,PHL,00:37:27,02:47:43,02:50:08,00:03:24,00:03:42,06:22:24
ironman-70.3-philippines-20100822.csv,51,Mark Beltran,---,---,PHL,00:58:30,03:03:58,03:15:00,00:04:54,00:03:47,07:26:09
